Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Bassett, Nathan",2006,R1,adelaide,CW,19.0,7.0,12.0,0.0,0.0,10.0,0.0,2.0,5.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,100,,1.0,5.0,0.0,0.0
"Biglands, Rhett",2006,R1,adelaide,CW,12.0,8.0,4.0,2.0,1.0,4.0,3.0,1.0,7.0,5.0,13.0,2.0,1.0,1.0,2.0,1.0,4.0,0.0,61,,1.0,1.0,0.0,0.0
"Bock, Nathan",2006,R1,adelaide,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Bode, Matthew",2006,R1,adelaide,CW,16.0,10.0,6.0,1.0,0.0,1.0,3.0,5.0,9.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,78,,4.0,2.0,1.0,0.0
"Burton, Brett",2006,R1,adelaide,CW,22.0,18.0,4.0,2.0,0.0,8.0,1.0,4.0,8.0,11.0,0.0,2.0,0.0,2.0,1.0,1.0,7.0,1.0,97,,3.0,4.0,1.0,0.0
"Clarke, Matthew",2006,R1,adelaide,CW,7.0,1.0,6.0,0.0,0.0,2.0,0.0,1.0,2.0,5.0,20.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,64,,3.0,0.0,0.0,0.0
"Doughty, Michael",2006,R1,adelaide,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Douglas, Richard",2006,R1,adelaide,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Edwards, Tyson",2006,R1,adelaide,CW,31.0,20.0,11.0,0.0,1.0,8.0,5.0,3.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,71,,3.0,0.0,2.0,0.0
"Goodwin, Simon",2006,R1,adelaide,CW,33.0,13.0,20.0,0.0,0.0,4.0,8.0,3.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,85,,3.0,2.0,3.0,0.0
"Hart, Ben",2006,R1,adelaide,CW,25.0,20.0,5.0,0.0,0.0,16.0,0.0,0.0,3.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,81,,1.0,7.0,1.0,0.0
"Hentschel, Trent",2006,R1,adelaide,CW,13.0,10.0,3.0,0.0,2.0,10.0,0.0,0.0,2.0,11.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,100,,4.0,0.0,1.0,0.0
"Johncock, Graham",2006,R1,adelaide,CW,17.0,12.0,5.0,0.0,0.0,8.0,0.0,0.0,4.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,93,,0.0,3.0,0.0,0.0
"Knights, Chris",2006,R1,adelaide,CW,17.0,10.0,7.0,0.0,0.0,1.0,8.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,51,,4.0,1.0,0.0,0.0
"Maric, Ivan",2006,R1,adelaide,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Massie, Kris",2006,R1,adelaide,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Mattner, Martin",2006,R1,adelaide,CW,24.0,16.0,8.0,0.0,0.0,11.0,0.0,2.0,6.0,18.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,94,,0.0,4.0,1.0,2.0
"McGregor, Ken",2006,R1,adelaide,CW,15.0,12.0,3.0,0.0,0.0,8.0,0.0,1.0,2.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,91,,0.0,1.0,0.0,0.0
"McLeod, Andrew",2006,R1,adelaide,CW,19.0,14.0,5.0,0.0,1.0,1.0,2.0,1.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,100,,2.0,3.0,1.0,0.0
"Perrie, Ian",2006,R1,adelaide,CW,16.0,12.0,4.0,3.0,1.0,13.0,0.0,1.0,3.0,15.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,0.0,100,,3.0,1.0,0.0,0.0
"Porplyzia, Jason",2006,R1,adelaide,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Reilly, Brent",2006,R1,adelaide,CW,20.0,14.0,6.0,1.0,0.0,6.0,3.0,1.0,5.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,74,,4.0,2.0,0.0,0.0
"Ricciuto, Mark",2006,R1,adelaide,CW,20.0,13.0,7.0,6.0,2.0,11.0,2.0,1.0,6.0,14.0,0.0,1.0,7.0,0.0,1.0,1.0,4.0,0.0,99,,4.0,0.0,0.0,3.0
"Rutten, Ben",2006,R1,adelaide,CW,14.0,9.0,5.0,0.0,0.0,5.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,100,,0.0,5.0,0.0,0.0
"Shirley, Robert",2006,R1,adelaide,CW,15.0,8.0,7.0,1.0,0.0,3.0,1.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,71,,3.0,1.0,0.0,0.0
"Skipworth, Hayden",2006,R1,adelaide,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Stevens, Scott",2006,R1,adelaide,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Thompson, Scott",2006,R1,adelaide,CW,21.0,10.0,11.0,1.0,1.0,8.0,4.0,3.0,5.0,17.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,82,,7.0,3.0,1.0,0.0
"Torney, Jason",2006,R1,adelaide,CW,,,,,,,,,,,,,,,,,,,,,,,,
"Vince, Bernie",2006,R1,adelaide,CW,3.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,51,,1.0,2.0,0.0,0.0
"Welsh, Scott",2006,R1,adelaide,CW,,,,,,,,,,,,,,,,,,,,,,,,
