Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Armfield, Dennis",2017,R1,carlton,RI,6.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82,,2.0,0.0,0.0,0.0
"Boekhorst, Blaine",2017,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Buckley, Dylan",2017,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Byrne, Ciaran",2017,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Casboult, Levi",2017,R1,carlton,RI,10.0,5.0,5.0,1.0,1.0,4.0,1.0,2.0,7.0,3.0,11.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,81,,3.0,1.0,0.0,0.0
"Cripps, Patrick",2017,R1,carlton,RI,19.0,10.0,9.0,0.0,0.0,3.0,3.0,5.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,84,,2.0,0.0,0.0,0.0
"Cuningham, David",2017,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Curnow, Charlie",2017,R1,carlton,RI,8.0,7.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,76,,3.0,1.0,0.0,0.0
"Curnow, Ed",2017,R1,carlton,RI,19.0,13.0,6.0,0.0,0.0,5.0,5.0,4.0,5.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,86,,4.0,0.0,2.0,0.0
"Docherty, Sam",2017,R1,carlton,RI,24.0,18.0,6.0,0.0,0.0,6.0,0.0,1.0,5.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,88,,4.0,1.0,2.0,0.0
"Fisher, Zac",2017,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Gibbs, Bryce",2017,R1,carlton,RI,26.0,14.0,12.0,1.0,1.0,4.0,7.0,6.0,15.0,10.0,0.0,0.0,2.0,1.0,2.0,2.0,4.0,3.0,79,,4.0,1.0,0.0,0.0
"Graham, Nick",2017,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Jones, Liam",2017,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Kerridge, Sam",2017,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Kreuzer, Matthew",2017,R1,carlton,RI,15.0,11.0,4.0,2.0,0.0,4.0,4.0,4.0,8.0,8.0,39.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,84,,3.0,3.0,0.0,0.0
"Lamb, Jed",2017,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Macreadie, Harrison",2017,R1,carlton,RI,7.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,81,,0.0,2.0,0.0,0.0
"Marchbank, Caleb",2017,R1,carlton,RI,19.0,15.0,4.0,0.0,0.0,8.0,0.0,2.0,10.0,9.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,6.0,88,,5.0,5.0,0.0,0.0
"McKay, Harry",2017,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Murphy, Marc",2017,R1,carlton,RI,35.0,21.0,14.0,0.0,0.0,6.0,7.0,7.0,18.0,18.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,3.0,76,,4.0,0.0,1.0,1.0
"Palmer, Rhys",2017,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Petrevski-Seton, Sam",2017,R1,carlton,RI,11.0,7.0,4.0,0.0,0.0,2.0,3.0,7.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,71,,0.0,1.0,0.0,0.0
"Phillips, Andrew",2017,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Pickett, Jarrod",2017,R1,carlton,RI,5.0,2.0,3.0,0.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,68,,0.0,2.0,2.0,0.0
"Plowman, Lachie",2017,R1,carlton,RI,20.0,12.0,8.0,0.0,0.0,10.0,0.0,1.0,5.0,15.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,92,,0.0,12.0,0.0,0.0
