Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Adams, Taylor",2014,R1,collingwood,FR,15.0,6.0,9.0,0.0,0.0,2.0,0.0,4.0,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,79,-,1.0,1.0,2.0,0.0
"Armstrong, Tony",2014,R1,collingwood,FR,,,,,,,,,,,,,,,,,,,,,,,,
"Ball, Luke",2014,R1,collingwood,FR,25.0,15.0,10.0,0.0,1.0,7.0,7.0,9.0,10.0,16.0,1.0,0.0,2.0,1.0,3.0,1.0,6.0,0.0,74,-,5.0,7.0,0.0,0.0
"Beams, Dayne",2014,R1,collingwood,FR,31.0,16.0,15.0,0.0,1.0,3.0,7.0,9.0,13.0,18.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,2.0,87,-,4.0,2.0,0.0,0.0
"Blair, Jarryd",2014,R1,collingwood,FR,,,,,,,,,,,,,,,,,,,,,,,,
"Broomhead, Tim",2014,R1,collingwood,FR,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, Nathan",2014,R1,collingwood,FR,9.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,83,-,1.0,5.0,0.0,0.0
"Clarke, Martin",2014,R1,collingwood,FR,13.0,7.0,6.0,0.0,0.0,4.0,1.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,59,Off,2.0,1.0,0.0,0.0
"Cloke, Travis",2014,R1,collingwood,FR,7.0,4.0,3.0,0.0,0.0,4.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,97,-,2.0,2.0,0.0,0.0
"Dwyer, Sam",2014,R1,collingwood,FR,,,,,,,,,,,,,,,,,,,,,,,,
"Elliott, Jamie",2014,R1,collingwood,FR,13.0,10.0,3.0,1.0,0.0,2.0,1.0,2.0,6.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,90,-,4.0,2.0,1.0,0.0
"Fasolo, Alex",2014,R1,collingwood,FR,,,,,,,,,,,,,,,,,,,,,,,,
"Frost, Jack",2014,R1,collingwood,FR,11.0,6.0,5.0,0.0,0.0,3.0,0.0,4.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,88,-,0.0,7.0,0.0,0.0
"Gault, Corey",2014,R1,collingwood,FR,,,,,,,,,,,,,,,,,,,,,,,,
"Goldsack, Tyson",2014,R1,collingwood,FR,8.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76,-,0.0,0.0,2.0,0.0
"Grundy, Brodie",2014,R1,collingwood,FR,14.0,4.0,10.0,0.0,1.0,2.0,3.0,9.0,7.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,78,-,2.0,2.0,0.0,0.0
"Keeffe, Lachlan",2014,R1,collingwood,FR,,,,,,,,,,,,,,,,,,,,,,,,
"Kennedy, Ben",2014,R1,collingwood,FR,8.0,1.0,7.0,0.0,0.0,0.0,2.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35,On,1.0,0.0,0.0,0.0
"Langdon, Tom",2014,R1,collingwood,FR,24.0,20.0,4.0,0.0,0.0,6.0,2.0,5.0,9.0,13.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,11.0,80,-,5.0,3.0,0.0,0.0
"Lumumba, Heritier",2014,R1,collingwood,FR,23.0,11.0,12.0,0.0,0.0,4.0,3.0,4.0,7.0,17.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,4.0,91,-,2.0,2.0,2.0,0.0
"Macaffer, Brent",2014,R1,collingwood,FR,16.0,11.0,5.0,1.0,0.0,8.0,0.0,5.0,4.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,91,-,2.0,0.0,0.0,0.0
"Martin, Kyle",2014,R1,collingwood,FR,,,,,,,,,,,,,,,,,,,,,,,,
"Maxwell, Nick",2014,R1,collingwood,FR,15.0,7.0,8.0,0.0,0.0,5.0,2.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,87,-,3.0,3.0,0.0,0.0
"Pendlebury, Scott",2014,R1,collingwood,FR,26.0,16.0,10.0,1.0,0.0,3.0,5.0,9.0,13.0,11.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,85,-,4.0,3.0,0.0,0.0
