Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Ball, Matthew",2004,R1,hawthorn,ME,,,,,,,,,,,,,,,,,,,,,,,,
"Barker, John",2004,R1,hawthorn,ME,5.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,59,,1.0,1.0,0.0,0.0
"Barlow, Kris",2004,R1,hawthorn,ME,,,,,,,,,,,,,,,,,,,,,,,,
"Bateman, Chance",2004,R1,hawthorn,ME,,,,,,,,,,,,,,,,,,,,,,,,
"Beaumont, Simon",2004,R1,hawthorn,ME,21.0,12.0,9.0,0.0,0.0,5.0,5.0,0.0,11.0,12.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,100,,3.0,4.0,1.0,0.0
"Brennan, Luke",2004,R1,hawthorn,ME,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, Campbell",2004,R1,hawthorn,ME,9.0,7.0,2.0,2.0,0.0,5.0,1.0,2.0,3.0,5.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,82,,0.0,0.0,0.0,0.0
"Campbell, Robert",2004,R1,hawthorn,ME,4.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,39,,2.0,1.0,0.0,0.0
"Clarke, Tim",2004,R1,hawthorn,ME,19.0,6.0,13.0,0.0,1.0,7.0,2.0,2.0,6.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,100,,3.0,1.0,0.0,0.0
"Cox, Adrian",2004,R1,hawthorn,ME,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,45,,1.0,0.0,0.0,0.0
"Crawford, Shane",2004,R1,hawthorn,ME,32.0,14.0,18.0,1.0,1.0,3.0,7.0,5.0,14.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,100,,1.0,3.0,1.0,2.0
"Croad, Trent",2004,R1,hawthorn,ME,11.0,5.0,6.0,0.0,0.0,3.0,2.0,0.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,83,,2.0,2.0,1.0,0.0
"Dixon, Ben",2004,R1,hawthorn,ME,6.0,5.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,64,,0.0,1.0,0.0,0.0
"Everitt, Peter",2004,R1,hawthorn,ME,10.0,6.0,4.0,2.0,1.0,4.0,2.0,3.0,5.0,5.0,29.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,70,,1.0,3.0,0.0,0.0
"Graham, Mark",2004,R1,hawthorn,ME,19.0,13.0,6.0,1.0,0.0,3.0,0.0,2.0,8.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,100,,3.0,4.0,0.0,0.0
"Greene, Steven",2004,R1,hawthorn,ME,,,,,,,,,,,,,,,,,,,,,,,,
"Hay, Jonathan",2004,R1,hawthorn,ME,,,,,,,,,,,,,,,,,,,,,,,,
"Hodge, Luke",2004,R1,hawthorn,ME,10.0,7.0,3.0,0.0,1.0,3.0,0.0,3.0,6.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,70,,4.0,2.0,0.0,0.0
"Holland, Nick",2004,R1,hawthorn,ME,,,,,,,,,,,,,,,,,,,,,,,,
"Jacobs, Danny",2004,R1,hawthorn,ME,21.0,12.0,9.0,1.0,0.0,9.0,0.0,0.0,8.0,12.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,100,,2.0,5.0,1.0,0.0
"Kane, Ben",2004,R1,hawthorn,ME,,,,,,,,,,,,,,,,,,,,,,,,
"Ladson, Rick",2004,R1,hawthorn,ME,,,,,,,,,,,,,,,,,,,,,,,,
"Lekkas, Angelo",2004,R1,hawthorn,ME,17.0,12.0,5.0,0.0,1.0,2.0,4.0,5.0,9.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,100,,6.0,2.0,1.0,0.0
"Lonie, Nathan",2004,R1,hawthorn,ME,13.0,10.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,100,,2.0,5.0,1.0,0.0
"McCabe, Luke",2004,R1,hawthorn,ME,18.0,9.0,9.0,0.0,0.0,4.0,0.0,3.0,7.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,100,,3.0,4.0,0.0,0.0
"Mitchell, Sam",2004,R1,hawthorn,ME,33.0,14.0,19.0,0.0,0.0,3.0,13.0,3.0,19.0,13.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,3.0,93,,4.0,1.0,0.0,0.0
"Osborne, Michael",2004,R1,hawthorn,ME,,,,,,,,,,,,,,,,,,,,,,,,
"Picioane, Lance",2004,R1,hawthorn,ME,,,,,,,,,,,,,,,,,,,,,,,,
"Ries, Nick",2004,R1,hawthorn,ME,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,,0.0,0.0,0.0,0.0
"Sewell, Brad",2004,R1,hawthorn,ME,,,,,,,,,,,,,,,,,,,,,,,,
"Smith, Joel",2004,R1,hawthorn,ME,22.0,15.0,7.0,0.0,0.0,5.0,2.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,100,,3.0,0.0,5.0,0.0
"Tallis, Rayden",2004,R1,hawthorn,ME,,,,,,,,,,,,,,,,,,,,,,,,
