Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Allison, Brett",1991,R2,kangaroos,BB,21.0,14.0,7.0,0.0,1.0,4.0,,2.0,,,0.0,,,,1.0,1.0,,,,,,,,2.0
"Angus, Warwick",1991,R2,kangaroos,BB,,,,,,,,,,,,,,,,,,,,,,,,
"Brayshaw, Mark",1991,R2,kangaroos,BB,,,,,,,,,,,,,,,,,,,,,,,,
"Buckley, Ben",1991,R2,kangaroos,BB,,,,,,,,,,,,,,,,,,,,,,,,
"Carey, Wayne",1991,R2,kangaroos,BB,11.0,9.0,2.0,2.0,1.0,5.0,,2.0,,,0.0,,,,0.0,1.0,,,,,,,,0.0
"Chandler, Jeff",1991,R2,kangaroos,BB,19.0,13.0,6.0,0.0,0.0,3.0,,1.0,,,0.0,,,,3.0,2.0,,,,,,,,0.0
"Clarkson, Alastair",1991,R2,kangaroos,BB,6.0,2.0,4.0,0.0,1.0,1.0,,0.0,,,0.0,,,,1.0,1.0,,,,,,,,0.0
"Crocker, Darren",1991,R2,kangaroos,BB,,,,,,,,,,,,,,,,,,,,,,,,
"Dilena, Carl",1991,R2,kangaroos,BB,,,,,,,,,,,,,,,,,,,,,,,,
"Dwyer, David",1991,R2,kangaroos,BB,,,,,,,,,,,,,,,,,,,,,,,,
"Fairley, Ian",1991,R2,kangaroos,BB,,,,,,,,,,,,,,,,,,,,,,,,
"Gallagher, Michael",1991,R2,kangaroos,BB,17.0,11.0,6.0,2.0,0.0,2.0,,1.0,,,6.0,,,,1.0,1.0,,,,,,,,0.0
"German, Peter",1991,R2,kangaroos,BB,21.0,17.0,4.0,1.0,1.0,6.0,,1.0,,,0.0,,,,3.0,3.0,,,,,,,,0.0
"Harris, Darren",1991,R2,kangaroos,BB,,,,,,,,,,,,,,,,,,,,,,,,
"Larkin, Matthew",1991,R2,kangaroos,BB,27.0,14.0,13.0,1.0,0.0,1.0,,2.0,,,0.0,,,,1.0,1.0,,,,,,,,0.0
"Longmire, John",1991,R2,kangaroos,BB,8.0,6.0,2.0,2.0,3.0,4.0,,0.0,,,0.0,,,,0.0,2.0,,,,,,,,0.0
"Mann, Peter",1991,R2,kangaroos,BB,7.0,5.0,2.0,0.0,2.0,3.0,,1.0,,,4.0,,,,0.0,2.0,,,,,,,,0.0
"Martyn, Mick",1991,R2,kangaroos,BB,9.0,9.0,0.0,0.0,0.0,3.0,,1.0,,,1.0,,,,0.0,1.0,,,,,,,,1.0
"McCarthy, John",1991,R2,kangaroos,BB,14.0,9.0,5.0,1.0,1.0,3.0,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0
"McDonald, Donald",1991,R2,kangaroos,BB,,,,,,,,,,,,,,,,,,,,,,,,
"McGrath, Tim",1991,R2,kangaroos,BB,,,,,,,,,,,,,,,,,,,,,,,,
"McRae, Dean",1991,R2,kangaroos,BB,,,,,,,,,,,,,,,,,,,,,,,,
"Murray, Damien",1991,R2,kangaroos,BB,4.0,3.0,1.0,0.0,0.0,1.0,,0.0,,,3.0,,,,0.0,0.0,,,,,,,,0.0
"Pickering, Liam",1991,R2,kangaroos,BB,,,,,,,,,,,,,,,,,,,,,,,,
"Roberts, Mark",1991,R2,kangaroos,BB,24.0,11.0,13.0,0.0,0.0,5.0,,1.0,,,0.0,,,,5.0,1.0,,,,,,,,0.0
"Rock, Anthony",1991,R2,kangaroos,BB,20.0,13.0,7.0,3.0,0.0,2.0,,1.0,,,0.0,,,,1.0,0.0,,,,,,,,0.0
"Romero, Jose",1991,R2,kangaroos,BB,23.0,16.0,7.0,2.0,1.0,3.0,,0.0,,,0.0,,,,0.0,1.0,,,,,,,,3.0
"Schwass, Wayne",1991,R2,kangaroos,BB,,,,,,,,,,,,,,,,,,,,,,,,
