Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Bishop, Matthew",2003,R1,padelaide,WC,11.0,9.0,2.0,0.0,0.0,5.0,0.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100,,1.0,0.0,2.0,0.0
"Brogan, Dean",2003,R1,padelaide,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Burgoyne, Peter",2003,R1,padelaide,WC,22.0,14.0,8.0,2.0,2.0,9.0,5.0,2.0,10.0,12.0,0.0,3.0,3.0,0.0,0.0,3.0,4.0,3.0,100,,6.0,1.0,1.0,0.0
"Burgoyne, Shaun",2003,R1,padelaide,WC,9.0,5.0,4.0,1.0,1.0,1.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,95,,1.0,1.0,2.0,0.0
"Carr, Josh",2003,R1,padelaide,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Cassisi, Domenic",2003,R1,padelaide,WC,8.0,5.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,55,,3.0,0.0,0.0,0.0
"Cochrane, Stuart",2003,R1,padelaide,WC,4.0,3.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,66,,2.0,1.0,0.0,0.0
"Cockatoo-Collins, Che",2003,R1,padelaide,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Cornes, Chad",2003,R1,padelaide,WC,16.0,10.0,6.0,0.0,2.0,8.0,1.0,1.0,10.0,6.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,100,,2.0,0.0,1.0,0.0
"Cornes, Kane",2003,R1,padelaide,WC,13.0,10.0,3.0,2.0,0.0,4.0,0.0,6.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,100,,5.0,0.0,0.0,0.0
"Dew, Stuart",2003,R1,padelaide,WC,11.0,9.0,2.0,1.0,1.0,1.0,3.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,97,,2.0,0.0,0.0,0.0
"Francou, Josh",2003,R1,padelaide,WC,17.0,6.0,11.0,0.0,0.0,2.0,5.0,5.0,8.0,11.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,93,,6.0,1.0,0.0,0.0
"Guerra, Brent",2003,R1,padelaide,WC,7.0,6.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,70,,3.0,1.0,0.0,0.0
"Hall, Christopher",2003,R1,padelaide,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Hardwick, Damien",2003,R1,padelaide,WC,13.0,10.0,3.0,0.0,0.0,2.0,2.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,65,,4.0,1.0,0.0,0.0
"James, Roger",2003,R1,padelaide,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsley, Adam",2003,R1,padelaide,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Lade, Brendon",2003,R1,padelaide,WC,10.0,5.0,5.0,0.0,0.0,4.0,2.0,1.0,6.0,3.0,9.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,60,,2.0,0.0,0.0,0.0
"Montgomery, Brett",2003,R1,padelaide,WC,17.0,10.0,7.0,0.0,0.0,7.0,1.0,3.0,5.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,82,,3.0,2.0,3.0,0.0
"Morgan, Adam",2003,R1,padelaide,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Paxman, Stephen",2003,R1,padelaide,WC,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100,,1.0,3.0,0.0,0.0
"Pickett, Byron",2003,R1,padelaide,WC,14.0,10.0,4.0,0.0,1.0,6.0,2.0,1.0,5.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,96,,1.0,0.0,4.0,0.0
"Poulton, Jared",2003,R1,padelaide,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Primus, Matthew",2003,R1,padelaide,WC,7.0,3.0,4.0,0.0,0.0,2.0,0.0,3.0,4.0,3.0,14.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,70,,4.0,0.0,0.0,0.0
"Salopek, Steven",2003,R1,padelaide,WC,8.0,6.0,2.0,2.0,0.0,4.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,59,,0.0,2.0,0.0,0.0
"Schofield, Jarrad",2003,R1,padelaide,WC,,,,,,,,,,,,,,,,,,,,,,,,
"Stevens, Nick",2003,R1,padelaide,WC,21.0,14.0,7.0,0.0,0.0,3.0,2.0,5.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,92,,1.0,2.0,0.0,0.0
