Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Bardsley, Kristian",1998,R1,stkilda,GE,,,,,,,,,,,,,,,,,,,,,,,,
"Beveridge, Luke",1998,R1,stkilda,GE,9.0,6.0,3.0,2.0,1.0,3.0,1.0,2.0,,,0.0,,,,0.0,0.0,1.0,2.0,,,0.0,,,0.0
"Brown, Tony",1998,R1,stkilda,GE,17.0,10.0,7.0,0.0,1.0,4.0,4.0,0.0,,,0.0,,,,0.0,0.0,4.0,1.0,,,1.0,,,0.0
"Burke, Nathan",1998,R1,stkilda,GE,20.0,17.0,3.0,0.0,0.0,0.0,6.0,2.0,,,0.0,,,,0.0,0.0,3.0,3.0,,,1.0,,,0.0
"Campbell, Brad",1998,R1,stkilda,GE,,,,,,,,,,,,,,,,,,,,,,,,
"Cook, Brett",1998,R1,stkilda,GE,,,,,,,,,,,,,,,,,,,,,,,,
"Cranage, Sam",1998,R1,stkilda,GE,,,,,,,,,,,,,,,,,,,,,,,,
"Cripps, Jason",1998,R1,stkilda,GE,22.0,17.0,5.0,0.0,0.0,10.0,4.0,1.0,,,0.0,,,,1.0,2.0,3.0,4.0,,,2.0,,,0.0
"Daniels, Jayson",1998,R1,stkilda,GE,,,,,,,,,,,,,,,,,,,,,,,,
"Elliott, Tim",1998,R1,stkilda,GE,,,,,,,,,,,,,,,,,,,,,,,,
"Everitt, Peter",1998,R1,stkilda,GE,13.0,10.0,3.0,0.0,0.0,4.0,2.0,0.0,,,9.0,,,,2.0,2.0,2.0,3.0,,,2.0,,,0.0
"Hall, Barry",1998,R1,stkilda,GE,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,,1.0,0.0,0.0,0.0,,,0.0,,,0.0
"Harvey, Robert",1998,R1,stkilda,GE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0
"Healy, Daniel",1998,R1,stkilda,GE,5.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,,,0.0,,,,0.0,2.0,0.0,0.0,,,0.0,,,0.0
"Heatley, Jason",1998,R1,stkilda,GE,9.0,7.0,2.0,3.0,0.0,5.0,0.0,2.0,,,3.0,,,,1.0,2.0,2.0,0.0,,,0.0,,,0.0
"Hudghton, Max",1998,R1,stkilda,GE,7.0,6.0,1.0,0.0,1.0,3.0,0.0,2.0,,,0.0,,,,1.0,1.0,1.0,3.0,,,1.0,,,0.0
"Jones, Austinn",1998,R1,stkilda,GE,14.0,10.0,4.0,2.0,0.0,0.0,1.0,0.0,,,0.0,,,,0.0,0.0,5.0,0.0,,,0.0,,,1.0
"Keogh, Rod",1998,R1,stkilda,GE,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,1.0,1.0,0.0,,,0.0,,,0.0
"Knowles, Brett",1998,R1,stkilda,GE,,,,,,,,,,,,,,,,,,,,,,,,
"Lappin, Matthew",1998,R1,stkilda,GE,13.0,6.0,7.0,0.0,0.0,4.0,1.0,0.0,,,0.0,,,,0.0,0.0,2.0,0.0,,,3.0,,,0.0
"Loewe, Stewart",1998,R1,stkilda,GE,13.0,11.0,2.0,4.0,1.0,3.0,0.0,1.0,,,14.0,,,,4.0,4.0,2.0,1.0,,,0.0,,,0.0
"McLaren, Joe",1998,R1,stkilda,GE,,,,,,,,,,,,,,,,,,,,,,,,
"Mitchell, Gavin",1998,R1,stkilda,GE,15.0,11.0,4.0,2.0,1.0,4.0,4.0,2.0,,,0.0,,,,0.0,2.0,5.0,1.0,,,1.0,,,0.0
"Peckett, Justin",1998,R1,stkilda,GE,17.0,12.0,5.0,0.0,0.0,5.0,0.0,2.0,,,0.0,,,,0.0,0.0,3.0,2.0,,,0.0,,,3.0
"Sierakowski, David",1998,R1,stkilda,GE,12.0,7.0,5.0,0.0,0.0,3.0,1.0,1.0,,,9.0,,,,2.0,1.0,2.0,1.0,,,2.0,,,0.0
"Sziller, Steven",1998,R1,stkilda,GE,11.0,6.0,5.0,1.0,0.0,3.0,1.0,1.0,,,0.0,,,,1.0,0.0,1.0,3.0,,,0.0,,,0.0
