Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Barlow, Ed",2010,R1,swans,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Bevan, Paul",2010,R1,swans,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Bird, Craig",2010,R1,swans,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Bolton, Craig",2010,R1,swans,SK,18.0,8.0,10.0,0.0,0.0,2.0,1.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,84,,2.0,2.0,1.0,0.0
"Bolton, Jude",2010,R1,swans,SK,23.0,7.0,16.0,0.0,0.0,2.0,5.0,8.0,13.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,81,,2.0,2.0,0.0,0.0
"Bradshaw, Daniel",2010,R1,swans,SK,10.0,7.0,3.0,1.0,1.0,4.0,0.0,1.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,89,,0.0,1.0,0.0,0.0
"Dennis-Lane, Trent",2010,R1,swans,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Goodes, Adam",2010,R1,swans,SK,16.0,11.0,5.0,3.0,1.0,6.0,3.0,1.0,6.0,8.0,0.0,1.0,3.0,4.0,2.0,0.0,3.0,0.0,100,,1.0,0.0,0.0,0.0
"Grundy, Heath",2010,R1,swans,SK,20.0,14.0,6.0,0.0,0.0,5.0,0.0,2.0,5.0,14.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,95,,5.0,6.0,0.0,0.0
"Hannebery, Dan",2010,R1,swans,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Heath, Campbell",2010,R1,swans,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Jack, Kieren",2010,R1,swans,SK,21.0,14.0,7.0,1.0,1.0,3.0,4.0,2.0,10.0,9.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,83,,2.0,1.0,0.0,0.0
"Jetta, Lewis",2010,R1,swans,SK,12.0,8.0,4.0,0.0,0.0,5.0,0.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,69,,0.0,3.0,0.0,0.0
"Kennedy, Josh",2010,R1,swans,SK,18.0,5.0,13.0,0.0,0.0,2.0,2.0,4.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,68,,3.0,1.0,0.0,0.0
"Kennelly, Tadhg",2010,R1,swans,SK,28.0,18.0,10.0,0.0,0.0,7.0,2.0,3.0,7.0,21.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,4.0,89,,3.0,2.0,2.0,0.0
"Kirk, Brett",2010,R1,swans,SK,16.0,7.0,9.0,1.0,0.0,1.0,2.0,6.0,7.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,78,,0.0,0.0,0.0,0.0
"Malceski, Nick",2010,R1,swans,SK,25.0,14.0,11.0,1.0,0.0,6.0,2.0,4.0,13.0,11.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,4.0,76,,1.0,2.0,0.0,0.0
"Mattner, Martin",2010,R1,swans,SK,9.0,4.0,5.0,2.0,0.0,3.0,1.0,1.0,6.0,4.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,87,,4.0,4.0,0.0,0.0
"McGlynn, Ben",2010,R1,swans,SK,11.0,3.0,8.0,0.0,0.0,1.0,3.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,80,,1.0,2.0,0.0,0.0
"McVeigh, Jarrad",2010,R1,swans,SK,29.0,15.0,14.0,1.0,0.0,5.0,7.0,3.0,14.0,15.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,92,,2.0,4.0,1.0,2.0
"Meredith, Brett",2010,R1,swans,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Moore, Jarred",2010,R1,swans,SK,19.0,7.0,12.0,1.0,1.0,0.0,2.0,4.0,12.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,91,,2.0,1.0,0.0,0.0
"Mumford, Shane",2010,R1,swans,SK,9.0,4.0,5.0,0.0,1.0,1.0,3.0,6.0,6.0,2.0,16.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,56,,1.0,4.0,0.0,0.0
"ODwyer, Matthew",2010,R1,swans,SK,,,,,,,,,,,,,,,,,,,,,,,,
"OKeefe, Ryan",2010,R1,swans,SK,33.0,18.0,15.0,1.0,3.0,2.0,6.0,7.0,12.0,21.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,2.0,84,,3.0,0.0,0.0,0.0
"Playfair, Henry",2010,R1,swans,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Pyke, Mike",2010,R1,swans,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Reid, Sam",2010,R1,swans,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Richards, Ted",2010,R1,swans,SK,11.0,8.0,3.0,0.0,0.0,3.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,75,,2.0,2.0,0.0,0.0
"Roberts-Thomson, Lewis",2010,R1,swans,SK,10.0,5.0,5.0,0.0,0.0,3.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,88,,1.0,9.0,0.0,0.0
"Rohan, Gary",2010,R1,swans,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Seaby, Mark",2010,R1,swans,SK,14.0,6.0,8.0,0.0,0.0,5.0,1.0,0.0,6.0,7.0,33.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,63,,0.0,3.0,0.0,0.0
"Shaw, Rhyce",2010,R1,swans,SK,20.0,10.0,10.0,0.0,0.0,5.0,0.0,1.0,4.0,16.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,81,,3.0,0.0,0.0,0.0
"Smith, Nick",2010,R1,swans,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Veszpremi, Patrick",2010,R1,swans,SK,,,,,,,,,,,,,,,,,,,,,,,,
"White, Jesse",2010,R1,swans,SK,7.0,3.0,4.0,1.0,0.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,89,,2.0,0.0,0.0,0.0
"Barlow, Ed",2010,R2,swans,AD,,,,,,,,,,,,,,,,,,,,,,,,
"Bevan, Paul",2010,R2,swans,AD,,,,,,,,,,,,,,,,,,,,,,,,
"Bird, Craig",2010,R2,swans,AD,,,,,,,,,,,,,,,,,,,,,,,,
"Bolton, Craig",2010,R2,swans,AD,12.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,86,,1.0,4.0,0.0,0.0
"Bolton, Jude",2010,R2,swans,AD,12.0,5.0,7.0,0.0,0.0,1.0,3.0,5.0,5.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,77,,1.0,0.0,0.0,0.0
"Bradshaw, Daniel",2010,R2,swans,AD,8.0,3.0,5.0,2.0,0.0,3.0,0.0,1.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,87,,1.0,0.0,0.0,0.0
"Dennis-Lane, Trent",2010,R2,swans,AD,,,,,,,,,,,,,,,,,,,,,,,,
"Goodes, Adam",2010,R2,swans,AD,21.0,14.0,7.0,1.0,0.0,10.0,0.0,2.0,4.0,17.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,91,,2.0,1.0,0.0,0.0
"Grundy, Heath",2010,R2,swans,AD,26.0,12.0,14.0,0.0,0.0,9.0,2.0,4.0,9.0,17.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,4.0,90,,0.0,1.0,1.0,0.0
