Date,Venue,Crowd,round,year,Home,Away,Home Score,Away Score
Fri 14 Mar 7:50pm,Marvel Stadium,37571,R1,2014,COL,FRE,46,116
Sat 15 Mar 4:40pm,GIANTS Stadium,17102,R1,2014,GWS,SYD,99,67
Sat 15 Mar 6:40pm,Heritage Bank Stadium,19425,R1,2014,GCS,RCH,87,69
Sun 16 Mar 7:40pm,Marvel Stadium,24460,R1,2014,CAR,POR,87,120
Thu 20 Mar 7:10pm,GMHBA Stadium,23622,R1,2014,GEE,ADE,119,81
Fri 21 Mar 7:50pm,Marvel Stadium,42332,R1,2014,NTH,ESS,60,99
Sat 22 Mar 4:40pm,UTAS Stadium,12430,R1,2014,HAW,BRL,139,91
Sat 22 Mar 7:40pm,Marvel Stadium,31607,R1,2014,STK,MEL,68,51
Sun 23 Mar 4:40pm,Domain Stadium,36752,R1,2014,WCE,WBD,134,69
Thu 27 Mar 7:45pm,MCG,62037,R2,2014,RCH,CAR,98,86
Fri 28 Mar 7:50pm,Marvel Stadium,44163,R2,2014,ESS,HAW,86,90
Sat 29 Mar 1:40pm,Marvel Stadium,19640,R2,2014,STK,GWS,95,88
Sat 29 Mar 4:10pm,Adelaide Oval,50397,R2,2014,POR,ADE,127,73
Sat 29 Mar 4:40pm,Domain Stadium,35583,R2,2014,FRE,GCS,87,39
Sat 29 Mar 7:40pm,Accor Stadium,32347,R2,2014,SYD,COL,69,89
Sun 30 Mar 12:10pm,Gabba,20933,R2,2014,BRL,GEE,68,93
Sun 30 Mar 3:20pm,MCG,22226,R2,2014,MEL,WCE,30,123
Sun 30 Mar 4:40pm,Marvel Stadium,28512,R2,2014,WBD,NTH,54,83
Fri 4 Apr 7:50pm,MCG,43583,R3,2014,HAW,FRE,137,79
Sat 5 Apr 1:40pm,Adelaide Oval,47426,R3,2014,ADE,SYD,71,134
Sat 5 Apr 1:45pm,Marvel Stadium,31724,R3,2014,WBD,RCH,100,98
Sat 5 Apr 3:40pm,Heritage Bank Stadium,16593,R3,2014,GCS,BRL,114,61
Sat 5 Apr 4:40pm,Domain Stadium,36448,R3,2014,WCE,STK,83,58
Sat 5 Apr 7:40pm,MCG,63152,R3,2014,COL,GEE,76,87
Sun 6 Apr 1:10pm,GIANTS Stadium,7016,R3,2014,GWS,MEL,79,47
Sun 6 Apr 4:10pm,Marvel Stadium,19111,R3,2014,NTH,POR,97,90
Sun 6 Apr 7:10pm,MCG,62730,R3,2014,ESS,CAR,138,57
Fri 11 Apr 7:50pm,MCG,62100,R4,2014,RCH,COL,72,110
Sat 12 Apr 1:40pm,Adelaide Oval,36231,R4,2014,POR,BRL,159,46
Sat 12 Apr 1:45pm,MCG,37323,R4,2014,CAR,MEL,58,81
Sat 12 Apr 4:40pm,Manuka Oval,7863,R4,2014,GWS,WBD,83,110
Sat 12 Apr 7:40pm,GMHBA Stadium,25271,R4,2014,GEE,WCE,107,32
Sat 12 Apr 7:40pm,Heritage Bank Stadium,17729,R4,2014,GCS,HAW,49,148
Sun 13 Apr 1:10pm,SCG,25505,R4,2014,SYD,NTH,48,91
Sun 13 Apr 2:40pm,Domain Stadium,36722,R4,2014,FRE,ESS,113,60
Sun 13 Apr 3:20pm,Marvel Stadium,22923,R4,2014,STK,ADE,50,136
Thu 17 Apr 7:50pm,Gabba,20676,R5,2014,BRL,RCH,63,106
Sat 19 Apr 1:40pm,MCG,57116,R5,2014,COL,NTH,93,58
Sat 19 Apr 4:40pm,SCG,25376,R5,2014,SYD,FRE,92,75
Sat 19 Apr 5:40pm,Domain Stadium,35366,R5,2014,WCE,POR,56,70
Sat 19 Apr 7:40pm,Marvel Stadium,36041,R5,2014,ESS,STK,65,81
Sun 20 Apr 12:40pm,Adelaide Oval,44770,R5,2014,ADE,GWS,137,72
Sun 20 Apr 3:20pm,MCG,17243,R5,2014,MEL,GCS,78,86
Sun 20 Apr 4:40pm,Marvel Stadium,27986,R5,2014,WBD,CAR,91,119
Mon 21 Apr 3:20pm,MCG,80222,R5,2014,GEE,HAW,106,87
Fri 25 Apr 2:40pm,MCG,91731,R6,2014,COL,ESS,83,60
Fri 25 Apr 6:40pm,Domain Stadium,37624,R6,2014,FRE,NTH,61,74
Fri 25 Apr 7:45pm,Westpac Stadium,13409,R6,2014,STK,BRL,79,82
Sat 26 Apr 1:40pm,Heritage Bank Stadium,11504,R6,2014,GCS,GWS,134,94
Sat 26 Apr 4:40pm,Marvel Stadium,31005,R6,2014,CAR,WCE,92,89
Sat 26 Apr 7:40pm,MCG,24855,R6,2014,MEL,SYD,38,69
Sun 27 Apr 1:10pm,Marvel Stadium,17404,R6,2014,WBD,ADE,83,92
Sun 27 Apr 3:20pm,MCG,52990,R6,2014,RCH,HAW,52,118
Sun 27 Apr 4:10pm,Adelaide Oval,47007,R6,2014,POR,GEE,107,67
Fri 2 May 7:50pm,MCG,68251,R7,2014,CAR,COL,70,104
Sat 3 May 1:45pm,MCG,32924,R7,2014,HAW,STK,175,30
