Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
bruce abernethy,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
allan bartlett,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
mark bickley,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
david brown,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
grantley fielke,1991,R1,ADE,HAW,28.0,19.0,9.0,0.0,1.0,3.0,,2.0,,,0.0,,,,3.0,1.0,,,,,,,,0.0
darel hart,1991,R1,ADE,HAW,17.0,7.0,10.0,1.0,1.0,4.0,,0.0,,,0.0,,,,1.0,1.0,,,,,,,,0.0
eddie hocking,1991,R1,ADE,HAW,8.0,3.0,5.0,0.0,1.0,2.0,,1.0,,,0.0,,,,1.0,1.0,,,,,,,,0.0
scott hodges,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
danny hughes,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
rod jameson,1991,R1,ADE,HAW,2.0,2.0,0.0,0.0,0.0,0.0,,1.0,,,0.0,,,,1.0,0.0,,,,,,,,0.0
andrew jarman,1991,R1,ADE,HAW,29.0,15.0,14.0,1.0,0.0,4.0,,0.0,,,0.0,,,,0.0,3.0,,,,,,,,3.0
matthew kelly,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
john klug,1991,R1,ADE,HAW,21.0,11.0,10.0,4.0,1.0,9.0,,0.0,,,0.0,,,,1.0,1.0,,,,,,,,0.0
clayton lamb,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
scott lee,1991,R1,ADE,HAW,29.0,15.0,14.0,0.0,0.0,9.0,,1.0,,,0.0,,,,2.0,1.0,,,,,,,,0.0
bruce lindner,1991,R1,ADE,HAW,15.0,9.0,6.0,4.0,2.0,2.0,,1.0,,,0.0,,,,4.0,3.0,,,,,,,,0.0
bruce lindsay,1991,R1,ADE,HAW,14.0,10.0,4.0,0.0,0.0,4.0,,1.0,,,0.0,,,,0.0,1.0,,,,,,,,0.0
matthew liptak,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
david marshall,1991,R1,ADE,HAW,29.0,22.0,7.0,2.0,0.0,7.0,,1.0,,,0.0,,,,3.0,3.0,,,,,,,,2.0
rodney maynard,1991,R1,ADE,HAW,20.0,12.0,8.0,3.0,0.0,8.0,,2.0,,,0.0,,,,2.0,0.0,,,,,,,,0.0
chris mcdermott,1991,R1,ADE,HAW,21.0,11.0,10.0,0.0,1.0,3.0,,1.0,,,0.0,,,,0.0,4.0,,,,,,,,0.0
tony mcguinness,1991,R1,ADE,HAW,24.0,22.0,2.0,3.0,0.0,3.0,,3.0,,,0.0,,,,1.0,3.0,,,,,,,,0.0
peter mcintyre,1991,R1,ADE,HAW,13.0,6.0,7.0,4.0,0.0,5.0,,0.0,,,1.0,,,,1.0,1.0,,,,,,,,0.0
mark mickan,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
michael murphy,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
romano negri,1991,R1,ADE,HAW,10.0,1.0,9.0,0.0,0.0,5.0,,0.0,,,10.0,,,,2.0,0.0,,,,,,,,0.0
paul patterson,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
andrew payze,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
shaun rehn,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
stephen rowe,1991,R1,ADE,HAW,,,,,,,,,,,,,,,,,,,,,,,,
nigel smart,1991,R1,ADE,HAW,15.0,6.0,9.0,0.0,0.0,6.0,,1.0,,,0.0,,,,0.0,0.0,,,,,,,,1.0
