Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Akermanis, Jason",2002,R1,brisbanel,SY,26.0,20.0,6.0,3.0,0.0,8.0,7.0,3.0,9.0,17.0,0.0,0.0,1.0,,0.0,1.0,6.0,3.0,,,2.0,1.0,0.0,0.0
"Ashcroft, Marcus",2002,R1,brisbanel,SY,17.0,8.0,9.0,0.0,0.0,2.0,2.0,1.0,10.0,8.0,0.0,0.0,0.0,,1.0,1.0,4.0,1.0,,,1.0,3.0,0.0,0.0
"Black, Simon",2002,R1,brisbanel,SY,21.0,9.0,12.0,0.0,0.0,3.0,7.0,3.0,14.0,9.0,0.0,0.0,0.0,,0.0,3.0,2.0,2.0,,,5.0,0.0,1.0,0.0
"Bolton, Craig",2002,R1,brisbanel,SY,,,,,,,,,,,,,,,,,,,,,,,,
"Bradshaw, Daniel",2002,R1,brisbanel,SY,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,1.0,0.0,,,2.0,0.0,0.0,0.0
"Bradshaw, Darren",2002,R1,brisbanel,SY,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, Jonathan",2002,R1,brisbanel,SY,16.0,11.0,5.0,0.0,1.0,6.0,1.0,3.0,11.0,5.0,1.0,3.0,1.0,,2.0,3.0,3.0,0.0,,,4.0,0.0,1.0,0.0
"Charman, Jamie",2002,R1,brisbanel,SY,,,,,,,,,,,,,,,,,,,,,,,,
"Copeland, Robert",2002,R1,brisbanel,SY,8.0,7.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,,,1.0,2.0,0.0,0.0
"Hart, Shaun",2002,R1,brisbanel,SY,6.0,4.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,2.0,0.0,1.0,0.0
"Headland, Des",2002,R1,brisbanel,SY,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, Chris",2002,R1,brisbanel,SY,,,,,,,,,,,,,,,,,,,,,,,,
"Keating, Clark",2002,R1,brisbanel,SY,,,,,,,,,,,,,,,,,,,,,,,,
"Lappin, Nigel",2002,R1,brisbanel,SY,27.0,22.0,5.0,0.0,1.0,5.0,4.0,2.0,8.0,19.0,0.0,0.0,0.0,,2.0,1.0,8.0,3.0,,,2.0,1.0,0.0,3.0
"Leppitsch, Justin",2002,R1,brisbanel,SY,18.0,15.0,3.0,5.0,1.0,8.0,1.0,0.0,10.0,7.0,0.0,3.0,5.0,,0.0,0.0,1.0,3.0,,,3.0,7.0,1.0,2.0
"Lynch, Alastair",2002,R1,brisbanel,SY,9.0,5.0,4.0,1.0,0.0,2.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,,0.0,1.0,0.0,3.0,,,1.0,1.0,0.0,0.0
"McDonald, Beau",2002,R1,brisbanel,SY,6.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,30.0,0.0,1.0,,0.0,0.0,1.0,2.0,,,0.0,6.0,0.0,1.0
