Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Alvey, Mark",2001,R1,bullldogs,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Bartlett, Trent",2001,R1,bullldogs,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,,1.0,0.0,0.0,0.0
"Bowden, Patrick",2001,R1,bullldogs,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, Nathan",2001,R1,bullldogs,SK,7.0,5.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,,1.0,1.0,4.0,0.0,,,0.0,1.0,0.0,0.0
"Contessa, Adam",2001,R1,bullldogs,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Cox, Simon",2001,R1,bullldogs,SK,11.0,8.0,3.0,0.0,0.0,6.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,,,1.0,0.0,0.0,0.0
"Croft, Matthew",2001,R1,bullldogs,SK,8.0,6.0,2.0,0.0,0.0,3.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,,1.0,0.0,0.0,2.0,,,1.0,0.0,0.0,0.0
"Curley, Todd",2001,R1,bullldogs,SK,12.0,11.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,9.0,0.0,0.0,0.0,,0.0,0.0,2.0,4.0,,,0.0,2.0,1.0,0.0
"Darcy, Luke",2001,R1,bullldogs,SK,19.0,10.0,9.0,1.0,1.0,7.0,3.0,1.0,12.0,7.0,17.0,4.0,0.0,,1.0,2.0,3.0,2.0,,,1.0,1.0,0.0,0.0
"Dimattina, Paul",2001,R1,bullldogs,SK,15.0,9.0,6.0,2.0,0.0,4.0,0.0,3.0,7.0,9.0,0.0,0.0,2.0,,1.0,0.0,2.0,2.0,,,1.0,2.0,1.0,0.0
"Dooley, Paul",2001,R1,bullldogs,SK,,,,,,,,,,,,,,,,,,,,,,,,
"Eagleton, Nathan",2001,R1,bullldogs,SK,12.0,9.0,3.0,0.0,1.0,4.0,1.0,2.0,4.0,9.0,0.0,0.0,0.0,,0.0,1.0,6.0,2.0,,,1.0,1.0,0.0,0.0
