Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Atkins, Tom",2022,R1,geelong,ES,21.0,9.0,12.0,0.0,0.0,4.0,3.0,3.0,12.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,86,-,1.0,1.0,0.0,0.0
"Bews, Jed",2022,R1,geelong,ES,,,,,,,,,,,,,,,,,,,,,,,,
"Blicavs, Mark",2022,R1,geelong,ES,12.0,6.0,6.0,0.0,0.0,3.0,0.0,1.0,7.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,86,-,4.0,6.0,0.0,0.0
"Cameron, Jeremy",2022,R1,geelong,ES,5.0,4.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,17,Off,0.0,0.0,0.0,0.0
"Ceglar, Jonathon",2022,R1,geelong,ES,,,,,,,,,,,,,,,,,,,,,,,,
"Close, Brad",2022,R1,geelong,ES,16.0,10.0,6.0,2.0,2.0,6.0,0.0,0.0,5.0,11.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,81,-,3.0,0.0,0.0,0.0
"Dahlhaus, Luke",2022,R1,geelong,ES,14.0,5.0,9.0,1.0,0.0,3.0,1.0,4.0,4.0,11.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,71,-,0.0,1.0,0.0,0.0
"Dangerfield, Patrick",2022,R1,geelong,ES,31.0,18.0,13.0,1.0,2.0,4.0,8.0,2.0,19.0,12.0,0.0,2.0,0.0,4.0,0.0,0.0,9.0,1.0,88,-,3.0,5.0,0.0,3.0
"De Koning, Sam",2022,R1,geelong,ES,6.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,44,-,0.0,2.0,0.0,0.0
"Dempsey, Oliver",2022,R1,geelong,ES,,,,,,,,,,,,,,,,,,,,,,,,
