Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Anderson, Greg",,,5,-,-,,-,2,-,1,-,2,1,1,1,-,-,,,,,,13.0
"Bickley, Mark",1,1,-,1,1,1,-,1,1,1,1,2,-,-,-,1,2,1,-,-,1,-,16.0
"Brown, David",1,-,2,1,-,-,,-,-,-,,,,,,,,,,,-,2,6.0
"Chalmers, Brett",2,1,-,-,2,-,1,-,-,1,-,1,-,1,-,,,,,,,,9.0
"Connell, Matthew",2,1,2,-,-,5,-,1,1,1,1,-,-,-,1,-,1,-,1,1,,3,21.0
"Edwards, Tyson",,,,,,,,,,,1,-,-,1,-,1,-,-,-,1,1,2,7.0
"Hall, Tony",-,1,-,,,,-,,,,,,,-,,,,,-,,,,1.0
"Hart, Ben",,1,-,2,-,-,1,3,-,-,1,-,1,2,-,1,1,1,-,-,1,1,16.0
"Ingerson, Anthony",,,,-,,-,-,,,,,1,-,,,-,1,-,-,,,,2.0
"Jameson, Rod",1,1,3,1,2,-,2,3,3,-,2,-,1,1,-,2,1,-,,2,2,3,30.0
"Jarman, Andrew",2,-,-,1,2,1,2,1,2,2,3,1,1,,1,1,2,2,2,-,-,1,27.0
"Kluzek, Matthew",-,-,-,-,,1,-,-,3,1,1,1,-,,,,,,1,,,,8.0
"Lee, Scott",-,1,1,,,,,,1,1,,,,,-,1,-,,,,,,5.0
"Liptak, Matthew",,,,,,-,1,2,,,,,,,,,,-,1,1,2,-,7.0
"Maynard, Rodney",,,,,-,,,,,,,,,2,,,,,,-,-,1,3.0
"McCartney, Jason",-,1,-,1,-,-,3,1,1,-,1,2,,,2,2,1,1,-,-,3,-,19.0
"McDermott, Chris",1,2,1,-,-,-,,,-,3,1,1,1,-,3,4,3,3,-,1,1,-,25.0
"McGuinness, Tony",1,-,2,1,-,,,,,,,,-,1,1,3,4,1,,,,,14.0
"McKinnon, Martin",-,1,3,1,2,-,-,-,,1,-,-,,-,2,-,1,-,-,,,,11.0
"McLeod, Andrew",,,,,,1,,,-,1,1,1,-,-,-,1,1,-,-,-,-,1,7.0
"Modra, Tony",-,-,,-,1,3,1,-,-,-,,,-,-,,1,1,,,3,-,2,12.0
"Pesch, Nick",,,,,,,,2,-,-,-,1,-,-,1,-,1,-,-,1,-,-,6.0
"Pittman, David",3,1,,1,2,7,2,-,2,4,1,,,,4,4,4,2,2,4,2,2,47.0
"Powell, Matthew",-,-,2,-,-,,2,,,,,,,,-,,,,,,,,4.0
"Rehn, Shaun",1,3,1,,,,,,,,,,,,,,,,,,,,5.0
"Ricciuto, Mark",1,-,1,3,1,1,-,-,-,,-,3,-,-,-,-,1,-,-,1,1,2,15.0
"Robran, Matthew",,,-,-,1,,,-,,,,,1,-,,,,-,1,-,1,2,6.0
"Rowe, Stephen",,,,,,,-,,,,-,1,,,,,,,,,,,1.0
"Smart, Nigel",-,1,-,-,1,1,1,1,-,-,5,3,1,2,-,3,1,2,1,-,-,-,23.0
"Tasker, Sean",,,,,,,,1,-,1,-,,,,-,1,,1,1,-,,,5.0
"Tregenza, Simon",1,,,-,-,,,-,-,1,1,1,-,-,,3,2,2,-,2,-,1,14.0
"Viska, Mark",,,,,,2,-,,,,,,,,2,,,,,1,1,1,7.0
"Weidemann, Wayne",,,,,,1,,,,,,3,-,1,,,,,,3,-,1,9.0
"Wellman, Sean",1,-,1,,-,2,1,-,1,-,-,-,1,1,,,-,2,1,,-,,11.0
Totals,18,16,24,13,15,26,17,18,15,19,20,24,8,13,18,29,28,18,11,21,16,25,412.0
Opponent,NM,BB,SK,WC,SY,ME,RI,FI,HW,GE,FO,FR,CW,ES,CA,NM,BB,SK,WC,SY,ME,RI,
