Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Anderson, Greg",,,4,-,1,,1,4,-,2,1,-,1,1,4,-,1,,,,,,20.0
"Bickley, Mark",1,1,-,2,2,-,3,-,3,7,4,2,1,1,1,3,1,2,3,1,2,2,42.0
"Brown, David",1,-,3,1,1,2,,4,-,1,,,,,,,,,,,1,1,15.0
"Chalmers, Brett",1,4,-,1,1,-,-,-,1,-,2,1,1,1,1,,,,,,,,14.0
"Connell, Matthew",2,1,1,2,1,1,1,2,1,-,1,1,-,-,1,1,-,1,-,-,,1,18.0
"Edwards, Tyson",,,,,,,,,,,2,-,-,1,-,1,-,1,-,-,1,2,8.0
"Hall, Tony",1,2,-,,,,-,,,,,,,-,,,,,-,,,,3.0
"Hart, Ben",,2,3,5,1,1,2,2,3,1,1,1,2,1,2,1,-,3,2,1,2,1,37.0
"Ingerson, Anthony",,,,1,,-,2,,,,,1,-,,,1,-,-,-,,,,5.0
"Jameson, Rod",1,2,1,-,1,1,-,2,-,-,-,-,1,2,-,1,1,1,,-,1,1,16.0
"Jarman, Andrew",1,1,5,5,-,4,4,5,9,4,2,2,2,,2,4,6,4,3,3,3,1,70.0
"Kluzek, Matthew",-,-,3,1,,3,2,-,2,1,-,2,3,,,,,,2,,,,19.0
"Lee, Scott",1,1,3,,,,,,2,1,,,,,2,-,1,,,,,,11.0
"Liptak, Matthew",,,,,,6,1,5,,,,,,,,,,3,-,2,2,1,20.0
"Maynard, Rodney",,,,,-,,,,,,,,,-,,,,,,3,2,2,7.0
"McCartney, Jason",1,-,1,-,-,1,3,2,2,-,1,2,,,-,1,1,2,1,-,1,-,19.0
"McDermott, Chris",2,3,2,4,1,-,,,2,3,1,-,-,1,2,-,3,3,1,-,-,1,29.0
"McGuinness, Tony",-,-,2,3,1,,,,,,,,-,-,2,3,2,2,,,,,15.0
"McKinnon, Martin",1,1,1,2,1,1,1,-,,1,-,-,,-,4,1,1,-,1,,,,16.0
"McLeod, Andrew",,,,,,2,,,2,1,1,2,2,2,3,-,3,-,-,-,-,-,18.0
"Modra, Tony",1,-,,-,-,1,-,-,2,-,,,-,-,,-,-,,,-,-,-,4.0
"Pesch, Nick",,,,,,,,2,2,-,4,-,1,-,1,1,2,1,-,-,-,-,14.0
"Pittman, David",-,1,,2,-,3,2,2,2,1,-,,,,-,-,3,2,-,-,1,1,20.0
"Powell, Matthew",-,3,1,-,-,,1,,,,,,,,1,,,,,,,,6.0
"Rehn, Shaun",1,-,1,,,,,,,,,,,,,,,,,,,,2.0
"Ricciuto, Mark",1,1,-,1,3,3,1,2,3,,1,-,2,1,-,-,1,-,-,-,3,1,24.0
"Robran, Matthew",,,-,2,2,,,-,,,,,1,-,,,,3,-,1,-,2,11.0
"Rowe, Stephen",,,,,,,1,,,,4,1,,,,,,,,,,,6.0
"Smart, Nigel",1,-,5,3,4,5,2,1,2,3,4,-,1,-,3,3,2,3,4,-,-,3,49.0
"Tasker, Sean",,,,,,,,3,1,-,-,,,,2,-,,1,1,1,,,9.0
"Tregenza, Simon",2,,,3,-,,,-,1,2,1,1,-,-,,2,2,1,1,1,1,-,18.0
"Viska, Mark",,,,,,1,2,,,,,,,,-,,,,,2,4,1,10.0
"Weidemann, Wayne",,,,,,2,,,,,,1,3,1,,,,,,2,-,1,10.0
"Wellman, Sean",1,1,1,,-,-,1,1,1,-,-,-,1,1,,,-,2,-,,-,,10.0
Totals,20,24,37,38,20,37,30,37,41,28,30,17,22,13,31,23,30,35,19,17,24,22,595.0
Opponent,NM,BB,SK,WC,SY,ME,RI,FI,HW,GE,FO,FR,CW,ES,CA,NM,BB,SK,WC,SY,ME,RI,
