Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,Tot
"Bassett, Nathan",5,5,4,6,6,2,,7,4,5,2,1,3,2,10,7,4,10,-,,7,8,2,4,104.0
"Biglands, Rhett",1,2,-,2,1,2,1,1,2,2,1,3,3,1,1,2,1,1,,1,1,1,2,1,33.0
"Bock, Nathan",,,,,,,,,,,,,,,,-,,,3,1,6,2,2,1,15.0
"Bode, Matthew",2,1,-,2,5,1,,1,-,-,1,-,1,1,2,1,1,2,3,4,3,-,1,2,34.0
"Burton, Brett",4,1,3,1,,,1,1,1,2,7,,1,1,-,2,3,3,,,,,,1,32.0
"Clarke, Matthew",-,2,4,1,2,3,1,2,-,,,,,,,-,1,-,3,2,5,2,3,-,31.0
"Doughty, Michael",,1,-,1,2,2,5,1,3,4,2,3,5,2,4,3,1,6,3,3,2,1,1,2,57.0
"Douglas, Richard",,,,,,,,,,,,,,,,,,,,,1,2,1,,4.0
"Edwards, Tyson",-,6,5,,3,2,3,2,,-,-,-,2,-,2,1,-,5,1,-,1,1,2,2,38.0
"Goodwin, Simon",2,3,-,1,-,3,1,-,-,2,1,1,-,1,1,2,-,1,2,1,2,-,1,-,25.0
"Hart, Ben",7,2,4,5,2,3,5,1,,,,,,,,-,5,2,,3,2,,,,41.0
"Hentschel, Trent",-,,3,-,-,2,-,1,-,-,1,-,1,2,-,,2,1,-,1,2,,,,16.0
"Johncock, Graham",3,4,1,1,3,2,3,1,4,2,1,1,2,5,2,2,1,7,3,3,2,2,-,3,58.0
"Knights, Chris",1,1,,-,2,,1,,1,3,-,-,,,,,,,,,1,,,,10.0
"Maric, Ivan",,,,,,3,,,,1,-,2,-,2,-,,,,-,,,,,,8.0
"Massie, Kris",,,2,3,-,3,3,1,5,6,4,3,4,2,5,3,1,2,-,6,,-,-,,53.0
"Mattner, Martin",4,2,,,2,3,3,-,3,1,4,3,5,2,4,3,2,6,14,3,1,3,4,5,77.0
"McGregor, Ken",1,3,2,6,2,2,2,2,3,1,1,1,4,3,1,1,-,1,1,,,,,,37.0
"McLeod, Andrew",3,2,-,-,6,4,2,4,1,-,1,2,3,3,1,4,,,-,1,1,,,3,41.0
"Perrie, Ian",1,1,3,3,,,,,,,,,,,,,,,,,4,4,-,-,16.0
"Porplyzia, Jason",,,,,2,1,2,,,,,,-,,3,,-,1,-,,,4,4,1,18.0
"Reilly, Brent",2,1,2,-,1,4,-,3,1,1,1,-,-,-,1,1,2,1,-,-,3,1,3,1,29.0
"Ricciuto, Mark",-,1,-,-,,,1,1,-,1,1,1,-,1,2,2,-,2,,-,,,,,13.0
"Rutten, Ben",5,5,1,4,-,3,4,-,6,3,7,-,3,3,5,4,5,4,3,1,5,2,2,1,76.0
"Shirley, Robert",1,3,-,1,3,4,1,2,5,3,4,5,2,1,2,3,-,4,5,3,2,1,3,3,61.0
"Skipworth, Hayden",,,-,-,1,,,,1,,,,,1,,,,,,1,,,,,4.0
"Stevens, Scott",,-,,,,,2,1,4,5,3,9,1,3,1,7,8,2,8,1,,2,2,3,62.0
"Thompson, Scott",3,1,4,2,,3,3,3,2,1,2,-,-,-,1,2,1,1,1,1,-,2,6,1,40.0
"Torney, Jason",,,,,,,,,,,,2,-,2,2,1,,,,,,4,1,3,15.0
"Vince, Bernie",2,,,,2,3,,,,,,-,,,,,,,,,,,,,7.0
"Welsh, Scott",,,,,,,,,,,,,,,,,,,2,2,1,-,1,-,6.0
"van Berlo, Nathan",-,-,1,2,5,1,2,-,2,4,3,,,,,,3,4,1,-,2,4,-,2,36.0
Totals,47,47,39,41,50,56,46,35,48,47,47,37,40,38,50,51,41,66,53,38,54,46,41,39,1097.0
Opponent,CW,WC,ME,FR,WB,PA,KA,RI,CA,ES,BL,SK,GE,SY,HW,KA,WC,CW,FR,WB,PA,ME,FR,WC,
