Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Bassett, Nathan",1,4,4,5,1,-,1,-,3,2,3,1,1,,,,,,,,,,,26.0
"Bock, Nathan",1,2,-,3,2,1,4,-,-,2,1,2,-,2,1,-,1,,2,2,1,1,1,29.0
"Bode, Matthew",,3,,,,,,,,,,,,,,,,,,,,,,3.0
"Burton, Brett",2,,3,-,4,1,-,2,,,,,,5,1,5,1,2,-,2,2,-,4,34.0
"Campbell, Bryce",,,,,,,,,,,,,,,,,1,,,,,,,1.0
"Doughty, Michael",1,4,2,2,2,3,4,3,3,5,2,4,6,1,5,1,3,4,,,4,,,59.0
"Douglas, Richard",1,-,1,-,3,2,4,2,,,,,,,5,5,,5,3,5,,,,36.0
"Edwards, Tyson",4,2,2,7,5,3,4,5,1,8,2,7,4,3,3,4,4,5,6,2,6,4,3,94.0
"Gill, Nick",,,,,,,,,,,,,,,,,4,4,1,-,-,3,1,13.0
"Goodwin, Simon",-,1,1,4,5,-,4,1,4,3,-,,,3,5,6,-,3,3,3,1,-,6,53.0
"Griffin, Jonathon",-,-,-,1,3,-,2,2,-,-,2,2,1,,,,,,2,,,1,-,16.0
"Hinge, John",,,,,,2,,,,,,,,,,,,,,,,,,2.0
"Hudson, Ben",1,2,-,-,2,1,1,2,3,4,1,3,1,4,2,3,2,5,,2,1,2,2,44.0
"Jericho, Luke",,,,,,,2,1,1,,-,2,,,,,,,-,,,,,6.0
"Johncock, Graham",3,1,,,,,,,1,1,3,1,3,4,2,1,3,5,-,1,2,2,1,34.0
"Knights, Chris",-,2,3,4,2,1,6,2,-,3,2,4,1,3,4,4,2,6,1,2,,6,2,60.0
"Maric, Ivan",,,,,,,,,,,,,,3,4,2,1,5,-,,,,,15.0
"Massie, Kris",,,,,,,,,,,,2,1,1,-,2,-,1,2,3,4,1,1,18.0
"Mattner, Martin",2,3,3,4,2,-,2,2,2,4,6,2,2,,,1,1,3,,1,3,1,,44.0
"McGregor, Ken",,,,,,,,,,,1,1,1,2,1,1,1,-,,,,,1,9.0
"McLeod, Andrew",2,1,1,1,5,4,4,1,-,-,5,2,2,3,2,-,1,-,1,1,1,1,2,40.0
"Meesen, John",,,,,,,,,,,,,,,,,,,,-,-,,,
"Perrie, Ian",1,3,-,1,2,2,1,1,-,2,,,,,,3,1,-,1,,,,,18.0
"Porplyzia, Jason",,,2,2,4,,,,1,-,3,4,-,2,,,,2,1,3,4,6,2,36.0
"Reilly, Brent",4,-,4,4,-,,,,3,1,,,2,2,-,5,1,,3,1,2,5,4,41.0
"Ricciuto, Mark",,,,,,,,,,4,1,2,2,1,2,,,,,,-,-,1,13.0
"Rutten, Ben",3,-,-,1,4,1,3,3,-,1,1,-,1,-,-,,,,1,1,1,1,2,24.0
"Shirley, Robert",3,1,,,6,3,6,5,6,3,5,3,5,3,2,5,,3,-,6,5,1,10,81.0
"Stevens, Scott",1,-,4,3,1,3,3,-,1,1,4,3,1,-,2,1,-,2,4,3,2,-,1,40.0
"Thompson, Scott",7,4,5,7,4,1,4,5,-,6,5,3,4,6,7,1,4,6,7,2,5,2,6,101.0
"Torney, Jason",1,-,3,1,3,2,3,-,1,3,4,3,2,8,6,3,2,3,1,1,5,1,3,59.0
"Vince, Bernie",,,2,3,5,-,3,2,,,,,,,,,,,,,,,,15.0
"Welsh, Scott",1,1,1,3,,-,4,2,1,2,3,-,5,1,3,1,3,2,,2,3,1,3,42.0
"van Berlo, Nathan",2,3,2,2,4,2,3,4,1,3,3,3,3,7,4,5,3,8,3,3,3,3,1,75.0
Totals,41,37,43,58,69,32,68,45,32,58,57,54,48,64,61,59,39,74,42,46,55,42,57,1181.0
Opponent,ES,WB,PA,SY,FR,CW,BL,RI,CA,ME,GE,KA,WC,HW,SK,FR,ES,PA,GE,WB,BL,CW,HW,
