Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Brown, Luke",-,-,2,-,-,1,-,1,-,1,,-,-,-,-,-,1,-,-,2,-,-,8.0
"Callinan, Ian",,1,,,,,,,,,1,1,,,,,,,,-,-,2,5.0
"Crouch, Brad",,1,-,1,,,,,,,-,,-,2,-,1,-,-,-,-,1,2,8.0
"Dangerfield, Patrick",2,1,1,2,1,2,-,-,1,1,2,1,-,1,-,,,-,-,1,1,2,19.0
"Douglas, Richard",1,1,1,1,-,1,1,-,3,2,-,1,-,1,2,1,2,1,-,-,1,1,21.0
"Grigg, Mitch",,,,,,,,,,,,,,,,-,,-,2,,-,2,4.0
"Hartigan, Kyle",,,,,,,,,,,,,,,,,-,,,,2,-,2.0
"Henderson, Ricky",-,-,1,-,-,,,,,,1,-,-,-,-,-,-,1,-,,,,3.0
"Jacobs, Sam",-,1,1,1,-,3,1,-,-,-,-,-,1,1,1,-,-,1,1,-,-,1,13.0
"Jaensch, Matthew",-,-,1,-,1,2,,,,,,-,1,2,-,,,,,2,,,9.0
"Jenkins, Josh",1,3,1,-,3,2,-,-,-,-,-,-,-,1,-,2,1,,,,,,14.0
"Johncock, Graham",-,,2,,,,,,,,,,,,,,,,,,,,2.0
"Johnston, Lewis",,,,,,,,,,,,,,,,,,-,2,1,-,3,6.0
"Kerridge, Sam",,,,-,2,1,1,1,-,-,-,,,,,,,,,-,-,-,5.0
"Laird, Rory",,,,1,-,,-,-,-,-,-,1,-,1,-,-,1,1,-,-,-,-,5.0
"Lynch, Tom",,,,-,1,-,-,3,1,2,2,1,1,-,-,2,-,1,1,-,,,15.0
"Lyons, Jarryd",,,,,,-,-,1,1,-,,,,,-,-,-,-,,,,,2.0
"Mackay, David",2,1,-,-,1,-,1,-,-,1,,3,,,2,1,1,-,1,1,-,1,16.0
"Martin, Brodie",-,,,,,,,,,-,,,,,,,,,,,,,
"McKernan, Shaun",,,,,,1,1,2,2,,-,-,,1,,,2,1,,,,,10.0
"Otten, Andy",-,-,1,1,-,-,-,-,-,1,-,1,-,1,1,1,-,-,1,2,-,-,10.0
"Petrenko, Jared",-,2,2,1,1,,,,1,-,-,,,,,,,-,2,-,-,,9.0
"Porplyzia, Jason",1,-,1,-,,2,1,-,-,-,-,1,1,1,1,-,1,,,,,,10.0
"Reilly, Brent",5,1,3,2,1,-,-,-,-,1,2,,-,,,,,,,,,,15.0
"Riley, Aidan",,,,,,,,,,,,,2,-,,,,,,,,,2.0
"Rutten, Ben",1,-,-,-,2,-,-,2,2,-,-,1,-,-,1,-,,1,1,1,1,2,15.0
"Shaw, Sam",,,,,,,,,,,,,,,,,,,-,1,,,1.0
"Sloane, Rory",-,3,-,-,2,3,-,-,-,-,1,-,1,1,-,-,2,,1,2,-,3,19.0
"Smith, Brodie",,,,,-,-,-,1,1,-,-,-,-,-,2,1,-,-,-,-,-,-,5.0
"Talia, Daniel",3,-,2,-,2,2,-,-,2,1,-,1,-,-,1,1,3,-,2,2,-,-,22.0
"Tambling, Richard",,,,,,1,,,,,,,,,,1,-,,,,1,1,4.0
"Thompson, Scott",2,2,1,4,1,2,-,2,2,3,1,4,2,1,1,1,2,5,1,3,1,3,44.0
"Vince, Bernie",4,-,1,,1,-,-,-,1,-,1,4,1,-,-,2,-,1,1,-,-,-,17.0
"Walker, Taylor",2,4,3,1,-,,,,,,,,,,,,,,,,,,10.0
"Wright, Matthew",1,2,-,-,2,-,1,-,,,,2,-,-,-,-,1,-,-,,,-,9.0
"van Berlo, Nathan",1,3,1,,,,-,-,-,3,2,-,2,3,1,5,-,-,2,3,3,-,29.0
Totals,26,26,25,15,21,23,7,13,17,16,13,22,12,17,13,19,17,13,18,21,11,23,388.0
Opponent,ES,BL,PA,WB,CA,HW,GW,SK,NM,FR,SY,RI,GC,WC,CW,GE,FR,PA,NM,WB,ME,WC,
