Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,Tot
"Atkins, Rory",1,2,-,1,2,-,1,-,2,2,1,1,-,-,-,-,-,-,1,-,-,3,1,1,19.0
"Betts, Eddie",-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,6,1,-,-,-,-,-,10.0
"Brown, Luke",-,1,-,-,-,1,-,1,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,3.0
"Cameron, Charlie",,,,,-,-,1,1,2,4,1,2,4,2,1,1,-,-,3,5,1,1,-,2,31.0
"Cheney, Kyle",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"Crouch, Brad",-,2,,,,,-,-,,,,,-,-,-,-,-,-,1,-,-,-,-,-,3.0
"Crouch, Matt",-,-,-,-,-,2,-,-,,,-,-,-,-,1,-,-,-,-,3,-,1,-,-,7.0
"Douglas, Richard",-,1,-,-,-,-,-,-,1,-,-,-,1,-,2,-,-,-,-,-,-,-,-,1,6.0
"Ellis-Yolmen, Cam",,,,,,,,,,,,,,,,,,,-,,,-,,,
"Hartigan, Kyle",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Henderson, Ricky",,,,,,,-,1,-,-,-,,,,-,-,-,,,,,2,,,3.0
"Jacobs, Sam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,
"Jenkins, Josh",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Knight, Riley",,,-,,,,,,,,,,,,,,,,,,,,,,
"Laird, Rory",-,-,-,-,-,-,,,,,-,-,-,-,-,,-,-,1,-,-,-,-,-,1.0
"Lever, Jake",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,4.0
"Lynch, Tom",-,1,,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,4,-,-,-,-,7.0
"Lyons, Jarryd",,,-,-,-,-,,,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1.0
"Mackay, David",1,1,2,1,-,1,-,,,,,-,2,-,-,-,,-,4,2,-,2,-,1,17.0
"McGovern, Mitch",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Milera, Wayne",-,2,-,-,,,,-,1,-,-,,,,,,,,,,,,,,3.0
"OBrien, Reilly",,,,,,,,,,,,,,,,,,,-,-,,,,,
"Seedsman, Paul",1,-,1,1,1,-,-,-,1,1,2,-,,,,-,,-,-,,,,,,8.0
"Sloane, Rory",2,-,-,-,-,-,-,-,1,-,-,-,-,1,-,2,-,-,1,1,-,,-,-,8.0
"Smith, Brodie",2,-,2,3,2,3,-,-,-,2,1,-,-,-,-,-,1,-,6,-,-,,-,-,22.0
"Talia, Daniel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Thompson, Scott",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,-,-,-,
"Walker, Taylor",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,-,-,-,-,-,-,1.0
"van Berlo, Nathan",-,,,,,,,,-,1,,,,,,,,,,,,,,,1.0
Totals,7,10,5,6,5,7,2,3,9,10,5,4,8,7,5,3,1,7,18,18,2,9,1,5,157.0
Opponent,NM,PA,RI,SY,HW,FR,WB,GE,GC,GW,SK,WC,NM,ME,CA,CW,GE,ES,BL,FR,PA,WC,NM,SY,
