Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Andrews, Harris",3,9,4,3,9,7,4,,,,,8,,5,6,3,3,2,9,5,13,5,98.0
"Bastinac, Ryan",11,6,8,13,8,10,13,6,9,7,12,16,13,16,7,6,19,9,14,12,6,10,231.0
"Beams, Claye",2,10,5,10,7,4,8,3,,,,,14,,,,,,,,,,63.0
"Beams, Dayne",,,,,,,20,7,,,,,,,,,,,,,,,27.0
"Bell, Tom",7,6,13,12,12,19,12,5,11,12,4,8,,,,,,,,,8,10,139.0
"Bewick, Rohan",4,11,8,12,9,13,12,6,,,,15,12,14,12,4,9,,,,,,141.0
"Christensen, Allen",12,5,3,12,2,15,11,8,11,19,6,,,,,,,,,,,,104.0
"Clayton, Josh",,,,,,,,,,,,,,,,,,,,,3,5,8.0
"Close, Michael",,,,,,,,,,,,,,,,,,4,,6,,,10.0
"Cutler, Tom",8,13,14,10,4,,,,,9,13,19,13,,,4,12,12,,12,17,16,176.0
"Dawson, Liam",,,,8,3,1,,,,,,,,,,,9,5,7,,,5,38.0
"Evans, Billy",,,5,,,,,,1,,,,,,,,,,,,,,6.0
"Freeman, Jonathan",3,,,,,,,,6,3,4,,,,,,,,,,,,16.0
"Gardiner, Darcy",2,6,10,4,5,5,12,2,,,,9,10,4,1,5,4,,8,8,6,6,107.0
"Green, Josh",,9,7,13,10,,,4,,,,,,9,8,9,10,9,7,,,,95.0
"Hammelmann, Matthew",,,,,,,,,,,,,,7,5,8,2,3,6,4,3,3,41.0
"Hanley, Pearce",10,16,11,18,13,15,8,8,14,17,9,17,21,4,12,15,20,8,7,7,10,9,269.0
"Harwood, Ryan",8,3,11,6,6,4,7,11,8,11,12,8,1,,,,,,,,,,96.0
"Hipwood, Eric",,,,,,,,,,,,,6,6,8,9,6,4,6,4,6,5,60.0
"Jansen, Jarrad",,,,,,,,,,,8,2,5,6,4,4,,,,4,,,33.0
"Keays, Ben",,,,,,5,7,4,5,3,3,1,2,2,,5,1,4,5,5,4,4,60.0
"Lester, Ryan",8,3,5,6,10,7,5,8,8,2,,,2,8,8,3,,10,6,4,3,5,111.0
"Martin, Stefan",6,7,5,7,9,6,12,6,6,3,6,2,6,8,13,13,11,,,6,8,9,149.0
"Mathieson, Rhys",,,,,,,,,11,8,,,,9,10,9,9,11,7,9,11,6,100.0
"Mayes, Sam",6,4,9,11,,8,9,13,10,14,13,18,13,19,16,14,12,12,9,10,9,10,239.0
"McStay, Daniel",6,3,3,,,5,2,,8,9,6,10,,5,5,4,,,,,,,66.0
"Merrett, Daniel",,4,3,6,9,8,,4,5,7,5,7,5,2,4,,1,2,3,5,11,5,96.0
"Paine, Jackson",,,,,,,,,8,4,5,,,,,,,,,,1,,18.0
"Paparone, Marco",5,,,,,,11,10,,,,,11,,,,,,,,,,37.0
"Rich, Daniel",14,5,,10,10,17,10,10,15,12,11,12,16,13,7,10,22,17,12,9,13,11,256.0
"Robertson, Nick",,,,,,,,,9,14,6,9,,,,,,6,2,,,,46.0
"Robinson, Mitch",6,,12,8,16,15,8,14,11,11,11,12,15,3,9,9,7,6,9,16,12,10,220.0
"Rockliff, Tom",9,2,,,10,17,3,,,,21,14,15,10,7,23,24,10,16,24,20,18,243.0
"Schache, Josh",7,8,7,7,7,,3,7,2,5,5,3,13,5,5,4,3,,-,,,,91.0
"Smith, Archie",,,,,,,,,,,,,,,,,,2,6,2,,,10.0
"Taylor, Lewis",12,12,10,6,10,3,,7,11,10,4,7,9,9,4,,,5,3,6,9,3,140.0
"Walker, Josh",5,7,6,6,4,3,4,4,,,,,11,4,,,6,4,2,2,6,9,83.0
"West, Trent",,,,,,,,,4,3,4,3,,,,,,,,,,,14.0
"William, Reuben",,,,,,,,,,,,,,,5,4,6,,,,,,15.0
"Zorko, Dayne",,18,13,15,13,25,15,13,14,13,16,18,19,,8,21,15,8,5,21,10,20,300.0
Totals,154,167,172,203,186,212,196,160,187,196,184,218,232,168,164,186,211,153,149,181,189,184,4052.0
Opponent,WC,NM,GE,GC,WB,SY,PA,CW,ME,HW,CA,FR,WC,RI,GC,GW,ES,PA,AD,CA,GE,SK,
