Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,Tot
"Ah Chee, Callum",,,,,,,,,,-,,,-,,
"Andrews, Harris",-,1,4,-,1,2,1,1,-,1,2,1,-,4,18.0
"Answerth, Noah",,,-,,,,-,-,-,,,,,,
"Ashcroft, Will",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bailey, Zac",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Berry, Jarrod",-,1,-,-,-,-,-,-,-,1,-,-,2,1,5.0
"Cameron, Charlie",-,-,-,-,-,2,-,1,-,-,-,-,-,-,3.0
"Coleman, Keidean",-,,-,-,1,-,-,1,-,-,-,-,-,-,2.0
"Daniher, Joe",1,-,-,2,3,1,2,-,3,3,-,3,2,2,22.0
"Dunkley, Josh",-,-,2,1,-,-,1,1,2,-,-,1,-,-,8.0
"Fletcher, Jaspa",,,,,,,,,,,,,-,1,1.0
"Fort, Darcy",,-,1,,4,,,,,,,,1,-,6.0
"Gardiner, Darcy",,,,,,,,,,,-,1,,,1.0
"Gunston, Jack",1,1,1,-,,1,-,-,1,-,-,-,,,5.0
"Hipwood, Eric",-,1,1,-,2,2,-,1,2,1,1,1,3,1,16.0
"Joyce, Darragh",,-,1,-,2,1,,,,,,,,,4.0
"Lester, Ryan",,,,,,,-,1,1,1,1,,2,1,7.0
"Lohmann, Kai",,,,,,,,,,,,,1,-,1.0
"Lyons, Jarryd",,,,,-,-,,-,,,,,,,
"Madden, James",,,,,,,,,,,-,,,,
"McCarthy, Lincoln",-,-,-,1,1,1,-,-,1,-,-,-,-,1,5.0
"McCluggage, Hugh",-,-,-,-,-,1,-,-,-,-,-,1,,-,2.0
"McInerney, Oscar",1,2,3,-,-,-,1,-,4,-,-,-,2,1,14.0
"McKenna, Conor",-,-,-,1,-,-,-,-,-,-,1,-,-,-,2.0
"Neale, Lachie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Payne, Jack",-,-,1,-,2,3,-,3,1,1,,1,-,-,12.0
"Prior, Jaxon",-,,,-,,,,,,,,-,,,
"Rayner, Cam",-,1,-,2,-,1,-,-,2,1,1,2,1,1,12.0
"Rich, Daniel",-,-,,,-,-,-,,,,-,-,,,
"Robertson, Deven",-,-,,-,,,,,,,,-,-,-,
"Sharp, Harry",,,,,,,,-,-,-,,,,,
"Starcevich, Brandon",-,1,-,-,1,-,3,-,1,2,1,-,-,1,10.0
"Tunstill, James",-,,,,,,,,,,,,,,
"Wilmot, Darcy",1,-,1,-,-,-,-,-,1,-,-,-,-,-,3.0
"Zorko, Dayne",,-,-,-,-,-,-,,-,-,-,,,,
Totals,4,8,15,7,17,15,8,9,19,11,7,11,14,14,159.0
Opponent,PA,ME,WB,CW,NM,GW,FR,CA,ES,GC,AD,HW,SY,SK,
