Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Allen, Scott",,,,,,,,,,,,,,,,,,,,,5,3,8.0
"Cameron, Leon",,,,,,,2,1,,,,,,,1,1,3,4,7,3,,,22.0
"Campbell, Tony",,,,,,,2,1,,,,,,,2,-,3,3,2,-,,,13.0
"Cook, James",,2,3,,,,4,,,,6,3,,,,,,,,,,,18.0
"Cox, Simon",,,,,,,3,,,,3,3,,,,,,,,,,,9.0
"Croft, Matthew",2,3,-,6,3,3,,,,,,1,1,,,,,,,,,,19.0
"Curley, Todd",2,5,3,5,1,3,1,4,2,4,4,4,5,4,2,2,6,,1,,,,58.0
"Darcy, Luke",2,,6,4,-,2,5,7,5,8,,-,3,2,13,2,4,10,-,3,4,12,92.0
"Dimattina, Paul",,,,,,,,,7,6,2,2,1,3,2,2,,,,5,4,,34.0
"Ellis, Craig",,,,,,5,1,,1,3,2,2,,,3,1,-,,,6,4,1,29.0
"Grant, Chris",3,4,7,5,8,5,6,5,2,4,7,11,4,8,6,9,8,5,7,8,5,8,135.0
"Grgic, Ilija",2,2,,,5,,,,1,2,-,,,,,,3,2,1,,,,18.0
"Griffin, Daryl",,,,,,,2,,,,,,,,3,1,,-,,,,,6.0
"Hargraves, Daniel",6,1,,,,,,6,9,9,6,8,2,4,10,2,8,7,3,3,3,7,94.0
"Hunter, Mark",4,,-,5,,,,,,,,4,1,2,6,5,3,,,,,,30.0
"Jakovich, Allen",,,,2,5,-,,,,,,,1,4,,,,,,3,1,,16.0
"Johnson, Brad",3,5,4,6,2,2,7,3,8,8,-,-,3,5,4,1,10,4,7,3,4,1,90.0
"Kellett, Nigel",2,6,2,2,1,3,,,1,-,,1,4,3,2,3,2,1,2,3,3,5,46.0
"Kolyniuk, Steven",4,3,2,,-,,,3,,4,3,,,2,,,,8,1,4,4,2,40.0
"Kretiuk, Steven",,,3,1,,5,5,4,6,10,-,,3,2,,,,7,3,5,3,4,61.0
"Lane, Tyson",,,,,,,,,,,,,,,,,2,1,,,,,3.0
"Liberatore, Tony",-,-,3,-,-,-,-,-,5,4,3,1,-,3,-,-,-,2,-,-,2,1,24.0
"Martin, Michael",-,2,2,-,1,,,,,,,,,,1,,,,6,,,4,16.0
"Nicholson, Brad",,,,-,2,2,4,2,,,,,,,,,,,,,,,10.0
"Osborne, Richard",1,2,3,3,5,4,-,2,6,1,,,,,,,,,,,,,27.0
"Quill, Peter",,,2,5,1,3,5,3,3,1,7,2,3,1,1,1,2,2,4,1,4,,51.0
"Romero, Jose",,-,5,1,3,2,1,2,4,3,1,,2,3,6,-,5,3,3,4,2,7,57.0
"Sir, Sedat",2,4,1,2,2,2,,,,,,,,,,-,-,,,,,-,13.0
"Smith, Rohan",6,2,4,5,7,4,7,2,10,5,2,-,3,2,3,4,1,1,3,9,3,6,89.0
"Southern, Daniel",,,,,,,,6,7,5,2,7,1,2,,,,,,,,1,31.0
"Standfield, Barry",5,1,5,,,,,,,,,,,,,,,,,,,,11.0
"Taylor, Scott",-,,,,,,,,,,,,,,,,,,,,,,
"Wallis, Stephen",3,-,,4,6,5,2,2,9,6,6,2,-,6,3,4,1,-,2,5,4,6,76.0
"Watts, Jason",,,9,3,3,2,3,-,8,5,3,1,2,1,2,2,-,2,2,2,1,3,54.0
"West, Mark",,1,,,,,,,,,,,,,,,,,,5,2,1,9.0
"West, Scott",3,1,,,,2,1,-,4,1,-,1,-,3,,,,1,-,,3,1,21.0
"Wira, Brad",6,5,1,1,-,1,,3,7,3,3,5,-,2,2,4,6,-,4,6,1,6,66.0
"Wynd, Scott",3,1,1,8,6,5,1,1,2,,4,3,2,2,7,5,5,1,1,3,4,2,67.0
Totals,59,50,66,68,61,60,62,57,107,92,64,61,41,64,79,49,72,64,59,81,66,81,1463.0
Opponent,BB,NM,FI,HW,SK,CA,RI,ES,AD,NM,GE,SY,WC,ME,FR,BB,CW,FI,HW,SK,CA,ES,
