Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,Tot
"Alvey, Mark",,,,,,,,,,,,,,,,,,,,,,2,-,,2.0
"Brown, Nathan",2,7,1,-,,-,-,1,1,1,-,2,-,-,-,-,1,-,1,-,-,2,-,,19.0
"Cameron, Leon",1,-,1,-,-,-,,,2,2,1,-,-,-,-,-,-,-,,,,,,-,7.0
"Contessa, Adam",,,,,-,-,1,-,2,-,-,1,,,,,,1,-,-,,-,,,5.0
"Cook, James",-,-,,3,5,-,1,3,2,2,-,,,-,-,5,3,6,1,1,-,-,,,32.0
"Cox, Simon",-,-,-,,,,-,,,,,,,,,,,,,,,,,,
"Croft, Matthew",-,,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3.0
"Curley, Todd",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2.0
"Darcy, Luke",-,-,3,1,-,-,1,-,-,-,1,-,-,1,1,1,2,4,-,-,1,1,1,1,19.0
"Dent, Matthew",-,-,,,1,-,-,-,-,-,-,-,-,-,,,,,-,-,-,,,-,1.0
"Dimattina, Paul",-,1,-,-,-,-,1,1,2,-,-,1,1,-,-,-,-,,,,2,-,-,-,9.0
"Ellis, Craig",,-,2,-,-,-,,-,-,,-,-,-,,,,-,,-,-,-,-,-,-,2.0
"Garlick, Simon",-,-,-,2,1,-,3,1,-,1,-,-,-,2,-,-,1,-,4,1,4,,1,-,21.0
"Grant, Chris",1,1,-,2,1,1,1,1,-,-,3,1,3,3,6,1,2,-,1,2,2,1,-,4,37.0
"Hudson, Paul",4,1,4,4,3,-,3,3,5,-,-,,,1,2,2,3,-,2,4,3,5,-,2,51.0
"Hunter, Kingsley",,,,,,,,,,,,-,,,,,,,,,,,,,
"Johnson, Brad",1,3,1,3,1,4,-,-,2,-,-,-,-,1,2,-,-,1,1,4,-,1,-,1,26.0
"Kolyniuk, Steven",,,,,,,,,,,,,,,,,,,,,-,2,4,-,6.0
"Kretiuk, Steven",,,,,,,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Liberatore, Tony",-,-,-,-,-,-,-,-,-,-,,,,1,-,-,-,-,-,-,1,-,-,-,2.0
"Macri, Christin",,,,,,,,,,,,,,,,,,-,2,1,,,,,3.0
"Mahoney, Josh",-,-,-,-,-,-,,,,,,-,,,,,,,,,,,,,
"Martin, Michael",2,1,-,-,,,,,,,,,-,,1,-,,,,,,,,,4.0
"Montgomery, Brett",-,1,-,,-,-,-,-,-,-,2,2,-,1,4,1,-,-,1,-,2,-,-,-,14.0
"Plunkett, Jim",,,,,,,,,,,,-,1,,,,,,,,,,,,1.0
"Powell, Stephen",,,,-,1,2,2,1,-,-,-,2,-,3,1,1,-,1,1,-,-,-,-,1,16.0
"Robbins, Matthew",,,,,,,-,-,1,-,-,-,-,-,1,-,-,-,,,,,,-,2.0
"Romero, Jose",,,-,-,,,,,,,,,,,,,,-,1,-,1,1,-,-,3.0
"Smith, Rohan",1,-,1,-,3,-,2,-,1,2,-,4,5,2,3,3,1,1,1,-,-,1,-,-,31.0
"Southern, Daniel",-,-,-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,1,1,-,2.0
"West, Scott",-,1,-,-,3,-,-,1,1,-,1,-,-,-,1,-,1,-,,,,1,1,-,11.0
"Winmar, Nicky",1,3,2,-,2,-,2,3,,1,2,4,-,3,1,-,-,,2,4,-,4,-,,34.0
"Wynd, Scott",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,1.0
Totals,13,20,15,15,21,7,18,17,19,9,10,17,11,18,23,14,14,14,18,17,16,22,8,10,366.0
Opponent,AD,GE,CA,SK,RI,WC,PA,ME,CW,BL,HW,FR,ES,SY,KA,AD,GE,CA,SK,RI,WC,PA,WC,BL,
