Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Addison, Dylan",,,,,,,,,,,,,,,,,,,,-,,-,,,
"Baird, Travis",,,,,,,,,,,,,,,,1,1,2,,,,,,,4.0
"Birss, Shane",,,,,,,,,,,,,,,,,,,1,-,-,,,,1.0
"Boyd, Matthew",-,-,-,1,-,-,-,-,-,1,-,2,-,-,-,-,-,1,1,-,-,1,-,-,7.0
"Cooney, Adam",1,3,3,2,1,1,-,-,-,1,2,-,-,2,2,-,1,2,-,2,-,2,1,-,26.0
"Cross, Daniel",1,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,2,1,-,1,1,-,-,-,9.0
"Eagleton, Nathan",4,-,1,3,-,-,2,1,-,1,-,-,-,-,-,-,-,-,-,,,,-,-,12.0
"Faulkner, Cameron",,,,,,,,,,,,,,,,,,2,-,-,,,,,2.0
"Giansiracusa, Daniel",-,-,1,2,-,2,-,-,-,,,,-,-,1,,,,,,-,3,2,-,11.0
"Gilbee, Lindsay",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,4.0
"Grant, Chris",-,2,1,-,-,1,1,-,4,2,-,4,2,-,2,-,2,4,3,1,3,-,-,1,33.0
"Griffen, Ryan",1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,5.0
"Hahn, Mitch",-,-,3,2,-,-,3,-,,-,1,1,,,,,,,,,,,,,10.0
"Hargrave, Ryan",1,-,,,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3.0
"Higgins, Shaun",,,,,,,,,-,1,-,-,-,,,,,,,,,,,,1.0
"Johnson, Brad",3,3,1,3,-,3,6,3,3,5,4,3,5,2,4,5,3,2,5,3,4,7,2,1,80.0
"Lake, Brian",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McCormack, Damien",,,,,,,,,,,,,,,-,1,-,-,,,,,,,1.0
"McGuinness, Kieran",,,,,,,,-,,,,,,-,,,,,-,,,,,,
"McMahon, Jordan",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2.0
"Minson, Will",1,-,-,,,,,,,,,,,,-,-,1,-,3,-,1,1,1,1,9.0
"Montgomery, Brett",,,-,-,1,-,3,1,-,2,1,1,2,-,1,,,,,,-,5,4,-,21.0
"Morgan, Adam",2,-,-,,,,,,,,,,,,,,,,,,,,,,2.0
"Morris, Dale",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Murphy, Robert",2,8,4,4,2,1,2,-,1,,,,,,,,,,,,,,,,24.0
"Power, Sam",-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,2.0
"Ray, Farren",,,,-,1,-,2,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,6.0
"Robbins, Matthew",3,2,-,-,3,-,-,3,2,3,3,3,-,3,2,1,2,1,3,2,2,3,4,-,45.0
"Skipper, Wayde",1,2,1,-,-,,-,,1,-,-,1,1,-,,,,,,,,,,,7.0
"Smith, Rohan",1,-,1,1,-,-,-,-,-,-,-,-,2,1,5,-,-,2,-,1,1,4,-,-,19.0
"Street, Peter",,,,-,-,-,-,-,1,1,-,2,-,2,-,-,-,-,-,-,1,-,-,-,7.0
"West, Scott",3,1,-,-,1,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,8.0
"Wight, Cameron",,,,,,-,,,,,,,,,,-,-,,,-,-,-,-,-,
Totals,25,23,18,18,9,8,21,9,15,17,12,17,12,10,18,9,13,18,17,13,15,27,15,3,362.0
Opponent,RI,ME,ES,GE,AD,SK,PA,SY,CW,HW,FR,BL,WC,KA,CA,GE,ME,RI,PA,AD,SK,ES,CW,WC,
