Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,Tot
"Addison, Dylan",1,1,1,1,1,2,-,-,-,4,-,-,-,-,-,6,2,,,,,,,,,19.0
"Akermanis, Jason",-,-,-,1,-,1,-,1,1,2,1,-,-,-,1,-,-,-,-,2,1,-,-,1,1,13.0
"Boyd, Matthew",-,1,-,3,2,1,-,1,1,3,1,2,2,1,1,1,1,2,-,2,-,3,1,-,1,30.0
"Callan, Tim",,2,1,3,-,1,2,,-,-,,,,,,,,,2,1,-,1,-,1,1,15.0
"Cooney, Adam",-,2,1,2,1,2,1,2,2,2,1,1,1,-,1,2,2,1,1,1,1,2,1,-,3,33.0
"Cross, Daniel",2,2,2,3,3,2,2,1,1,2,3,-,1,5,1,5,1,2,3,-,-,2,6,2,1,52.0
"Eagleton, Nathan",1,,,1,2,-,-,1,1,1,-,-,1,-,1,1,1,-,1,1,-,1,3,-,2,19.0
"Everitt, Andrejs",,,,,,,,,,,-,-,1,1,1,-,1,-,,,1,,,,,5.0
"Giansiracusa, Daniel",1,4,1,-,2,-,-,2,-,4,-,2,1,-,2,1,2,1,1,-,1,1,1,1,-,28.0
"Gilbee, Lindsay",-,1,-,1,-,-,-,1,1,2,-,1,1,1,-,-,-,-,-,1,,2,-,1,-,13.0
"Griffen, Ryan",2,1,2,1,-,-,-,1,-,1,-,2,1,1,,-,-,-,-,-,-,1,2,2,1,18.0
"Hahn, Mitch",1,-,1,1,-,1,-,2,-,-,3,2,-,2,-,-,1,2,-,-,2,-,-,1,1,20.0
"Harbrow, Jarrod",,,1,-,1,,,,,,,,,,1,2,-,1,-,-,1,1,1,2,2,13.0
"Hargrave, Ryan",-,-,-,3,1,1,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,2,3,13.0
"Higgins, Shaun",3,1,,,,,,,,,,,,,,,,,,,-,-,1,3,-,8.0
"Hill, Josh",-,1,1,-,-,-,-,-,,,,,,1,-,,1,1,,-,1,-,2,1,-,9.0
"Hudson, Ben",1,1,2,-,3,1,1,1,2,-,-,2,1,-,-,1,-,-,,3,1,,1,1,-,22.0
"Johnson, Brad",-,1,-,1,-,-,2,1,2,1,1,-,-,1,1,1,2,-,1,-,4,1,1,1,1,23.0
"Lake, Brian",-,-,-,1,-,1,-,-,-,-,-,-,1,2,-,1,3,-,-,1,-,1,1,2,2,16.0
"Minson, Will",1,1,1,-,2,-,-,-,1,-,-,-,-,1,2,-,-,1,1,1,-,-,2,1,3,18.0
"Morris, Dale",4,-,2,-,-,1,1,1,2,1,-,1,1,1,-,-,1,1,1,-,1,1,1,1,-,22.0
"Murphy, Robert",-,1,1,-,2,3,-,1,1,-,,1,1,3,1,1,-,1,1,2,2,1,-,-,-,23.0
"Ray, Farren",,,,,,,,,-,-,-,1,-,-,-,1,1,-,-,-,,,1,,,4.0
"Reid, Sam",,,,,,,,,,,,,,,,,,,,,,-,,,,
"Skipper, Wayde",,,,,,,,,,,,,,,,,,,,,,1,,,,1.0
"Street, Peter",,,,,,,,,,,,,,,,,,,-,,,,,,,
"Tiller, Stephen",,,,,,,1,-,,1,-,,,1,2,1,,-,1,,,,,1,-,8.0
"Ward, Callan",,,,,,,,,,,-,-,-,,,,,,1,-,-,,,,,1.0
"Welsh, Scott",1,-,-,-,-,-,-,1,1,-,2,1,1,2,,-,1,1,-,-,1,1,-,1,-,14.0
"West, Scott",1,2,2,,,-,,,,,,,,,,,,,,,,,,,,5.0
"Wight, Cameron",1,1,4,-,-,1,-,1,2,,,,,,-,,,,,,,,,,,10.0
"Williams, Tom",,,,,,,,-,-,2,-,1,-,,,,,,,,,,,,,3.0
Totals,20,23,23,22,20,18,10,18,18,26,13,17,14,24,15,24,20,15,14,15,17,20,25,25,22,478.0
Opponent,AD,ME,SK,ES,RI,WC,SY,FR,NM,HW,SK,BL,CW,PA,ME,GE,CA,SY,NM,BL,ES,AD,HW,SY,GE,
