Player,R1,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Austin, Mark",,,,,,,,,,,,2,2,-,-,-,1,1,2,1,2,-,11.0
"Bontempelli, Marcus",,,,,1,,1,,1,-,-,1,-,-,-,-,-,-,1,-,-,-,5.0
"Boyd, Matthew",-,-,-,2,-,-,1,2,1,,,,-,-,1,-,1,1,2,1,-,1,13.0
"Campbell, Tom",1,,,,,-,,,,,,,,,,,,-,1,1,1,-,4.0
"Cooney, Adam",-,-,2,-,-,1,-,-,1,-,-,-,,,,,1,-,1,-,-,-,6.0
"Cordy, Ayce",,,,,,,,,,,,,,,,,,,,,2,,2.0
"Crameri, Stewart",1,-,-,1,2,-,1,2,2,-,-,1,-,1,2,-,-,1,1,1,-,-,16.0
"Dahlhaus, Luke",-,1,1,,-,1,-,-,-,-,2,1,-,-,-,-,-,1,3,-,-,-,10.0
"Darley, Sam",,,,,,,,,,,,,,-,,-,,2,2,2,,,6.0
"Dickson, Tory",-,,,,,1,-,-,,,,,,,,,,,,,,,1.0
"Giansiracusa, Daniel",-,-,1,2,-,1,,-,-,-,-,1,1,,,,,,,1,-,3,10.0
"Goodes, Brett",-,,,,,,,,-,,,,,,,,,,,,,,
"Grant, Jarrad",,,,,,,,,,,-,1,-,,,,,,,-,,,1.0
"Griffen, Ryan",,-,1,-,2,-,-,2,-,1,1,3,1,,1,,2,2,1,2,1,-,20.0
"Higgins, Shaun",1,-,-,-,-,-,1,4,1,-,2,2,-,1,1,,,-,2,2,-,-,17.0
"Honeychurch, Mitch",,,,,,,,,,,,,,-,-,-,,,,,,,
"Howard, Christian",,,,,,,,,,-,-,,,,,,,,,,,,
"Hrovat, Nathan",,,,,,,,,,-,-,2,-,-,-,-,-,-,-,,-,1,3.0
"Hunter, Lachie",1,-,-,-,,-,1,3,,,,,,-,-,-,1,-,-,1,,,7.0
"Johannisen, Jason",2,1,1,,,,2,-,,,,,,,,1,-,1,,-,-,1,9.0
"Jones, Liam",,2,1,1,1,-,1,1,,,,1,1,-,,,,,,,,,9.0
"Jong, Lin",,-,1,-,2,2,,,,,,,,,,,,,,,-,,5.0
"Liberatore, Tom",-,2,1,3,2,1,2,2,2,-,1,-,-,3,-,-,-,2,1,1,1,-,24.0
"Macrae, Jack",-,1,1,1,1,-,-,1,-,-,-,-,1,1,-,-,-,1,2,,-,-,10.0
"Minson, Will",2,-,4,2,4,2,4,1,1,-,2,-,3,-,2,-,4,1,3,4,,1,40.0
"Morris, Dale",-,-,1,-,,,-,-,-,-,-,-,-,1,-,1,2,-,1,2,-,-,8.0
"Murphy, Robert",1,-,1,-,-,1,2,-,2,-,-,1,-,1,1,-,-,1,1,-,-,1,13.0
"Picken, Liam",1,-,-,-,1,-,-,2,3,-,-,-,3,1,1,-,1,2,3,1,-,2,21.0
"Redpath, Jack",,,,,,,,,,,,,,,-,1,-,,,,,,1.0
"Roberts, Fletcher",,,,,,,,1,-,-,,,,-,,,,,,,,-,1.0
"Roughead, Jordan",2,1,-,,,,,,1,1,2,-,1,,2,1,1,3,1,1,5,,22.0
"Smith, Clay",,,,,,,,,-,,,,,,,,,,,,,,
"Stevens, Koby",-,-,,1,1,1,1,,3,2,-,-,-,2,1,2,3,-,1,1,-,-,19.0
"Stringer, Jake",1,-,-,2,-,-,-,1,1,,,,,4,-,-,-,1,1,-,1,1,13.0
"Talia, Michael",,,,,2,2,2,,,,,,,,,,,,,,,,6.0
"Tutt, Jason",,,,1,,,,1,-,-,3,-,-,,,,,,,,,,5.0
"Wallis, Mitch",1,1,3,2,2,,,,,-,-,3,1,3,1,2,1,,,,,,20.0
"Williams, Tom",,,1,1,-,,1,1,,-,2,,,,,,,,,,,,6.0
"Wood, Easton",1,2,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,-,,,,5.0
"Young, Tom",,,,-,1,2,,,,,,,,,,,,,,,,1,4.0
Totals,15,11,21,19,22,15,20,24,19,4,15,19,14,19,13,8,18,20,30,22,13,12,373.0
Opponent,WC,NM,RI,GW,CA,AD,ES,ME,GC,FR,BL,CW,PA,ME,GE,GC,ES,HW,SK,NM,SY,GW,
