Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,GF,Tot
"Adams, Marcus",9,10,17,6,8,7,11,,,16,14,,4,9,,,,,,,,,,,,,111.0
"Adcock, Jed",,,,11,15,6,9,12,14,,,,,,,,,10,,,,,,,,,77.0
"Biggs, Shane",29,21,13,24,14,23,11,15,14,22,20,16,18,17,17,21,16,21,17,13,19,16,15,11,12,9,444.0
"Bontempelli, Marcus",14,12,10,9,11,13,15,18,18,10,9,14,11,18,11,20,17,14,9,18,19,22,13,14,16,11,366.0
"Boyd, Matthew",24,23,16,19,17,21,18,21,,21,27,15,24,20,20,19,15,,12,10,16,25,12,12,12,12,431.0
"Boyd, Tom",7,5,9,3,,,,,,,,,,,,5,3,10,2,4,7,4,7,11,6,6,89.0
"Campbell, Tom",,,,,7,5,4,5,5,1,8,2,2,,,,,,,,,,,,,,39.0
"Collins, Kieran",,,,,,,,,4,,,,,,,,,,,,,,,,,,4.0
"Cordy, Zaine",,,,,,,,,,,,,,,,,,8,5,4,4,5,4,8,5,7,50.0
"Dahlhaus, Luke",10,7,12,14,15,15,20,20,16,25,16,5,,,,,,13,17,18,16,23,14,13,19,14,322.0
"Dale, Bailey",,,,,11,7,7,13,,,,,,,,,,,,,,,,,,,38.0
"Daniel, Caleb",13,15,19,20,,,14,15,14,15,20,17,17,16,21,12,9,15,10,11,17,14,17,13,14,11,359.0
"Dickson, Tory",,,,,16,7,8,5,7,14,12,8,4,9,15,14,9,4,14,8,8,9,12,9,6,9,207.0
"Dunkley, Josh",11,11,,,,,,,,11,10,5,5,,,20,12,9,13,10,13,9,9,15,15,9,187.0
"Hamling, Joel",,,9,10,,,,,,,,3,,,,,,5,7,8,8,9,9,5,3,7,83.0
"Honeychurch, Mitch",,,,,,,,,,,,13,12,,,,,,,,,,,,,,25.0
"Hrovat, Nathan",,,,,,,,,,,,,,,,,,,10,13,17,12,,,,,52.0
"Hunter, Lachie",26,27,15,24,22,26,20,20,14,22,32,19,19,19,20,24,19,17,14,16,24,19,17,15,12,12,514.0
"Johannisen, Jason",25,21,13,14,,,,,,,,,,14,20,21,17,16,14,17,24,19,22,12,22,21,312.0
"Jong, Lin",,,8,5,8,11,,,9,,,,11,11,8,11,12,6,6,10,4,15,3,,,,138.0
"Liberatore, Tom",16,17,5,15,11,6,10,10,10,19,10,7,14,7,6,,7,6,,,,,12,8,6,7,209.0
"Macrae, Jack",24,23,15,17,14,23,16,20,20,22,20,16,20,17,13,20,19,13,,,,,19,26,17,19,413.0
"McLean, Toby",15,13,7,7,11,11,11,12,6,8,7,,,,,,,,,,13,,,11,11,9,152.0
"Minson, Will",,,,,,,,,,,,,,3,,,,,,,,4,,,,,7.0
"Morris, Dale",7,11,8,14,12,10,7,6,8,10,8,4,7,7,13,9,5,,5,,,8,3,7,6,6,181.0
"Murphy, Robert",27,22,18,,,,,,,,,,,,,,,,,,,,,,,,67.0
"Picken, Liam",15,18,11,13,12,15,15,21,11,16,18,13,17,16,7,15,11,12,12,11,16,14,14,11,10,14,358.0
"Redpath, Jack",,,,,,,7,8,,14,5,6,3,6,8,10,2,,,,,,,,,,69.0
"Roberts, Fletcher",,,,,,6,9,2,6,7,2,4,7,,7,9,8,7,5,8,5,8,,,3,3,106.0
"Roughead, Jordan",7,6,7,9,8,1,9,4,7,5,2,9,3,-,6,9,7,4,8,4,1,,6,7,-,4,133.0
"Smith, Clay",,,,,,,,,,,,,,9,8,9,6,4,1,6,8,11,7,7,16,5,97.0
"Smith, Roarke",,,,,,,,,,,,,,,,,,,,,10,,,,,,10.0
"Stevens, Koby",23,15,13,17,17,23,,,8,,,,,,12,23,10,7,,,,13,,,,,181.0
"Stringer, Jake",11,12,5,8,10,9,8,12,9,8,7,7,10,3,11,10,,6,7,3,,,7,8,4,8,183.0
"Suckling, Matt",14,24,13,18,4,,,,,17,21,10,18,8,20,25,13,,,12,,14,12,12,,,255.0
"Wallis, Mitch",8,15,14,10,17,17,17,14,14,12,18,10,9,13,8,14,7,,,,,,,,,,217.0
"Webb, Lukas",,,,,,,,,,,,,,9,4,,,,8,6,5,,,,,,32.0
"Williams, Bailey",,,,,,,,10,14,,7,10,12,,,,,,,,,15,,,,,68.0
"Wood, Easton",12,15,,,13,6,16,8,6,16,,,,10,13,14,12,8,11,10,9,,4,8,13,10,214.0
Totals,347,343,257,287,273,268,262,271,234,311,293,213,247,241,268,334,236,215,207,220,263,288,238,243,228,213,6800.0
Opponent,FR,SK,HW,CA,BL,NM,AD,ME,GW,CW,WC,PA,GE,SY,RI,GC,SK,GE,NM,CW,ES,FR,WC,HW,GW,SY,
