Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,Tot
"Bontempelli, Marcus",29,26,34,36,24,22,27,26,20,25,27,27,30,27,27,21,19,28,35,26,26,31,13,606.0
"Cordy, Zaine",13,13,9,8,6,10,13,10,8,8,14,8,10,9,12,9,10,13,7,8,7,9,10,224.0
"Crozier, Hayden",7,22,11,13,18,22,28,13,15,16,,14,13,14,14,19,21,20,18,19,13,20,15,365.0
"Dale, Bailey",,,,,,,,,,12,21,4,,,,,14,13,10,19,10,17,7,127.0
"Daniel, Caleb",20,32,24,30,31,30,36,16,17,29,34,32,35,17,,,17,29,22,,,,,451.0
"Dickson, Tory",11,20,7,13,12,12,12,,,,,10,20,7,8,13,11,14,10,11,3,,,194.0
"Dunkley, Josh",20,18,16,15,15,24,35,36,21,29,33,41,35,29,27,39,38,26,31,39,31,33,20,651.0
"Duryea, Taylor",15,17,18,21,,,,,,,,,22,14,15,31,20,18,,22,19,16,17,265.0
"English, Tim",8,14,9,17,13,17,14,,,11,10,15,14,10,10,14,13,13,12,17,,16,17,264.0
"Gardner, Ryan",,,,,,,,,,,9,3,,,,,,,,,,,,12.0
"Gowers, Billy",11,9,13,5,13,9,6,6,8,,9,,,,,,,,,,,,,89.0
"Hayes, Will",,,,,21,15,15,15,13,,,,,,,,,,,22,16,16,7,140.0
"Hunter, Lachie",26,33,27,29,18,32,22,32,26,23,28,24,33,17,32,37,14,27,18,34,25,30,24,611.0
"Johannisen, Jason",,,,25,26,23,21,19,18,20,32,21,19,25,22,17,14,24,20,21,27,26,17,437.0
"Liberatore, Tom",28,28,30,25,19,21,14,23,16,23,27,11,,,,,12,19,18,,,,,314.0
"Lipinski, Patrick",,,,,,,,,,23,23,29,32,17,17,17,18,19,19,27,27,15,24,307.0
"Lloyd, Sam",22,16,13,12,11,10,20,19,16,16,21,16,16,13,13,17,17,16,12,13,19,16,10,354.0
"Macrae, Jack",32,36,33,33,24,29,36,28,29,22,26,37,41,36,34,30,34,38,45,38,39,35,32,767.0
"McLean, Toby",22,18,11,15,17,18,24,11,23,14,16,18,,,23,3,,,14,22,14,7,8,298.0
"Morris, Dale",,,,,,,,,,,,,,,,,,6,,,,,,6.0
"Naughton, Aaron",15,8,13,11,5,12,16,15,10,8,7,12,10,6,14,10,8,20,14,14,8,9,5,250.0
"Richards, Ed",12,14,8,12,16,12,12,12,7,9,,,23,6,12,9,,15,8,13,10,11,12,233.0
"Roberts, Fletcher",,,,,,,,9,9,,,,,,,,,,,,,,,18.0
"Schache, Josh",10,15,7,4,,,,,,,,,9,12,8,15,4,,14,13,7,16,7,141.0
"Smith, Bailey",8,13,22,13,18,23,22,10,28,21,16,13,11,22,16,11,16,20,27,23,15,22,16,406.0
"Smith, Roarke",,,,,,,,,,,,,12,24,4,7,12,,,,,,,59.0
"Suckling, Matt",22,29,19,27,,,,21,12,18,22,21,21,11,13,21,22,,18,22,26,29,23,397.0
"Trengove, Jackson",,,,,,12,14,21,18,7,7,12,19,9,14,9,7,15,11,12,14,,,201.0
"Wallis, Mitch",26,29,23,19,16,21,23,17,29,15,,,,,,,,,,,,,,218.0
"West, Rhylee",,,,,,,,,,,,,,,,,,14,,,,14,10,38.0
"Williams, Bailey",12,,,,9,,,,,16,15,16,17,17,17,19,,,,,,,,138.0
"Wood, Easton",5,9,12,15,11,10,12,8,11,12,14,18,13,5,7,9,23,10,12,10,16,11,14,267.0
"Young, Lachie",,,,,12,12,18,7,7,,10,,,,,,,,,,,,,66.0
"Young, Lewis",,9,10,,,,,,,,,,,,,,,,,,17,14,11,61.0
Totals,374,428,369,398,355,396,440,374,361,377,421,402,455,347,359,377,364,417,395,445,389,413,319,8975.0
Opponent,SY,HW,GC,CW,CA,FR,RI,BL,GE,NM,WC,CA,CW,PA,GE,ME,SK,FR,BL,ES,GW,AD,GW,
