Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,Tot
"Brew, Ray",1,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,7.0
"Byrne, Tom",,,,-,,,-,,,,,,-,,-,,,,,,
"Clarke, Ansell",,,,,,,1,-,-,3,2,2,-,-,-,-,-,-,,,8.0
"Clover, Horrie",3,3,,,3,6,,1,2,,,,,,3,3,3,,5,5,37.0
"Collins, Norm",-,1,,,,,,1,-,-,1,-,,-,2,1,-,-,1,2,9.0
"Connell, Maurie",,,,,,,,,,,,,,,,-,-,-,,,
"Crowe, Jim",2,1,3,-,1,-,,,,,,,-,,,,1,-,-,,8.0
"Davey, Charlie",3,2,1,,-,1,2,1,-,,,1,-,-,-,-,-,1,-,-,12.0
"Downs, Tommy",,,,,,,,,,,,,-,1,-,1,1,-,1,-,4.0
"Doyle, Alex",1,-,1,1,2,-,2,2,-,1,-,1,1,-,-,-,2,,-,1,15.0
"Duncan, Alex",-,-,,,-,,-,-,-,-,-,-,-,3,-,-,-,1,-,,4.0
"Dunn, Harvey",3,3,2,2,1,-,1,-,2,3,3,-,4,1,1,-,,,1,2,29.0
"Everett, Bert",,,,,,,,,,,-,,,,,,,,,,
"Gilby, Fred",-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Gill, Frank",-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1.0
"Green, Jack",,,1,2,1,8,4,3,5,2,,,-,-,,-,1,1,3,2,33.0
"Johnson, Maurie",1,-,-,,,,1,,,,,,,-,,,,-,,,2.0
"Kelleher, Dinny",-,-,-,-,-,-,,,,-,-,-,,,,,,,,,
"Kelly, Joe",-,-,-,-,-,-,-,1,-,-,,,-,-,-,,-,,-,-,1.0
"King, Jack",,,,-,-,-,,,,,,-,-,,,,,,,,
"Lever, Bill",,,,,,,,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Martyn, Aubrey",-,-,-,-,,-,-,,,,,,-,,,,,-,-,-,
"Martyn, Colin",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,-,-,-,1.0
"McSwain, Charlie",-,-,1,-,-,-,-,-,-,-,-,,,-,,,-,1,,-,2.0
"Parsons, Charlie",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,-,-,
"Peverill, Noel",,,-,,,,,,,,,,,,,,,,,,
"Robbins, George",,,,-,,,,,,,,,,,,,,,,,
"Sheil, Ernie",,,-,1,-,-,,,,,2,-,,,,,,,,,3.0
"Skehan, Allan",,,,,,,,,,1,-,-,,,,,,,,,1.0
"Vallence, Harry",5,4,4,4,1,2,4,1,2,1,7,3,2,2,11,-,7,2,,2,64.0
"Watson, Jim",,-,,,,,,,,,,,,,,,,,,,
"Williams, Fred",,,,,,,-,-,-,-,-,-,,,-,-,-,-,-,-,
Totals,19,16,13,10,10,20,15,10,12,11,15,7,8,7,17,5,15,8,12,14,244.0
Opponent,ES,RI,HW,SM,GE,FI,NM,ME,SK,CW,FO,ES,RI,HW,SM,GE,FI,NM,SK,RI,
