Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Beasy, Doug",-,1,-,-,,,,,,,-,,,,,-,-,-,1.0
"Boyle, Alex",-,,,-,-,,,,,,,,,,-,-,-,-,
"Brown, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Burke, Gerald",,,,,,2,2,-,1,,,2,,,,,,,7.0
"Chick, John",-,-,2,3,-,-,1,1,-,2,1,1,,-,-,-,1,4,16.0
"Comben, Bruce",-,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,
"Crowe, Bob",,,,,,,,,,,,,,,,,1,-,1.0
"Dunn, Harvey",,,,,,,,,,,,,-,,,,,,
"English, Vin",1,-,,,,,,,,,,,-,-,-,-,-,-,1.0
"Ferry, George",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,
"Gilchrist, Graham",-,-,1,1,-,-,,,,,-,-,-,1,-,1,1,-,5.0
"Hands, Ken",-,1,1,1,2,-,-,-,-,2,1,-,,-,-,-,-,1,9.0
"Howell, Jack",2,3,,,,6,6,3,-,-,,,,,-,2,,,22.0
"Hunt, Kevin",,,,-,-,-,-,,,,,,,,,,,,
"Ilsley, George",1,-,,,,,,,,,,,,,,,,,1.0
"James, John",-,-,1,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,4.0
"Kerr, Graham",1,2,-,-,-,,,,,,,,,,-,,,,3.0
"Kerr, Laurie",,,-,,,-,-,-,-,-,1,-,-,-,1,-,1,-,3.0
"McKaige, Ken",,-,,,,-,-,,,,,,,,,,,,
"Mills, Jack",1,1,3,3,1,1,-,2,-,1,3,-,-,1,-,2,-,-,19.0
"Milroy, Bill",1,-,1,1,1,1,-,1,-,2,1,-,-,-,-,-,1,-,10.0
"Molony, Brian",,,,,,,,-,,1,,,1,-,1,,1,,4.0
"Moran, Bernie",,,1,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,4.0
"Munro, Frank",,-,,,,,,,,,,-,-,-,,,-,,
"OBrien, Kevin",,,-,1,-,,,,,,,,,,,,,,1.0
"OBrien, Noel",3,4,-,2,3,,,,-,-,-,6,4,5,4,3,10,1,45.0
"Rhodes, Ron",,,,,,,,,,,-,,,,,,,,
"Robertson, Ron",,,,,,-,-,-,-,-,-,-,-,-,-,2,1,-,3.0
"Spencer, John",,-,,-,1,2,1,-,3,-,,,1,-,,-,,,8.0
"Stafford, George",,,,,-,-,-,-,-,-,-,-,,,,-,,,
"Sullivan, Harry",,-,-,,,,,,,,1,,-,,,,,,1.0
"Thomas, Max",-,,,,,,,-,-,,,,,,,,,,
"Walsh, Tony",,,,,-,-,,,,,,-,-,,,,,,
"Warburton, Keith",-,-,-,2,,,-,3,-,-,,,-,-,1,-,-,-,6.0
"Webster, Peter",,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Wenn, Max",1,,2,1,-,3,2,-,,1,1,1,,,,,,,12.0
"Zeunert, Denis",-,-,-,1,-,,,,-,-,-,1,,1,-,-,4,-,7.0
Totals,11,12,12,17,9,15,12,10,5,9,9,11,6,9,8,10,22,6,193.0
Opponent,SM,ME,RI,FO,ES,FI,GE,CW,HW,NM,SK,SM,ME,RI,FO,ES,FI,GE,
