Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,SF,GF,Tot
"Anderson, Graeme",,,,,,,,-,-,-,-,-,,-,-,-,,,,,,,
"Auchettl, Ron",,,,,,-,1,-,-,-,2,-,-,,,,3,-,-,-,,,6.0
"Barassi, Ron",1,1,1,,1,,,,,,,,,1,-,-,1,-,2,,,,8.0
"Bennett, Bill",,,,,,,,,,-,,,,,,1,-,,1,-,-,-,2.0
"Bishop, Noel",,,-,,,,,,,,,-,,,,,,,,,,,
"Board, Terry",,,,1,3,3,-,1,,,,,,,,,-,-,,,,,8.0
"Casey, Gordon",,,,,,,,,,,,,,,,,,,-,,,,
"Chandler, Neil",,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,
"Collins, Ian",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Crane, Gary",-,-,-,-,-,-,-,-,-,-,,,,,2,-,-,-,-,-,-,1,3.0
"Crosswell, Brent",1,-,1,2,2,2,1,-,-,1,-,-,1,3,2,1,-,,,,-,2,19.0
"Edmond, Bob",-,-,-,-,-,-,,,,,,,,,1,,,,,,,,1.0
"Gallagher, Adrian",5,5,1,1,2,-,1,1,-,1,-,1,2,1,1,1,1,1,1,1,5,1,33.0
"Gill, Barry",,,,,,,,,,,-,-,-,-,,,,-,-,-,1,-,1.0
"Goold, John",-,-,-,-,-,-,-,,-,-,-,,-,,-,-,-,-,-,1,-,-,1.0
"Hall, Kevin",-,-,-,-,-,,-,-,-,,1,-,-,,-,-,,,,,-,-,1.0
"Hopkins, Ted",,,,,,,,-,-,-,,-,,-,,,,,,,,,
"Jesaulenko, Alex",2,,,,-,1,2,2,2,-,1,,-,,-,3,-,,,-,-,2,15.0
"Jones, Peter",2,-,1,1,,,1,2,-,-,-,-,-,1,-,-,5,-,-,3,1,1,18.0
"Kekovich, Brian",3,,,-,2,2,2,6,1,3,4,1,3,,,,1,3,1,2,3,4,41.0
"Kerr, Peter",1,1,-,-,,-,-,,,,1,-,-,,,,-,-,,,,,3.0
"Lofts, Wes",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,-,,-,-,-,1.0
"McLean, Peter",,,,-,,-,,-,,-,-,1,,-,-,,-,-,-,-,-,-,1.0
"Munari, Dennis",3,-,,,,,,,2,2,1,-,3,-,1,-,,,2,2,,1,17.0
"Nicholls, John",-,1,-,-,3,-,1,-,1,-,4,,-,3,2,2,-,1,1,-,2,1,22.0
"Nicoll, Ian",,-,-,,-,,,,,,,,,,,,,,,,-,,
"Quirk, Bryan",1,-,1,1,-,-,,,,,,,,-,1,-,2,3,4,-,2,1,16.0
"Robertson, Ian",2,2,2,-,-,3,1,3,2,,3,1,2,1,1,-,,3,2,1,-,-,29.0
"Silvagni, Sergio",-,1,-,1,-,-,1,-,-,1,-,1,1,-,1,-,1,-,-,-,-,-,8.0
"Smith, Peter",,1,3,3,-,-,-,,,,,1,-,2,,,,,,-,,,10.0
"Stewart, Cliff",,,,,,,-,-,1,-,1,,-,-,-,,,-,,,,,2.0
"Stone, Ron",-,-,-,-,-,-,-,-,-,,,1,,-,,,,,,,,,1.0
"Waite, Vin",,,,,,,,,,-,,,-,,-,-,,,-,,,,
"Walls, Robert",-,-,1,-,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,1,-,3.0
Totals,21,12,11,10,14,11,11,15,9,8,18,7,12,12,12,9,14,11,14,10,15,14,270.0
Opponent,GE,RI,ES,HW,FO,SM,CW,FI,NM,SK,ME,GE,RI,ES,HW,FO,SM,CW,FI,NM,ES,ES,
