Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Amos, Mark",,,,,,,,2,-,,,,,,,,,,,,,,2.0
"Armstrong, Barry",,,,1,,2,2,1,1,1,-,,,-,,,,,,-,2,1,11.0
"Barrot, Bill",,,,,,,,,-,1,1,,-,1,2,-,-,1,1,,-,-,7.0
"Chandler, Neil",-,-,-,-,2,-,,,,,,,,,,,,,-,-,1,,3.0
"Collins, Ian",,,,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,-,-,
"Crane, Gary",-,,,,,,,,,,,-,-,-,-,1,-,-,-,-,,-,1.0
"Crosswell, Brent",,,,,,,,,,,,,,,,,,,,,1,3,4.0
"Doull, Bruce",-,-,-,-,,,-,,,,,,,,,-,-,-,-,-,-,-,
"Fyffe, Peter",,,,,,,,,,,,-,,,,,-,-,,,-,,
"Gallagher, Adrian",,3,-,,1,2,1,1,2,-,-,3,1,1,-,-,-,3,1,-,-,-,19.0
"Gill, Barry",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1.0
"Gutterson, Daryl",,,,,,,,,,-,,,,,,,,,,,,,
"Hall, Kevin",,,,-,-,,,,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2.0
"Hall, Peter",,,,,,,,,,,,-,-,,,,,,,,,,
"Hopkins, Ted",-,,,,,,,,,,,,,,,,,,,,,,
"Hurst, Paul",,,,,,-,-,1,,,,,,,,,,,,,,,1.0
"Jackson, Syd",2,2,1,3,1,1,-,-,-,1,-,,,,,-,,,-,1,2,2,16.0
"Jesaulenko, Alex",2,,3,5,3,1,,,3,5,1,,-,,2,1,4,2,1,-,1,-,34.0
"Jones, Peter",,,-,1,-,1,1,-,-,1,,,,,,,,,,-,1,1,6.0
"Keogh, Trevor",3,-,1,-,2,1,3,1,3,-,-,,,1,-,,,-,-,-,,,15.0
"Lawson-Smith, Gary",2,-,,,,,-,,,,-,,,,,,,,,,,,2.0
"Lukas, Andrew",1,-,-,-,-,-,-,1,,,,,,,,,,,,,,,2.0
"McKay, David",-,-,-,-,-,-,-,-,-,-,1,1,1,3,-,1,-,1,-,3,1,-,12.0
"McLean, Ricky",1,3,1,,,,,5,-,,,4,1,,,,,,,,,,15.0
"Mitchell, Chris",,,,,,,,,,,,,,,3,1,1,1,1,,,,7.0
"Mulcair, Barry",-,-,-,-,-,-,,,,,,,,,,,,,,,,-,
"Nicholls, John",1,-,-,2,1,-,3,-,-,-,-,-,1,-,-,,1,2,1,-,2,1,15.0
"OBrien, Paul",,,,,,,,,,,,,,,,-,,,,,,,
"OConnell, John",,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,
"Pinnell, Phillip",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,2.0
"Quirk, Bryan",-,-,-,,,,1,,,,,2,1,2,-,1,1,,,,,1,9.0
"Robertson, Ian",-,-,-,2,2,-,-,-,-,-,-,-,,2,1,-,-,2,4,,3,-,16.0
"Silvagni, Sergio",,1,-,-,-,-,1,-,-,-,-,1,1,1,1,-,,-,-,-,-,-,6.0
"Southby, Geoff",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Waite, Vin",-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,2.0
"Walls, Robert",,-,1,4,3,1,5,4,3,-,2,2,4,2,1,-,3,3,-,2,,,40.0
"Walsh, Brian",1,-,,3,1,,,,,,,4,-,3,2,1,,,,,,,15.0
"Warburton, Peter",,,,,,,,,,,,,,,,,2,1,,,,,3.0
"Warden, John",,,,,,,,-,,-,1,-,2,-,3,,,,,-,1,,7.0
Totals,13,9,7,21,17,9,17,16,12,10,6,17,13,16,15,6,15,16,10,6,15,9,275.0
Opponent,NM,ES,ME,GE,SK,SM,FO,RI,HW,FI,CW,NM,ES,ME,GE,SK,SM,FO,RI,HW,FI,CW,
