Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,SF.1,PF,GF,Tot
"Armstrong, Barry",4,2,1,4,,2,-,2,3,,3,,,,-,4,3,3,2,3,1,,2,2,2,2,45.0
"Austin, Rod",,,,,,-,-,-,,,,-,,,,,,,,,,,,,,,
"Chandler, Neil",,,,,,,,,,,,,,,,,-,3,,,,,,,1,-,4.0
"Crane, Gary",,,,,,,,,,6,1,-,3,4,4,,-,,,2,-,,,,,1,21.0
"Crosswell, Brent",2,2,4,2,3,,,,,1,1,,-,1,2,4,1,1,,,,4,,,,,28.0
"Dickson, David",,,1,-,-,-,2,2,-,1,1,2,1,-,-,2,4,1,5,4,3,4,-,3,-,2,38.0
"Doull, Bruce",1,2,-,2,3,-,2,1,-,2,3,-,2,3,2,-,-,1,3,1,-,1,1,2,1,2,35.0
"Fyffe, Peter",,-,-,,,,-,-,-,-,,,,-,,-,,,,,,,,,,,
"Gallagher, Adrian",5,-,4,-,1,2,5,2,,,,2,4,4,1,4,2,1,2,1,2,1,3,1,3,4,54.0
"Gill, Barry",,,,,,,2,,-,4,,,,,,,,,,,,,,,,,6.0
"Hall, Kevin",-,,,,,1,,,1,2,,,,,,,,2,2,2,2,2,2,4,-,-,20.0
"Hall, Peter",,,,,,,,,,,,,,,,,,,,-,1,-,,,,,1.0
"Hurst, Paul",3,3,-,3,2,1,3,3,2,1,2,1,3,-,,,,,,1,2,2,-,-,2,-,34.0
"Jackson, Syd",-,-,1,-,5,4,5,3,4,3,,2,-,,1,1,2,2,4,1,5,3,,-,-,3,49.0
"Jesaulenko, Alex",3,2,2,-,5,1,3,2,1,-,3,,3,2,,5,-,3,2,-,4,4,2,1,1,1,50.0
"Jones, Peter",5,2,3,1,2,,,2,1,1,-,2,5,-,2,-,2,2,2,2,-,-,-,2,-,1,37.0
"Kennedy, Greg",1,5,,1,2,2,2,2,1,2,2,1,,1,1,,2,-,-,2,4,-,2,-,-,,33.0
"Keogh, Trevor",5,2,6,3,4,2,4,4,4,6,3,2,6,3,2,5,2,3,3,1,2,2,2,5,4,2,87.0
"Lukas, Andrew",,,-,-,2,3,1,-,2,-,1,-,1,-,2,-,1,2,-,,,2,1,1,1,-,20.0
"McKay, David",-,6,3,2,-,2,3,2,2,-,2,2,1,1,1,-,2,1,2,5,1,5,2,2,2,3,52.0
"Nicholls, John",2,3,2,3,4,1,3,4,2,5,-,,3,1,2,-,1,-,2,3,3,2,-,2,2,3,53.0
"OBrien, Paul",,,,,,,,,,,,-,,,,,,,,,,,,,,,
"OConnell, John",-,1,3,7,-,,,,,,2,-,-,,2,1,1,3,1,2,2,-,2,1,3,-,31.0
"Pascoe, Eric",,,,,,1,,,,,,,,,,,,,,,,,,,,,1.0
"Pinnell, Phillip",3,1,3,2,2,-,,,,,1,3,-,1,1,-,1,1,-,2,2,2,-,2,,,27.0
"Quirk, Bryan",3,1,2,-,4,,3,4,5,3,4,1,4,1,4,1,,-,,,,,-,,,,40.0
"Robertson, Ian",3,1,,,,,,,,,1,2,3,4,-,-,,,2,1,5,2,1,2,2,-,29.0
"Southby, Geoff",2,4,-,1,5,4,-,-,4,4,2,,4,6,2,5,1,3,3,-,5,4,4,1,4,5,73.0
"Waite, Vin",2,3,3,1,6,3,1,1,,,6,6,4,3,,1,1,4,5,,,,4,3,5,1,63.0
"Walls, Robert",-,1,2,3,7,5,1,2,-,2,2,-,-,2,4,1,1,,2,3,1,3,-,2,-,1,45.0
"Walsh, Brian",,,,,,,-,1,-,-,,-,,,,,,,-,,,,,,,,1.0
"Warburton, Peter",,,,,-,-,,,,,,,,,,,,,,,,,,,,,
"Warden, John",,,,,,,,,1,,,,,,1,,,,,,,,,,,,2.0
Totals,44,41,40,35,57,34,40,37,33,43,40,26,47,37,34,34,27,36,42,36,45,43,28,36,33,31,979.0
Opponent,FI,CW,SM,RI,ES,GE,ME,SK,NM,HW,FO,FI,CW,RI,SM,ES,GE,ME,SK,NM,HW,FO,RI,RI,SK,RI,
