Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,GF,Tot
"Alvin, Tom",14,14,22,23,22,12,15,16,10,13,17,20,24,19,15,31,21,16,23,-,,17,,7,19,390.0
"Ashman, Rodney",22,16,20,20,17,11,23,5,,,,,,,11,,,,,,,,,,,145.0
"Baynes, Rhett",,,,,,,,,,,,,,,,,,,,4,9,,,,,13.0
"Blackwell, Wayne",27,28,34,25,25,13,28,26,22,31,13,25,27,30,19,29,,,27,31,21,24,24,,13,542.0
"Bradley, Craig",16,32,29,35,22,18,29,24,24,22,30,19,27,35,10,25,14,22,26,28,24,26,33,23,8,601.0
"Buckley, Jim",,,,,,,,,,,10,9,17,8,21,,,,,15,,,,,,80.0
"Burke, Rohan",,14,22,7,6,,,,,,17,,,,,,,,,,,,,,,66.0
"Dean, Peter",13,18,21,14,12,19,23,13,5,13,,5,1,3,10,19,16,17,5,14,8,21,10,22,16,318.0
"Dorotich, Jon",15,10,12,11,12,13,18,16,12,11,15,11,11,15,,9,7,15,14,,,17,17,8,10,279.0
"Doull, Bruce",12,7,9,7,10,19,8,10,7,8,9,10,12,19,14,13,11,6,13,6,8,11,14,11,6,260.0
"English, Des",18,,18,,,,,,,,,,,,,,,,,19,21,14,18,18,14,140.0
"Evans, Bernie",1,,,,,,,,,19,18,14,31,22,18,21,,15,20,20,18,12,16,18,9,272.0
"Glascott, David",,,,,,,,,,,,21,30,26,19,25,17,13,24,27,20,13,15,26,20,296.0
"Gleeson, Adrian",,,,,,,13,9,11,,,,,,,,,,,,,,,,,33.0
"Hanna, Mil",1,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Harmes, Wayne",,,,,,,17,18,16,20,16,11,12,6,25,19,21,18,14,24,26,18,16,21,17,335.0
"Hunter, Ken",26,,,,11,19,25,25,24,17,,,,,,,,18,6,3,,,10,,15,199.0
"Johnston, Wayne",20,,,25,24,25,16,21,14,24,24,17,,30,1,8,23,24,23,22,28,,18,24,10,421.0
"Kennedy, Michael",,,,,,,,,,1,,,,,,,,,,,14,4,,,,19.0
"Kenny, Peter",10,9,11,13,2,,,,,4,6,10,5,,,11,-,,,,,,,,,81.0
"Kernahan, Stephen",15,16,7,11,2,15,16,9,8,16,10,10,19,15,11,18,11,21,18,16,13,11,15,15,10,328.0
"Kourkoumelis, Spiro",,11,25,11,12,1,,,,,,,,,,,,,,,,,,,,60.0
"Maclure, Mark",14,18,20,10,7,18,8,,9,12,10,7,10,16,4,15,11,,6,,,,2,11,11,219.0
"Madden, Justin",15,14,16,23,8,13,9,18,10,19,18,8,10,10,12,12,17,14,4,9,,19,9,6,11,304.0
"Marcou, Alex",,,,,,,4,18,11,19,19,,,,,,,,,,,,,,,71.0
"McKenzie, Warren",,,,,,,,9,1,11,4,,,,,,,,,,15,5,,12,5,62.0
"Meldrum, Paul",17,24,14,24,22,17,23,15,16,19,18,11,15,19,15,18,12,26,27,15,17,22,13,9,9,437.0
"Motley, Peter",,7,,8,9,1,,,,,,,,,,16,26,20,28,15,23,20,,22,18,213.0
"Murphy, Fraser",,1,9,,,5,,,7,,,,9,18,15,12,12,1,,,5,,,12,,106.0
"Ogier, Darren",,,,,,,,,,,,,,16,9,,,,,,,,,,,25.0
"Ralph, Warren",,,,,,,5,4,,,,,,,,,,,,,17,13,4,,,43.0
"Rhys-Jones, David",20,,,,,,,15,16,,16,,20,22,15,15,17,15,15,13,23,11,20,31,16,300.0
"Robertson, Shane",,20,22,2,,20,12,,9,17,17,3,8,,,25,24,13,15,12,,,8,17,9,253.0
"Rohde, Peter",23,13,18,25,18,14,20,20,18,22,20,14,17,28,15,,,20,4,,21,,11,,,341.0
"Sheldon, Ken",,,,,,,,,,,,11,,,,,11,,,,,19,,,,41.0
"Shine, Brad",20,17,9,14,14,13,4,5,,,,,,,,,,,,,,,,,,96.0
"Silvagni, Stephen",,,,,,,,,,,,13,8,10,9,8,9,8,16,12,3,14,13,6,,129.0
"Strauch, Dean",,,,,,,,,,,,,,,,,18,-,,,,,,,,18.0
"Williams, Mark",,9,15,18,6,7,,,,,,,,,,,,,,,,,,,,55.0
Totals,319,298,353,326,261,273,316,296,250,318,307,249,313,367,268,349,298,302,328,305,334,311,286,319,246,7592.0
Opponent,HW,RI,SK,FI,ES,SY,CW,GE,FO,ME,NM,HW,RI,SK,FI,NM,ES,SY,CW,GE,FO,ME,SY,HW,HW,
