Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R19,R20,R21,R22,R23,R24,Tot
"Aitken, Ian",,1,4,2,1,,7,7,,,,,3,,,,,2,,,,,27.0
"Alvin, Tom",2,8,6,2,4,1,7,5,1,8,4,5,6,2,5,4,2,4,6,1,1,1,85.0
"Arceri, Mark",2,9,6,2,3,,,,,,,,,,,,,,,,,,22.0
"Athorn, Mark",3,6,10,7,11,4,7,,5,5,7,8,,2,4,6,5,6,6,7,4,5,118.0
"Bassett, Adrian",,,,,,,,,,,,,,,2,,,,,,,,2.0
"Bond, Chris",2,,,,,,,,4,2,2,5,3,,,,,,,,,,18.0
"Bradley, Craig",7,9,16,11,9,3,9,13,12,4,13,15,5,6,3,8,14,8,13,5,7,8,198.0
"Brown, Fraser",7,10,6,5,10,8,8,15,8,18,7,4,8,5,7,5,6,4,10,7,8,10,176.0
"Cavedon, Andrew",5,2,-,6,3,3,3,3,,,,3,2,,,,,,,,,,30.0
"Christou, Ang",,,,,,,,,,,,,,,,,,-,2,3,2,3,10.0
"De Iulio, Ron",1,1,1,1,2,1,1,1,-,3,,1,3,2,,,7,6,4,2,1,3,41.0
"Dean, Peter",9,6,,,,8,1,-,5,16,4,5,4,4,7,7,5,5,5,2,6,6,105.0
"Dorotich, Jon",,,,,1,4,4,3,-,4,1,7,6,5,9,6,2,5,5,5,3,2,72.0
"Gleeson, Adrian",3,9,9,8,5,9,16,,,15,6,7,7,10,11,11,3,5,8,3,3,4,152.0
"Hanna, Mil",5,9,4,8,4,5,9,5,5,8,2,5,5,4,3,1,5,3,3,5,2,2,102.0
"Heaver, Brent",,,,,,,,,,,,,,3,1,,,,,,,,4.0
"Hogg, Matthew",,3,4,4,2,1,8,1,2,2,2,5,3,3,,2,,7,3,2,,,54.0
"Kernahan, David",2,1,1,,,,,,,,,,,3,4,3,5,,,,,,19.0
"Kernahan, Stephen",3,3,5,2,6,1,3,1,1,7,2,5,5,2,6,3,6,1,3,3,2,4,74.0
"Koutoufides, Anthony",,,,,,,,,,,,4,4,3,,,,,5,,6,5,27.0
"Madden, Justin",,,,,5,3,,,5,1,1,,,2,4,3,7,2,7,3,11,5,59.0
"McCormack, Paul",4,,,4,,,,1,,,,,,,,,,,,,,,9.0
"Meldrum, Paul",,,3,-,,,,,,,,,,,,,,,,,,,3.0
"OSullivan, Luke",,,,,3,1,1,7,6,,,,,8,6,4,5,6,5,5,3,2,62.0
"Oliver, Stephen",1,-,,,,,,,,,,,,,,,,,,,,,1.0
"Parker, Brendan",,,,,,,,,,,1,1,,,-,,1,,,,,,3.0
"Ratten, Brett",3,7,8,4,3,2,,5,8,6,4,2,8,,,7,8,11,6,4,3,7,106.0
"Rhys-Jones, David",,,,,,,,,4,4,,,,,,,,4,,2,3,6,23.0
"Robertson, Ben",,,,,,,,,,,,,,,4,4,4,,,,,,12.0
"Sexton, Michael",2,4,1,3,3,5,4,2,2,7,4,-,7,5,6,5,1,,,,6,2,69.0
"Sholl, Brett",11,3,11,3,3,5,2,4,2,-,3,,4,,,,,,,,,,51.0
"Silvagni, Stephen",2,4,-,,,4,-,4,,,1,,,,,2,,,4,6,1,6,34.0
"Spalding, Earl",4,2,7,7,6,3,5,10,5,5,6,8,2,7,5,12,4,5,11,2,3,1,120.0
"Tarczon, Darren",,,-,2,6,,1,-,,,,,,,,,,,,,,,9.0
"Welsh, Rohan",,,,1,,,,,2,2,5,3,3,2,3,6,5,3,-,5,,-,40.0
"Williams, Greg",,,,,,14,11,13,16,18,11,11,12,15,11,5,19,4,2,17,6,,185.0
Totals,78,97,102,82,90,85,107,100,93,135,86,104,100,93,101,104,114,91,108,89,81,82,2122.0
Opponent,BB,HW,NM,SY,SK,FO,CW,WC,ES,ME,GE,AD,FI,RI,BB,HW,NM,SY,SK,FO,CW,WC,
