Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Allan, Matthew",15,8,17,12,14,10,13,14,1,14,8,15,26,12,10,,8,17,17,16,9,7,263.0
"Anstey, Jacob",,,,,,,-,-,-,,,,-,-,-,-,,,-,,,-,
"Balkwill, Andrew",,,-,,,,,,,,,,,,,,,,,,,,
"Beaumont, Simon",,,-,-,-,,,-,-,-,,,,-,,,,,,,,,
"Bradley, Craig",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Brown, Fraser",,,,-,-,-,,,-,-,-,-,,,,,,,,,,,
"Camporeale, Scott",-,-,-,-,,,,,,,,,-,-,-,-,-,,,-,-,-,
"Christou, Ang",1,-,,-,-,1,-,-,-,,,,,,,,,,,,,,2.0
"Clape, Matt",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,,,
"De Iulio, Ron",-,-,,,-,,,,,,,,-,,-,-,,,,,-,-,
"Dean, Peter",1,-,-,-,-,,,-,2,1,-,-,-,-,-,2,1,-,-,1,1,-,9.0
"Franchina, Anthony",,,,,,,,,,,,,,,,,,,,-,-,,
"Hamill, Aaron",-,-,-,-,-,-,-,,-,1,-,,-,-,-,,-,-,-,-,-,-,1.0
"Hanna, Mil",-,,,,,-,,,,,,,,,,-,-,-,-,-,,-,
"Hickmott, Adrian",,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,,-,-,-,-,
"Hogg, Matthew",,,,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Hulme, Darren",,,,,,,,,,-,-,-,,,,,,-,-,-,-,-,
"Kernahan, Stephen",,,,1,1,1,1,-,2,1,-,1,1,2,-,4,4,1,,,,-,20.0
"Koutoufides, Anthony",2,3,-,1,1,-,-,4,1,-,1,1,1,1,-,-,-,-,1,1,-,-,18.0
"Manton, Glenn",-,-,-,-,-,-,-,-,4,-,-,1,-,1,-,-,,,-,1,-,-,7.0
"McGuane, Mick",-,1,-,,,,,,,,,,,,,,,,,,,,1.0
"McKay, Andrew",1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Murphy, Justin",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Nelson, Ben",,,-,,,,,,,,,,,,,,,,,,,,
"OSullivan, Luke",-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
"Pearce, Brad",,,,,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,
"Porter, Mark",,,,,,,,,,,,,,,,27,1,,,,16,6,50.0
"Ratten, Brett",-,1,-,1,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Rice, Dean",-,-,-,-,,,,,,,,,,,,,-,-,-,-,-,-,
"Sexton, Michael",-,-,-,-,1,1,-,1,-,-,-,1,-,-,-,-,-,-,,,,,4.0
"Silvagni, Stephen",,,,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,1.0
"Smart, Sam",,,,,,,,,,,,,,,,,,,,,-,,
"Spalding, Earl",,,,,1,-,,,,,,,,1,,,,,1,,,,3.0
"Welsh, Rohan",,,,,,,,,,2,1,1,,,,,,,,,,,4.0
"White, Adam",,1,-,,,1,-,-,-,-,-,-,,,,,,-,,,,,2.0
"Whitehead, Adrian",-,-,,,,,-,-,,,-,-,-,-,,-,-,-,-,-,,,
"Whitnall, Lance",2,-,-,3,,-,1,1,-,-,-,-,-,,-,,,-,-,-,-,-,7.0
"Williams, Greg",-,-,,,,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
Totals,22,14,17,20,18,14,15,20,10,19,10,20,28,17,11,33,14,18,19,19,26,13,397.0
Opponent,ES,NM,AD,CW,GE,SY,RI,HW,FR,PA,BL,SK,WC,WB,ME,ES,NM,AD,CW,GE,SY,RI,
