Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,Tot
"Allan, Matthew",-,-,6,2,4,1,1,3,1,1,-,-,1,1,1,,,,,,,1,5,3,3,34.0
"Backwell, Brett",,,,,,1,2,-,,,,,,,,,,,,,,,,-,,3.0
"Beaumont, Simon",-,4,3,3,1,3,4,-,3,1,2,2,3,3,1,-,3,1,1,1,5,2,3,5,3,57.0
"Bradley, Craig",-,4,3,4,-,1,-,2,3,3,5,2,2,1,3,-,1,2,,1,,,,2,4,43.0
"Brown, Fraser",3,7,4,5,4,,,,,,,,,,,,,,,1,1,-,1,,-,26.0
"Camporeale, Scott",1,2,5,1,-,3,2,3,3,1,1,3,4,1,-,3,1,1,1,4,1,1,2,1,2,47.0
"Chatfield, Adam",,,,,,,,,,,,,,,,,,,1,,,,,,,1.0
"Christou, Ang",,,,,,,,,5,2,1,2,-,1,-,1,2,-,,,,,,,,14.0
"Culpitt, Heath",,,,,,,,,,,,,,,,,,-,1,3,-,,,,,4.0
"Fevola, Brendan",1,-,2,1,-,-,1,6,1,,,,,,,,,,3,,,2,1,2,1,21.0
"Fletcher, Simon",2,-,1,,4,1,-,2,1,-,2,2,3,2,3,2,2,-,1,1,3,-,-,3,-,35.0
"Franchina, Anthony",2,1,,1,2,2,-,2,-,1,2,1,1,2,3,2,5,1,-,-,2,-,-,3,-,33.0
"Freeborn, Scott",,,,,4,-,-,4,-,2,,,-,-,,1,1,1,3,2,1,1,5,-,-,25.0
"Hamill, Aaron",-,1,1,4,4,5,1,4,1,1,2,2,-,2,1,-,-,1,1,3,,3,1,1,2,41.0
"Hickmott, Adrian",-,-,-,1,,1,2,-,-,-,1,-,3,2,3,3,4,1,,,,2,3,4,3,33.0
"Hotton, Trent",-,2,1,1,3,2,4,1,1,-,2,-,1,2,2,-,2,2,3,-,-,-,1,2,2,34.0
"Houlihan, Ryan",,,,,,,,,,,1,-,,-,3,,1,-,2,2,4,-,1,2,2,18.0
"Hulme, Darren",1,3,-,2,,1,1,-,-,4,-,1,2,1,2,3,,,1,2,2,4,5,-,3,38.0
"Koutoufides, Anthony",2,5,2,-,3,2,4,5,-,2,5,2,3,3,2,1,2,2,2,1,,,,,,48.0
"Lappin, Matthew",3,2,3,3,5,5,1,-,,-,-,3,1,4,2,2,1,1,4,1,5,2,3,1,3,55.0
"Mansfield, Michael",1,3,5,2,1,,,1,-,2,4,3,-,3,3,1,,,,,,1,2,-,1,33.0
"Manton, Glenn",,,,,-,2,1,-,1,-,-,-,-,-,,,-,,,1,1,-,-,-,-,6.0
"Massie, Kris",-,-,1,1,-,,,,,,,,,,,1,2,-,1,,1,,,,,7.0
"McKay, Andrew",2,2,2,2,4,2,2,1,1,-,1,2,-,3,3,2,1,2,1,3,3,1,2,1,3,46.0
"Merrington, Andrew",,,,,,,,,,,,,,,-,,,,,,,,,,,
"Murphy, Justin",,,,,,,,,,,,,,,,,,,,,1,,,,,1.0
"Nelson, Ben",1,2,-,3,,2,-,,-,,,,,,,,,,,,,,,,,8.0
"OReilly, Stephen",,,-,1,3,,,,,-,-,,,,2,2,-,-,-,2,-,,,,,10.0
"Porter, Mark",,,,,,,,,,,,,,,,1,1,-,-,1,-,2,-,1,-,6.0
"Ratten, Brett",1,4,3,-,2,2,2,7,1,1,1,4,1,1,6,1,1,3,4,1,3,-,1,3,2,55.0
"Rice, Dean",1,1,1,-,4,2,2,-,2,-,2,1,1,2,-,1,3,-,-,3,-,2,1,,1,30.0
"Sexton, Michael",2,2,2,1,,,,,,,,3,3,,,,,,,,,,,,,13.0
"Silvagni, Stephen",,,,,3,4,1,1,2,2,4,1,1,1,-,-,-,2,2,3,2,1,-,1,,31.0
"White, Adam",,,,,,,,,,,,,,,,,,,,,1,,,,,1.0
"Whitnall, Lance",1,1,6,1,3,1,2,3,2,2,3,1,1,3,1,3,1,-,7,2,2,-,1,2,2,51.0
Totals,24,46,51,39,54,43,33,45,28,25,39,35,31,38,41,30,34,20,39,38,38,25,38,37,37,908.0
Opponent,BL,HW,CW,WB,ES,PA,RI,SY,FR,SK,KA,WC,ME,GE,AD,BL,HW,CW,WB,ES,PA,RI,ME,BL,ES,
