Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Anderson, Joe",,,,,,,,,,,,,,,-,-,,,,,-,,,
"Armfield, Dennis",,,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,-,-,
"Austin, Mark",,,,,,,-,-,-,-,,-,-,-,,,-,-,,,,,,
"Bannister, Jordan",,,,,,,,,,,,-,-,,,,,,,,,,,
"Bentley, Greg",,,,,,-,,,,,,,,-,-,-,-,,,,,,,
"Betts, Eddie",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,2.0
"Bower, Paul",-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,
"Browne, Steven",,,,,,,,-,-,-,-,-,-,,,,,,,,,-,,
"Carrazzo, Andrew",,,,,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cloke, Cameron",-,-,-,-,-,-,-,,,,,,,,,,,,,-,-,,-,
"Fevola, Brendan",-,-,-,-,-,-,-,-,-,1,3,-,-,-,2,-,-,-,3,-,2,-,-,11.0
"Fisher, Brad",,,,,,,,,,-,-,,-,-,-,-,-,,,,,,,
"Garlett, Jeff",-,-,-,,,,,,,-,-,-,,-,-,,,,,,-,,-,
"Gibbs, Bryce",3,2,-,-,1,-,-,2,-,-,-,-,-,3,-,-,-,3,-,1,-,-,-,15.0
"Grigg, Shaun",,,-,-,,,,,,,-,-,-,-,-,-,-,,,,,,-,
"Hadley, Richard",-,1,-,-,,,-,-,-,,,,,,,,,-,-,-,-,,,1.0
"Hampson, Shaun",,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,
"Hartlett, Adam",,,,,,,,,,,,,,,-,-,-,,,,,,,
"Houlihan, Ryan",-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Jacobs, Sam",-,-,-,-,,,,,,,,,,,,,,,,,,,,
"Jamison, Michael",-,-,,,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Johnson, Chris",-,-,-,-,-,,,,,,,,,-,-,-,-,,,,,-,,
"Joseph, Aaron",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Judd, Chris",-,-,3,-,-,1,-,3,-,3,1,-,-,2,3,-,-,-,1,2,3,-,-,22.0
"Kreuzer, Matthew",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Murphy, Marc",1,3,-,-,3,-,-,-,1,2,-,-,-,-,-,-,-,1,-,3,1,-,-,15.0
"OhAilpin, Setanta",,,,,-,-,,,,-,-,-,-,1,,,,-,-,-,-,-,,1.0
"Robinson, Mitch",-,-,-,-,,,,-,-,-,,,,,,,,-,-,-,,,,
"Russell, Jordan",-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,
"Scotland, Heath",-,-,,,-,-,-,-,,,-,-,-,,,-,-,-,-,-,-,-,-,
"Simpson, Kade",-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,3,-,-,-,-,-,-,-,5.0
"Stevens, Nick",,,-,-,-,-,-,-,-,-,-,-,-,,,,,2,-,-,-,-,-,2.0
"Thornton, Bret",-,-,-,-,2,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,2.0
"Waite, Jarrad",-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,1.0
"Walker, Andrew",,,,,,,,,,,,,,,,,,-,-,-,-,-,-,
"Wiggins, Simon",-,-,-,-,-,-,-,,-,,,,,,,,,,-,-,-,-,-,
"Yarran, Chris",,,,,,,-,-,-,,,,,,,-,-,,,,,-,,
Totals,6,6,3,0,6,1,0,6,1,6,4,2,0,6,5,4,0,6,4,6,6,0,0,78.0
Opponent,RI,BL,ES,SY,WB,HW,FR,CW,AD,WC,BL,SK,ES,FR,RI,SY,CW,NM,GE,PA,ME,AD,BL,
