Player,R1,R2,R3,R4,R5,R6,R7,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R24,EF,SF,Tot
"Armfield, Dennis",3,1,,,,2,5,4,5,3,,,5,,,,11,6,,8,3,7,8,5,76.0
"Austin, Mark",,,,,,,,,,,,,4,,,,,,,,,,,,4.0
"Betts, Eddie",10,8,7,5,7,11,4,6,4,5,10,5,9,4,7,7,5,4,4,5,4,10,7,10,158.0
"Bower, Paul",,,,,,,,,,,1,,,,2,-,,,,,,,,,3.0
"Carrazzo, Andrew",7,4,6,4,3,11,11,9,9,15,11,8,11,16,,,,,,6,11,,14,11,167.0
"Collins, Andrew",,,-,2,,,,,,,,,,,,,,,,,,,,,2.0
"Curnow, Ed",8,12,9,12,11,11,1,,,5,3,7,,,,1,5,,,,,,,,85.0
"Davies, Marcus",,,,,,,,,,,,,,,,,5,3,-,4,-,1,1,3,17.0
"Duigan, Nick",3,7,8,10,3,5,6,7,5,7,3,4,,,7,2,4,4,4,3,6,10,1,6,115.0
"Ellard, David",,,,,6,12,7,10,9,9,12,5,5,6,9,3,1,8,8,4,3,,8,9,134.0
"Garlett, Jeff",5,7,9,8,6,3,5,5,5,7,8,4,7,6,6,4,3,3,5,8,5,5,9,5,138.0
"Gibbs, Bryce",5,6,6,9,7,10,13,5,3,5,8,6,6,8,12,7,8,6,15,6,8,4,9,,172.0
"Hampson, Shaun",4,5,7,5,4,,,,7,9,4,5,,,,,,,,,,,,,50.0
"Henderson, Lachie",,,,2,,,,,,,8,3,5,2,5,7,3,4,2,2,7,6,7,8,71.0
"Houlihan, Ryan",,,,,,,,,,,,4,7,1,7,,,1,4,,,,,,24.0
"Jamison, Michael",,,2,7,6,8,9,1,3,2,5,4,1,,,,,,,,4,,6,3,61.0
"Joseph, Aaron",,,,,3,5,4,,,,,,,,6,4,,,5,8,4,4,3,4,50.0
"Judd, Chris",14,10,12,12,19,25,11,12,16,11,15,13,10,15,8,23,20,11,18,17,8,12,10,11,333.0
"Kreuzer, Matthew",,,,,,,,,,,6,12,8,9,7,10,7,5,5,5,9,1,,,84.0
"Laidler, Jeremy",7,6,6,2,5,7,,5,2,,,,,3,11,2,6,10,6,6,6,5,7,6,108.0
"Lucas, Kane",3,,,,,,,,,,,,,,,,,,,,,4,,,7.0
"McLean, Brock",,,,,,,,7,10,,,,,,,,,6,6,,,,,,29.0
"Murphy, Marc",16,18,11,11,12,13,12,17,10,13,13,16,9,13,12,10,11,11,14,9,8,16,18,13,306.0
"OKeeffe, Rhys",,,,,,,,,,,,,3,,,,,,,,,,,,3.0
"OhAilpin, Setanta",,,,,,9,7,4,7,10,,,,,,,,,,,,7,10,11,65.0
"Robinson, Mitch",15,8,3,5,4,5,3,6,13,16,16,11,,12,16,13,12,7,5,9,7,11,11,13,221.0
"Russell, Jordan",7,6,5,5,7,5,8,3,1,4,3,6,6,4,4,,,,,,,3,,,77.0
"Scotland, Heath",6,7,5,13,7,11,10,9,9,7,7,7,12,4,11,7,8,11,8,6,10,6,5,6,192.0
"Simpson, Kade",5,3,4,2,6,13,7,6,7,13,9,6,8,7,7,14,9,10,4,8,9,9,7,8,181.0
"Thornton, Bret",3,8,4,,,,1,4,3,8,2,4,4,1,7,4,4,4,8,5,5,,9,3,91.0
"Tuohy, Zach",,,,,,,,,,2,4,4,6,4,,,5,5,8,2,,4,,4,48.0
"Twomey, Wayde",,,,,,,,,,,,,,,,2,-,,,,,,,,2.0
"Waite, Jarrad",2,12,8,9,5,7,11,8,6,5,,,,10,2,,,,,,,,,,85.0
"Walker, Andrew",5,7,4,1,11,8,4,9,10,7,4,4,6,8,7,3,6,8,7,11,8,-,4,4,146.0
"Warnock, Robert",14,8,4,9,7,6,7,3,,,,,5,10,6,8,10,6,10,8,6,10,7,6,150.0
"Watson, Matthew",,5,1,,,,,,,,,,,,,4,,,,,,,,,10.0
"White, Simon",3,8,,6,3,7,,,,,,,,-,,,,,,,,,,,27.0
"Yarran, Chris",3,5,7,6,3,,8,3,7,6,6,7,7,5,6,3,3,3,1,3,4,4,6,6,112.0
Totals,148,161,128,145,145,194,154,143,151,169,158,145,144,148,165,138,146,136,147,143,135,139,167,155,3604.0
Opponent,RI,GC,CW,ES,AD,SY,SK,GE,ME,PA,BL,SY,WC,RI,WB,CW,ES,NM,ME,FR,HW,SK,ES,WC,
