Player,R1,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Armfield, Dennis",,,,,,,,8,8,,7,2,4,2,,,,,,3,,2,36.0
"Bell, Tom",10,12,9,,7,,2,,,,,,,,3,10,7,6,13,12,10,12,113.0
"Buckley, Dylan",,11,11,10,,11,13,12,10,5,,,,,,,,,,,,,83.0
"Carrazzo, Andrew",,,4,11,14,,,,,8,8,25,10,9,7,,,8,7,18,12,12,153.0
"Casboult, Levi",,,,9,5,9,8,7,7,9,8,6,2,5,5,7,1,5,5,2,6,6,112.0
"Cripps, Patrick",,,,10,2,,,,,,,,,,,,,,,,,3,15.0
"Curnow, Ed",6,17,11,21,9,,,,,,,,13,19,12,13,10,6,14,12,12,11,186.0
"Docherty, Sam",,,,,,,11,15,13,16,16,5,11,15,20,9,13,13,17,14,4,11,203.0
"Ellard, David",8,4,7,7,5,,,4,9,2,,,,,,1,11,8,8,1,,,75.0
"Everitt, Andrejs",5,7,11,11,8,16,18,11,11,8,12,10,16,8,21,9,4,,,,,,186.0
"Garlett, Jeff",6,8,1,,,7,5,3,2,4,6,,,,,,,,,,,,42.0
"Gibbs, Bryce",16,4,17,14,14,12,13,20,17,10,19,8,18,12,10,13,13,13,16,17,16,12,304.0
"Graham, Nick",,,,6,,,,,,,,6,,,,4,7,5,10,7,9,,54.0
"Henderson, Lachie",4,10,3,9,10,9,2,6,3,9,6,,6,7,5,9,11,8,,,,,117.0
"Holman, Nick",,,,,,,,,,,,,,,,,,,,,6,,6.0
"Jamison, Michael",7,3,11,10,,12,11,13,8,7,12,,8,7,15,8,8,10,5,5,5,11,176.0
"Johnson, Blaine",,,,,,,,,,,,,,4,10,3,,1,,,7,,25.0
"Judd, Chris",,,,,2,,,,,,,16,6,12,13,4,11,7,11,14,12,15,123.0
"Kreuzer, Matthew",6,,,,,,,,,,,,,,,,,,,,,,6.0
"Lucas, Kane",,4,,16,4,16,5,,,,,,,,,,,,,,6,9,60.0
"McInnes, Andrew",7,,,,,,,,,,,,,,,,,,,,,,7.0
"McLean, Brock",5,2,,,,15,13,21,14,15,11,13,11,9,12,8,,2,10,,,21,182.0
"Menzel, Troy",1,5,8,-,,1,3,11,7,6,7,13,10,4,7,,4,,8,4,3,7,109.0
"Murphy, Marc",6,13,14,10,14,17,10,23,13,26,12,16,,5,16,14,13,4,16,8,3,,253.0
"Robinson, Mitch",12,14,15,,,7,7,12,,4,8,11,17,10,,,16,,,,,,133.0
"Rowe, Sam",,7,6,5,2,5,8,10,11,3,6,6,5,7,11,8,8,4,5,9,11,9,146.0
"Scotland, Heath",,,,10,12,15,15,,,,,,,,,,,,,,,,52.0
"Sheehan, Ciaran",,,,,,,,,,,,,,,,,,,10,11,4,11,36.0
"Simpson, Kade",14,18,12,19,16,18,12,28,26,15,12,15,6,16,15,10,18,16,18,8,4,18,334.0
"Thomas, Dale",8,15,13,15,10,16,6,5,15,8,9,7,9,11,11,7,13,23,22,4,,,227.0
"Tuohy, Zach",10,5,7,8,12,11,8,10,14,8,5,2,10,8,11,9,9,6,4,6,6,7,176.0
"Waite, Jarrad",2,6,6,,12,13,,,5,4,8,5,7,,,,9,12,11,7,3,10,120.0
"Walker, Andrew",18,,19,16,17,16,18,12,14,,18,16,19,12,22,12,,,,,,,229.0
"Warnock, Robert",1,-,2,6,3,2,2,2,7,4,1,-,1,2,4,1,,,,,,,38.0
"Watson, Matthew",6,,,,,,,,,,,6,,,,,,,,,,9,21.0
"White, Simon",,6,2,,6,6,10,6,7,7,2,7,3,,7,9,8,6,9,2,7,11,121.0
"Wood, Cameron",,,,,,,,,,,,,,,,,6,9,5,2,9,5,36.0
"Yarran, Chris",9,12,6,15,10,9,,16,18,16,8,11,8,13,12,7,15,14,1,17,7,11,235.0
Totals,167,183,195,238,194,243,200,255,239,194,201,206,200,197,249,175,215,186,225,183,162,223,4530.0
Opponent,PA,RI,ES,ME,WB,WC,CW,SK,AD,BL,GE,HW,GW,CW,SK,SY,NM,FR,GC,GE,PA,ES,
