Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Betts, Eddie",,1,2,1,1,4,1,-,-,-,-,1,2,-,,-,-,13.0
"Casboult, Levi",2,1,2,3,-,1,-,1,3,-,1,-,-,-,1,-,1,16.0
"Cottrell, Matthew",,,,,,,,,,-,1,-,,-,1,,,2.0
"Cripps, Patrick",-,1,2,-,1,-,-,-,1,-,-,-,-,-,1,1,-,7.0
"Cuningham, David",2,1,-,-,-,-,-,2,1,,,,,,-,-,-,6.0
"Curnow, Ed",-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,1,4.0
"De Koning, Tom",,,,,,,,,,-,-,-,-,,-,-,-,
"Docherty, Sam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Dow, Paddy",-,,,,,,,,,,,,-,1,,,,1.0
"Fisher, Zac",-,,,,,,,,,4,-,-,1,-,1,-,,6.0
"Gibbons, Michael",-,1,1,-,1,2,1,1,-,1,-,2,-,,,-,1,11.0
"Honey, Josh",,,,,,,,,,,-,,,,,,,
"Jones, Liam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Kennedy, Matthew",,,,,,-,-,2,-,-,-,,,,,,-,2.0
"Kreuzer, Matthew",-,,,,,,,,,,,,,,,,,
"Lang, Darcy",,1,,,,,,,,,,,,,,,,1.0
"Martin, Jack",4,-,-,1,1,2,1,-,2,-,,-,-,1,-,,-,12.0
"McGovern, Mitch",1,1,2,2,-,2,-,-,,,,,,-,-,1,-,9.0
"McKay, Harry",,-,1,,-,3,3,,-,,1,2,1,1,2,4,3,21.0
"Moore, Callum",,,,,,,,-,-,,,,,,,,,
"Murphy, Marc",-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,1,4.0
"Newman, Nic",-,-,,,,,,,,,,,,,,,,
"Newnes, Jack",1,-,-,-,1,1,1,2,2,-,1,1,1,-,1,-,1,13.0
"OBrien, Lochie",,,,,,,,,,,,,,,,1,,1.0
"Owies, Matthew",,,,,,,,,,,,,,,-,,,
"Petrevski-Seton, Sam",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Philp, Sam",,,,-,1,,,,,,,,,,,,,1.0
"Pittonet, Marc",,-,-,-,-,-,-,-,-,-,,-,-,-,,,-,
"Plowman, Lachie",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Polson, Cameron",,,,,,,,,,,,,-,-,,,-,
"Setterfield, Will",-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,1,,4.0
"Silvagni, Jack",2,,-,-,,,,,,,,,,,,,,2.0
"Simpson, Kade",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0
"Walsh, Sam",-,-,-,-,-,-,2,1,-,1,1,-,1,1,1,-,-,8.0
"Weitering, Jacob",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Williamson, Tom",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0
Totals,12,7,12,7,8,16,9,9,9,7,5,7,7,5,8,8,10,146.0
Opponent,RI,ME,GE,ES,SK,WB,PA,NM,HW,WC,FR,GC,CW,GW,SY,AD,BL,
