Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Anderson, Graeme",,,,,,,,,2,-,-,1,2,-,1,2,-,2,,-,,,,10.0
"Atkinson, Alan",-,5,3,2,2,2,2,2,,,-,2,3,2,1,,,1,3,2,1,4,2,39.0
"Barrot, Wes",,,,,,,,,,,,,,,-,,,,,,,,,
"Batt, Murrie",,,,,,,,,,-,-,1,1,1,,,,,,,,,,3.0
"Beck, Greg",,,,,,,-,,,-,-,,,,,,,,,,,,,
"Browne, Michael",,,1,2,2,1,,,,,,,,,,,,,,,,,,6.0
"Cahill, Terry",,,,,,,,,,,-,,,,,,,,,,,,,
"Carman, Phil",-,1,2,2,5,2,2,11,6,-,,,,,,,,,4,7,4,8,5,59.0
"Clifford, Stephen",,,,,,,,,,,,-,1,2,1,5,1,4,,,-,1,2,17.0
"Coles, Henry",-,5,1,2,,,,2,,,,,,,,,,,,,,,,10.0
"Cooper, Ian",-,,,,,-,1,4,2,-,-,2,-,3,2,3,2,4,4,4,1,1,3,36.0
"Cranage, Paul",-,1,2,1,1,2,1,,-,,-,1,,,,,,,,,,,,9.0
"Dean, Robert",,,1,3,2,1,1,2,2,-,,,,2,2,5,3,2,2,1,1,,1,31.0
"Delahunty, Mike",-,4,,,1,2,,,,,,,,,,,,,,,,,,7.0
"Dellamarta, John",,,3,,,,,2,3,-,,,,,,,,,,,,,,8.0
"Dunne, Ross",,,,,,,,4,1,-,-,,2,1,5,3,2,3,2,4,2,2,-,31.0
"Foley, Kerry",,1,1,1,,,,,,,,,,,,,,,,,,,,3.0
"Gonsalves, Bruce",,,,,,,,,,,,,,,,,,,-,,,,,
"Gordon, Wayne",,,4,1,,,4,1,1,-,,,5,1,2,7,3,,,,,,,29.0
"Gott, Doug",-,1,3,4,2,2,,,,,-,3,1,1,-,-,1,1,3,-,1,3,2,28.0
"Greening, John",,,,,,,,,,,,,,,,,2,-,,,,,,2.0
"Grose, Kevin",,,,,-,1,,,,,-,1,,2,3,1,,-,,3,1,3,1,16.0
"Heard, Bob",-,1,2,,,-,1,1,1,-,-,2,2,2,4,1,1,2,3,,,,1,24.0
"Holmes, Allan",,,,6,,,,,,,,,,,,,,,3,1,5,4,-,19.0
"Hyde, Robert",-,1,1,-,3,1,-,2,2,-,,,,,,,,,,,,,,10.0
"Ireland, Andrew",-,2,2,3,1,3,2,2,4,-,-,2,2,1,2,3,1,-,3,,2,-,,35.0
"Kink, Rene",-,1,,,,,2,3,2,-,-,,,5,4,3,1,2,2,3,,4,,32.0
"Manassa, Phil",-,-,-,,-,,-,1,1,-,-,3,1,4,6,2,4,-,,,,,,22.0
"McKenna, Peter",-,3,,4,3,-,-,4,4,-,-,,,,,,,,,,,,,18.0
"Moore, Peter",-,1,2,5,3,4,2,5,8,-,,2,3,2,,,,,,1,1,2,2,43.0
"OCallaghan, Denis",,,,,,,-,1,,,,1,3,-,-,1,1,,1,-,1,1,3,13.0
"Oborne, Rod",-,1,,,1,,,,,,,,,,,,,,,,,,,2.0
"Picken, Bill",,,1,,,,6,,,,,-,1,,,,5,1,2,4,3,3,2,28.0
"Price, Barry",-,1,,,,,,,,,,,,,,,,1,3,-,-,1,-,6.0
"Richardson, Max",-,2,3,5,1,2,5,6,4,-,-,3,3,,1,4,2,,,3,4,3,4,55.0
"Richardson, Wayne",-,3,5,1,3,3,2,1,4,-,-,1,-,,2,3,2,2,5,2,2,3,5,49.0
"Saltmarsh, Ray",,,,,,,,,,,,,,,,-,,,,,,,,
"Shaw, Ray",,,6,3,1,3,,,,,-,4,5,2,,3,3,3,4,2,4,2,3,48.0
"Shephard, Graeme",-,-,4,3,-,3,1,2,1,-,-,-,2,3,3,3,2,,4,-,2,1,2,36.0
"Thompson, Len",,,,2,1,3,3,6,4,-,,,,,4,3,2,5,,4,7,1,4,49.0
"Wearmouth, Ronnie",-,2,,-,3,3,,,3,,,2,,,,,,,6,4,3,,-,26.0
"Williams, John",,,,,,,,,,,-,1,-,-,,,,1,-,,,,,2.0
"Wise, John",,,,,,,,,,,,,-,1,1,1,-,2,-,,,3,,8.0
Totals,0,36,47,50,35,38,35,62,55,0,0,32,37,35,44,53,38,36,54,45,45,50,42,869.0
Opponent,SM,CA,FI,GE,FO,RI,NM,ES,SK,HW,ME,SM,CA,GE,FI,FO,RI,NM,ES,SK,HW,ME,RI,
