Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Anderson, Graeme",1,,,,,,,,,,,,2,1,,2,-,5,-,3,1,-,,2,-,3,20.0
"Austen, Geoffrey",1,1,-,,4,-,,-,,-,-,2,,,,4,-,,,,,,,,,,12.0
"Banks, Denis",,,,,,,1,4,3,1,2,2,2,3,,,2,1,1,,,,1,,-,-,23.0
"Barham, Ricky",,,,,,,,2,-,,,,,,,,,,,,,-,,-,1,4,7.0
"Betts, Gerald",,,,-,,,,,,,,,,3,3,,,,,,,,,,,,6.0
"Brewer, Ross",,,,,,,,,,,,,,2,2,1,6,1,4,5,,4,-,2,5,3,35.0
"Byrne, Ray",1,1,2,3,2,2,1,5,2,2,2,-,3,1,1,4,2,-,4,1,-,3,2,3,-,-,47.0
"Carlson, Leigh",1,-,,,,,1,,,,,,,,,,,,,1,-,-,1,-,2,-,6.0
"Cooper, Ian",,,,,,,4,,,,,,,,,,,,,,,,,,,,4.0
"Daicos, Peter",,,,1,3,-,,,,,,-,,1,-,,,,,,,,,,,,5.0
"Davis, Craig",3,2,2,-,1,1,1,2,-,5,2,1,2,2,4,5,2,2,1,4,3,2,1,3,2,2,55.0
"Dreher, Mark",,,,,,,,,,,,,,,,,,,,2,,,2,3,-,,7.0
"Edwards, Allan",,,,,,,,,,,,,,,,5,2,3,3,3,1,2,5,3,1,4,32.0
"Hannebery, Mark",,,,,,,,,2,2,-,3,2,2,,,,,,,,,,,,,11.0
"Ireland, Andrew",-,2,1,1,1,1,1,2,3,1,-,,-,-,1,1,,,1,2,-,,1,-,2,-,21.0
"Kink, Rene",-,4,3,5,5,3,5,4,2,3,5,3,5,,2,5,4,5,5,4,2,4,2,5,1,4,90.0
"Magro, Stan",4,2,2,3,2,1,,1,3,2,1,1,-,2,1,2,2,3,2,4,1,2,1,,,-,42.0
"Manassa, Phil",2,5,1,,,-,,,,1,,,,2,-,,,,1,1,-,,,,,,13.0
"McCormack, Peter",1,-,2,2,-,,,-,1,1,2,3,3,1,2,1,2,1,3,1,1,1,2,-,2,-,32.0
"Moore, Peter",1,2,4,1,-,-,3,5,2,5,5,2,2,4,3,,5,2,2,4,5,2,2,3,3,6,73.0
"Morris, Kevin",1,1,2,5,2,,,,,,,,,,,3,1,-,4,,1,1,5,2,1,-,29.0
"Oborne, Rod",,3,,,2,1,,,,,,,,,,,,,,,,,,,,,6.0
"Ohlsen, Russell",,,3,3,1,2,1,5,5,3,2,3,4,4,3,4,5,5,,,2,4,3,3,3,4,72.0
"Picken, Bill",-,1,4,1,1,3,3,2,2,1,1,3,1,1,1,-,3,3,2,2,5,2,-,1,2,-,45.0
"Price, Barry",,,,,,,-,,,,,,,,,,,,,,,,,,,,
"Roach, Stephen",4,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
"Shaw, Derek",3,3,2,3,2,2,-,,1,2,2,-,,,,,,,,1,,,,3,2,2,28.0
"Shaw, Ray",1,2,2,5,2,-,5,2,4,2,3,5,1,,2,-,3,1,,2,2,2,8,2,2,2,60.0
"Shaw, Tony",,,,1,2,2,2,3,5,2,2,2,1,-,4,,,1,2,,,,2,,,,31.0
"Stewart, Craig",3,2,1,3,3,2,1,5,-,,-,1,-,2,-,1,2,3,3,3,1,1,3,-,,,40.0
"Twomey, David",,,,,,,,,,,,,,,,-,,,,1,1,,,,,,2.0
"Valli, Bill",2,6,3,,8,3,2,6,4,4,8,2,-,5,-,-,3,2,,,,,,,,,58.0
"Warren, Mick",,,,,,,,,,,,,,,,,,-,1,,,,,,,,1.0
"Wearmouth, Ronnie",4,2,2,-,,,3,4,4,,2,4,3,,2,3,4,,3,2,3,5,-,3,-,3,56.0
"Wight, Terry",,,1,1,1,2,4,3,3,5,2,-,3,1,-,3,2,3,4,,5,4,,,,,47.0
"Woolnough, Michael",,3,1,2,3,3,3,4,,3,3,-,1,,,,,,,,,,,,,,26.0
"Worthington, Kevin",1,-,2,-,,2,-,1,1,-,,,1,2,-,1,1,-,1,-,2,-,2,2,1,-,20.0
"Young, David",,,,,,,,,,,,,,,,,,,,,,1,,,,,1.0
Totals,34,42,40,40,45,30,41,60,47,45,44,37,36,39,31,45,51,41,47,46,36,40,43,40,30,37,1067.0
Opponent,FI,HW,NM,SK,FO,ES,GE,SM,RI,CA,ME,FI,HW,SK,NM,FO,ES,GE,SM,RI,CA,ME,NM,FI,NM,CA,
