Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,PF,Tot
"Ball, Luke",-,-,-,,,,,,,,,,,,,,,,,,,,,,,
"Beams, Dayne",,-,1,1,1,-,-,-,2,1,1,3,1,-,2,4,2,1,3,2,1,1,-,-,1,28.0
"Blair, Jarryd",3,2,-,-,2,,-,1,-,-,2,2,-,-,-,-,1,-,1,1,1,,-,1,-,17.0
"Brown, Nathan",,,,,-,-,-,,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Buckley, Simon",,,,-,-,-,-,-,-,1,-,-,1,-,-,,-,,,,,,,,,2.0
"Clarke, Martin",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,-,,-,-,,,,,,
"Cloke, Travis",2,3,1,4,3,2,2,2,-,3,2,5,2,2,1,1,6,1,3,-,-,5,6,-,3,59.0
"Dawes, Chris",-,-,1,1,-,1,,1,-,-,-,-,3,-,2,1,2,2,-,-,-,,1,-,1,16.0
"Didak, Alan",,,,,,,1,-,1,2,-,,,,,,,,1,1,-,-,-,-,,6.0
"Elliott, Jamie",,,,,,,,,-,3,-,-,-,-,1,-,2,-,-,-,,-,,-,-,6.0
"Fasolo, Alex",2,2,1,1,-,1,,3,-,2,2,2,-,-,2,-,1,1,1,1,3,2,-,-,1,28.0
"Goldsack, Tyson",-,-,1,-,-,2,3,2,2,1,2,-,2,1,2,-,2,-,,,1,1,,1,1,24.0
"Johnson, Ben",,,,-,-,-,,,,,,,,,,,,,,,-,-,-,-,1,1.0
"Jolly, Darren",2,1,-,-,1,,,-,-,,2,-,-,-,1,2,,2,-,-,,-,-,1,-,12.0
"Keeffe, Lachlan",-,-,-,-,-,-,1,-,-,,,,,,,,,,,,,,,,,1.0
"Krakouer, Andrew",,,,,,,,,,,,,,,,,,,,,,1,4,-,-,5.0
"Lumumba, Heritier",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,1,-,1,-,3.0
"Maxwell, Nick",,,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,,-,-,,,2.0
"Mooney, Caolan",,,,,,,,,,,,,-,,,-,1,,,-,,,,,,1.0
"Paine, Jackson",1,1,,1,,,,,,,,,2,2,,,,,,,,1,,,,8.0
"Pendlebury, Scott",2,-,-,-,-,-,-,4,1,1,,,,,-,-,-,-,-,1,1,-,-,1,-,11.0
"Reid, Ben",-,-,-,,,1,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Rounds, Luke",-,,,,,,,,,,,,,,,,,,,,,,,,,
"Seedsman, Paul",-,-,,1,-,,-,,,,,,,,,-,-,-,1,-,-,,,,,2.0
"Shaw, Heath",1,-,1,,,2,1,-,1,,,-,-,-,-,-,1,-,-,-,-,1,1,-,-,9.0
"Sidebottom, Steele",-,-,2,2,1,1,2,-,2,-,1,-,-,1,-,1,,-,-,-,1,-,-,-,-,14.0
"Sinclair, Ben",-,-,-,1,-,2,2,-,-,3,3,,,-,-,,1,-,-,1,-,,1,,-,14.0
"Swan, Dane",1,-,-,-,3,1,2,1,,,2,-,2,-,-,2,5,2,,,-,1,-,2,1,25.0
"Tarrant, Chris",,-,,,,,,,,,-,,,,2,1,1,,-,1,-,-,-,-,1,6.0
"Thomas, Dale",2,3,1,,,,,-,-,3,-,-,2,1,3,1,,2,1,-,-,-,-,3,-,22.0
"Toovey, Alan",-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Ugle, Kirk",,,,,-,-,,,,-,,,,,,,,,,,,,,,,
"Wellingham, Sharrod",,,-,2,-,1,1,-,1,1,2,-,-,1,,,,1,1,-,-,-,2,-,-,13.0
"Williams, Marley",,,,,,,,,-,1,-,-,-,-,,,,,,,,,,,,1.0
"Wood, Cameron",,,-,,,-,2,,,1,,,,,,,-,,,,-,,,,,3.0
"Yagmoor, Peter",-,,,,,,-,,,,,,,,,,,,,,,,,,,
"Young, Tom",,,,-,,,,,,-,-,-,,,,-,-,-,,,,,,,,
Totals,16,12,9,14,11,15,17,14,10,23,19,12,15,8,17,13,26,12,12,8,8,14,15,10,10,340.0
Opponent,HW,RI,CA,PA,ES,WB,BL,GE,AD,GC,ME,WC,FR,CA,GE,HW,GW,SK,SY,NM,WC,ES,HW,WC,SY,
