Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,PF,Tot
"Ball, Luke",4,2,2,,,,,,,,,,,,,,,,,,,,,,,8.0
"Beams, Dayne",,1,4,2,10,4,4,5,6,2,7,8,5,4,7,5,4,3,3,5,4,3,5,5,3,109.0
"Blair, Jarryd",3,1,-,3,-,,2,1,1,4,5,3,6,3,4,-,4,3,3,2,1,,1,4,3,57.0
"Brown, Nathan",,,,,-,-,1,,,-,-,-,-,,1,-,1,1,-,-,-,1,-,-,-,5.0
"Buckley, Simon",,,,2,4,7,2,-,1,1,2,3,4,4,-,,5,,,,,,,,,35.0
"Clarke, Martin",3,2,1,1,2,1,3,2,4,1,1,-,,2,2,,1,,2,1,,,,,,29.0
"Cloke, Travis",3,9,4,8,7,7,4,3,-,3,4,2,2,4,2,3,2,5,1,1,1,7,2,3,5,92.0
"Dawes, Chris",4,3,1,2,3,1,,2,2,5,9,-,2,1,2,4,2,1,7,1,1,,4,1,1,59.0
"Didak, Alan",,,,,,,4,3,5,5,-,,,,,,,,5,3,1,3,1,5,,35.0
"Elliott, Jamie",,,,,,,,,1,5,2,2,4,1,2,2,7,2,1,2,,5,,-,1,37.0
"Fasolo, Alex",5,3,3,2,6,2,,3,2,5,5,3,7,1,4,4,3,5,4,-,2,4,4,3,3,83.0
"Goldsack, Tyson",4,1,1,1,-,2,1,4,4,6,5,3,3,2,1,5,2,2,,,2,-,,2,1,52.0
"Johnson, Ben",,,,1,3,1,,,,,,,,,,,,,,,2,1,-,3,4,15.0
"Jolly, Darren",3,1,-,3,2,,,1,2,,-,-,1,-,1,-,,1,2,1,,2,-,2,-,22.0
"Keeffe, Lachlan",-,1,-,-,-,2,1,-,-,,,,,,,,,,,,,,,,,4.0
"Krakouer, Andrew",,,,,,,,,,,,,,,,,,,,,,4,1,4,3,12.0
"Lumumba, Heritier",-,-,2,1,-,-,1,2,1,2,-,2,2,-,2,-,,2,1,1,1,2,-,2,1,25.0
"Maxwell, Nick",,,1,3,2,-,2,1,1,-,-,4,-,1,4,2,4,1,2,3,,1,2,,,34.0
"Mooney, Caolan",,,,,,,,,,,,,1,,,1,-,,,1,,,,,,3.0
"Paine, Jackson",1,3,,1,,,,,,,,,-,1,,,,,,,,1,,,,7.0
"Pendlebury, Scott",4,3,2,1,2,3,8,7,3,4,,,,,3,4,6,2,4,4,3,4,4,7,3,81.0
"Reid, Ben",1,1,1,,,2,2,-,,,,-,-,1,1,1,4,3,3,2,2,-,1,1,2,28.0
"Rounds, Luke",2,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"Seedsman, Paul",1,2,,1,1,,4,,,,,,,,,2,6,-,-,2,-,,,,,19.0
"Shaw, Heath",-,4,2,,,3,2,3,2,,,-,2,2,2,-,2,4,1,3,-,3,4,1,2,42.0
"Sidebottom, Steele",1,4,2,5,3,4,6,6,2,-,5,3,3,1,4,3,,4,4,2,1,2,3,2,2,72.0
"Sinclair, Ben",5,4,-,2,1,3,3,2,3,1,1,,,3,5,,1,6,2,1,2,,1,,-,46.0
"Swan, Dane",10,5,4,7,5,3,5,3,,,1,2,8,2,4,7,3,3,,,2,4,8,3,6,95.0
"Tarrant, Chris",,-,,,,,,,,,-,,,,3,2,4,,1,1,1,1,1,2,1,17.0
"Thomas, Dale",4,2,1,,,,,-,5,3,2,3,6,5,2,2,,4,1,5,4,5,2,1,3,60.0
"Toovey, Alan",-,1,1,-,3,4,1,-,-,,,-,-,-,1,-,2,3,-,,2,1,-,2,-,21.0
"Ugle, Kirk",,,,,1,1,,,,2,,,,,,,,,,,,,,,,4.0
"Wellingham, Sharrod",,,5,1,5,4,3,3,2,6,4,4,9,4,,,,2,1,2,1,4,3,4,-,67.0
"Williams, Marley",,,,,,,,,1,4,1,1,4,2,,,,,,,,,,,,13.0
"Wood, Cameron",,,2,,,1,3,,,2,,,,,,,2,,,,-,,,,,10.0
"Yagmoor, Peter",-,,,,,,4,,,,,,,,,,,,,,,,,,,4.0
"Young, Tom",,,,-,,,,,,-,1,-,,,,-,1,1,,,,,,,,3.0
Totals,58,53,39,47,60,55,66,51,48,61,55,43,69,44,57,47,66,58,48,43,33,58,47,57,44,1307.0
Opponent,HW,RI,CA,PA,ES,WB,BL,GE,AD,GC,ME,WC,FR,CA,GE,HW,GW,SK,SY,NM,WC,ES,HW,WC,SY,
