Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,PF,GF,Tot
"Adams, Taylor",20,25,27,,,,14,25,23,26,28,27,24,30,27,28,28,30,32,33,30,26,26,24,36,31,620.0
"Aish, James",17,23,20,15,20,13,,,,,,,,,,,,,,23,17,16,21,19,11,7,222.0
"Appleby, Flynn",,,,,,8,13,15,16,11,12,,12,10,12,,,,,,,,,,,,109.0
"Blair, Jarryd",,,,,,20,16,,,,,,,,,,,,,,,,,,,,36.0
"Broomhead, Tim",,-,,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, Callum",,12,20,15,22,18,,14,,,,,,,,,,19,5,,,,,,,,125.0
"Cox, Mason",6,,9,5,12,10,10,9,9,10,8,16,9,8,12,,10,11,11,8,11,13,5,11,15,9,237.0
"Crisp, Jack",17,20,32,21,14,22,19,32,30,32,30,23,22,22,22,21,11,22,29,26,24,20,21,14,30,25,601.0
"Crocker, Ben",9,11,10,11,11,,10,11,,,,,,18,6,8,,,,,,,,,,,105.0
"Daicos, Josh",,,,,,,,,,16,15,16,16,18,13,11,23,15,12,,,,,,,,155.0
"Dunn, Lynden",12,15,13,9,11,16,7,9,15,23,9,11,16,13,,,,,,,,,,,,,179.0
"Fasolo, Alex",,,,,,,,,2,,,,,,,,,,,,,,,,,,2.0
"Goldsack, Tyson",,,,,,,,,,,,,,,,,,,,,,,6,7,8,9,30.0
"Greenwood, Levi",,,,,,,,,,22,13,6,8,,11,18,10,16,15,15,14,12,13,18,16,8,215.0
"Grundy, Brodie",12,20,25,33,22,24,16,19,23,26,18,13,20,23,24,14,17,23,24,13,25,24,18,18,21,10,525.0
"Hoskin-Elliott, Will",16,11,18,23,12,17,13,16,16,18,11,11,13,11,2,7,14,10,8,9,13,11,15,19,11,18,343.0
"Howe, Jeremy",12,27,18,12,16,30,17,30,30,14,,17,21,20,22,24,15,4,,,,,16,23,13,13,394.0
"Langdon, Tom",14,24,22,14,19,,,,25,29,22,20,21,21,22,15,16,22,26,15,18,13,12,21,24,23,458.0
"Madgen, Jack",,,,,,,,,,,,,,,,,,,13,16,17,14,,,,,60.0
"Maynard, Brayden",19,15,18,18,15,16,,,,,27,16,21,16,22,21,21,18,20,16,23,17,17,16,18,9,399.0
"Mayne, Chris",,,,,,11,18,25,16,20,14,19,14,23,17,16,15,15,21,15,27,9,11,19,20,15,360.0
"Mihocek, Brody",,,,,,,,,,,12,9,8,15,7,15,12,8,10,10,13,15,13,9,14,15,185.0
"Moore, Darcy",15,6,,,,,5,3,,,,,,,,14,,12,6,,,,,,,,61.0
"Murphy, Nathan",,,,,,,,,,,,,,,,,,,,,14,9,,,,,23.0
"Murray, Sam",19,20,21,23,21,19,24,19,23,,,,,,,,24,19,18,21,,,,,,,271.0
"Oxley, Adam",,,,,,,,,,,,,,,,,,,,11,12,11,,,,,34.0
"Pendlebury, Scott",26,30,21,30,27,29,20,,30,32,30,23,29,25,34,25,30,37,22,28,26,30,17,25,24,20,670.0
"Phillips, Tom",20,32,20,31,25,38,28,11,30,36,36,19,28,26,21,27,22,33,23,22,20,20,26,29,20,21,664.0
"Reid, Ben",11,,12,15,9,11,,,,11,,,,,,,,,,,,,,,,,69.0
"Scharenberg, Matt",,23,18,17,19,25,14,29,25,26,23,13,21,20,18,17,16,11,,,,,,,,,335.0
"Sidebottom, Steele",31,24,34,43,25,25,34,30,38,24,37,32,31,24,28,18,24,38,18,28,33,32,27,31,41,14,764.0
"Sier, Brayden",,,,,,,,,,,,,,19,14,13,13,,23,27,16,23,26,19,20,21,234.0
"Smith, Josh",14,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
"Stephenson, Jaidyn",16,13,6,13,15,13,21,11,18,11,5,12,8,13,15,11,11,9,9,25,9,8,15,10,14,9,320.0
"Thomas, Josh",17,20,15,20,17,16,22,18,23,14,20,15,8,22,11,12,24,16,18,12,11,17,21,15,14,13,431.0
"Treloar, Adam",33,24,26,36,34,42,26,34,24,40,34,32,19,,,,,,,,,,24,29,19,26,502.0
"Varcoe, Travis",7,12,12,13,18,,19,10,8,13,,,,,,17,11,11,11,11,12,13,9,9,10,11,237.0
"Wells, Daniel",,,,,,,,13,16,,13,8,,,,,,,,,,,,,,,50.0
"de Goey, Jordan",,,,15,23,9,20,22,13,15,15,30,18,14,20,12,19,,,12,14,19,11,14,10,13,338.0
Totals,363,407,417,432,407,432,386,405,453,469,432,388,387,411,380,364,386,399,374,396,399,372,370,399,409,340,10377.0
Opponent,HW,GW,CA,AD,ES,RI,BL,GE,SK,WB,FR,ME,CA,GC,ES,WC,NM,RI,SY,BL,PA,FR,WC,GW,RI,WC,
