Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,EF,SF,Tot
"Adams, Taylor",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,2.0
"Appleby, Flynn",,,,,,,,,,,,,2,,,,,,,2.0
"Bosenavulagi, Atu",,,,,,-,-,-,,,,,,,,,,,,
"Broomhead, Tim",,,,,,,,,,,-,,,,,,,,,
"Brown, Callum",-,-,2,-,-,-,-,-,,-,-,-,,-,-,-,,,,2.0
"Brown, Tyler",-,-,-,-,-,,,,,,,,,-,-,-,-,,,
"Cameron, Darcy",,-,-,,,,,-,1,,-,1,-,-,,,,-,-,2.0
"Cox, Mason",-,,,-,-,-,,,,,,,-,1,-,-,1,-,-,2.0
"Crisp, Jack",1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2.0
"Daicos, Josh",-,-,2,-,-,,-,-,-,-,-,1,-,-,-,-,-,-,-,3.0
"Dunn, Lynden",,,,,,,,,,,-,-,,,,,,,,
"Elliott, Jamie",1,-,3,-,-,1,1,1,-,-,,-,-,1,-,-,-,1,1,10.0
"Greenwood, Levi",,,,,,,,,,,,,-,,-,-,-,-,-,
"Grundy, Brodie",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0
"Hoskin-Elliott, Will",-,-,-,2,-,1,2,-,-,-,,2,-,-,-,-,-,1,-,8.0
"Howe, Jeremy",-,-,-,-,,,,,,,,,,,,,,,,
"Keane, Mark",,,,,,,,,-,,,,,,,,,,,
"Kelly, Will",,,,,,1,,,,,,,,,,,,,,1.0
"Lynch, Max",,,,,,,,,,,,,,,-,,,,,
"Madgen, Jack",-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,
"Maynard, Brayden",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"Mayne, Chris",-,-,-,1,-,-,1,-,-,,-,,-,-,,,,-,-,2.0
"Mihocek, Brody",-,1,-,1,1,1,-,2,-,1,1,-,,-,-,1,-,-,-,9.0
"Moore, Darcy",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Noble, John",-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Pendlebury, Scott",-,-,-,1,-,-,-,,,,,-,-,-,1,-,-,-,-,2.0
"Phillips, Tom",-,1,1,-,1,-,-,1,-,-,-,-,1,1,1,,,,,7.0
"Quaynor, Isaac",,,,,,-,-,-,-,-,,,,-,-,-,-,-,-,
"Reid, Ben",,,,,,,,,,-,,-,,,,,,,,
"Roughead, Jordan",-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,
"Ruscoe, Trey",,,,,,,,,,3,1,-,-,,,,,,,4.0
"Scharenberg, Matt",,,,,-,-,,-,,,,,,,,,,,,
"Sidebottom, Steele",1,-,-,-,,,,,1,-,-,-,1,,,,,,,3.0
"Sier, Brayden",,,,,,,,,-,1,-,,,,,,,,,1.0
"Stephenson, Jaidyn",,,-,2,-,-,-,-,1,2,-,,,4,-,,-,1,-,10.0
"Thomas, Josh",-,-,,,,,,-,-,-,-,-,-,3,-,1,-,-,-,4.0
"Treloar, Adam",,,,,2,-,1,-,-,-,,,,,,-,-,1,-,4.0
"Varcoe, Travis",,,,,-,-,-,,-,,-,1,-,,,1,-,,,2.0
"Wills, Rupert",,,-,-,-,-,-,-,,,-,-,,,,,,,,
"de Goey, Jordan",2,2,1,1,2,,1,,,,,,,,,2,-,-,1,12.0
Totals,8,4,9,8,6,4,6,5,3,9,2,5,4,10,2,6,1,4,2,98.0
Opponent,WB,RI,SK,GW,ES,HW,GE,WC,FR,SY,AD,ME,NM,CA,BL,GC,PA,WC,GE,
