Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Beissel, Graeme",,,,,,,,,,-,-,-,-,-,-,-,,-,
"Birt, John",-,2,1,5,2,5,-,1,2,-,1,1,2,2,1,3,3,,31.0
"Blew, Russell",-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,,,3.0
"Capuano, Barry",-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,1,1,-,5.0
"Clarke, Jack",1,-,-,4,3,2,1,-,-,1,-,,,,,,,2,14.0
"Davis, Barry",,-,2,3,-,2,-,-,1,-,4,1,1,-,-,-,-,-,14.0
"Doran, Paul",-,,,,2,1,,2,3,5,,3,-,3,1,-,-,-,20.0
"Dunlop, Bob",2,2,-,1,2,1,-,-,,,,,,,,,,,8.0
"Epis, Alec",-,,,-,-,-,-,,,,-,-,-,-,-,-,-,-,
"Evans, Ron",-,3,2,4,,3,-,,,,,,1,,,2,3,3,21.0
"Fordham, Ted",1,-,-,,,,-,-,-,-,1,1,-,,,,,,3.0
"Forge, Ken",,-,-,,-,,-,-,-,,-,,,,,,,,
"Fraser, Ken",-,-,1,-,-,1,1,-,-,1,2,-,1,1,2,1,2,1,14.0
"Gosper, Geoff",,,,,,,-,-,,,,,,,-,,1,-,1.0
"Hebbard, Col",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2.0
"King, Alf",,-,-,,,,,,,,,2,1,2,,,,,5.0
"Leek, Geoff",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,-,-,1.0
"Leydin, Graham",,,,,,,,,,,,,,,,,-,-,
"McKenzie, Don",,,,-,,1,-,-,-,1,1,-,-,-,-,-,-,-,3.0
"Mitchell, Hugh",1,4,1,1,3,1,3,2,5,2,2,-,,-,2,1,3,2,33.0
"Moloney, George",,,1,4,-,3,2,-,-,-,-,,,,,-,,,10.0
"Murdoch, Alby",,,,-,,,,,-,-,,-,-,-,1,1,3,-,5.0
"Peucker, Ken",-,,,,,,,,,,,,,,,,,,
"Rodgers, Terry",,,,,,,,,,,,,,-,2,-,-,1,3.0
"Sampson, Brian",-,-,-,-,-,-,-,,-,-,,-,-,,,,,,
"Sewell, Greg",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Shaw, David",1,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,,1.0
"Shelton, Ian",-,-,-,-,-,-,,1,-,-,-,-,-,,,-,-,-,1.0
"Somerville, John",-,1,,,-,,,,,,-,,1,3,3,-,-,-,8.0
"Timms, Ken",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,3.0
"Welsh, John",,,,,,,,,,,,,,-,-,,,,
Totals,6,13,8,22,12,20,8,6,12,10,12,9,7,13,13,10,16,12,209.0
Opponent,NM,SK,ME,GE,HW,SM,CW,FI,CA,RI,FO,NM,SK,ME,GE,HW,SM,CW,
