Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,PF,Tot
"Armstrong, Bruce",,,,,-,2,,,-,,,,,,,,,,,,2.0
"Birt, John",1,3,1,1,1,-,1,,,2,2,-,1,2,1,1,2,-,3,2,24.0
"Blew, Russell",2,2,2,1,-,,,,,,,,,,,,,,,,7.0
"Brown, Greg",-,,-,2,1,1,2,1,1,1,,-,2,2,1,-,3,1,2,2,22.0
"Capuano, Barry",,,,-,4,1,1,,,,3,2,,,,,,,,,11.0
"Clarke, Jack",,1,-,2,,1,1,1,1,1,2,1,1,2,1,-,2,-,3,1,21.0
"Davis, Barry",-,-,-,-,2,1,-,1,1,-,3,2,1,1,-,1,2,1,1,-,17.0
"Egan, Kevin",,,,,,,-,-,4,1,3,4,1,3,-,6,3,1,1,1,28.0
"Epis, Alec",2,1,2,2,1,,3,2,2,2,5,3,,,,3,2,2,-,3,35.0
"Fordham, Ted",1,1,1,2,2,2,-,1,2,1,2,-,1,1,-,1,-,1,-,3,22.0
"Forsyth, Jim",,-,1,,,,,-,2,6,-,4,1,-,,,,,-,1,15.0
"Fraser, Ken",-,4,2,2,4,-,-,,,,3,,1,2,2,3,2,1,1,3,30.0
"Gent, Keith",,,,,,-,1,-,,,,,,,,,,,,,1.0
"Gerlach, Darryl",1,1,-,1,2,1,1,1,1,1,3,-,2,1,-,-,1,1,-,2,20.0
"Gosper, Geoff",1,-,2,2,2,1,1,-,1,2,-,2,1,4,1,1,2,1,-,2,26.0
"Gross, Don",1,1,-,,,,,,,,,,,,,-,-,,,,2.0
"Hird, Allan",,,,,,,,-,1,-,,,,,,,,,,,1.0
"Johnston, Graeme",,-,,-,,,,-,1,1,,,,,,,,,,1,3.0
"McKenzie, Don",5,4,1,4,2,1,2,-,2,4,5,4,3,5,5,4,6,4,3,3,67.0
"Mitchell, Hugh",1,-,2,1,-,-,-,1,,,-,,-,-,-,2,1,-,-,1,9.0
"Noonan, Alan",,,,,,,,,2,3,4,1,2,2,-,1,1,1,-,1,18.0
"Payne, Charlie",1,-,-,2,-,1,1,-,,1,5,2,4,3,2,-,,2,2,3,29.0
"Payne, Ian",3,,,,-,-,,,-,,,2,2,4,1,4,2,2,1,,21.0
"Pryor, Geoff",1,-,-,2,1,3,1,1,-,1,3,-,-,1,1,1,2,2,-,-,20.0
"Sampson, Brian",2,2,1,4,2,2,3,,,,,-,,,,,,,,,16.0
"Shaw, David",1,2,4,2,1,1,2,4,2,4,1,1,2,3,2,2,4,1,2,3,44.0
"Somerville, John",-,-,-,1,2,-,2,2,3,1,4,1,1,-,2,,-,2,5,2,28.0
"Waite, Bruce",-,2,3,1,5,1,3,2,2,-,-,,,,-,1,-,,,,20.0
"Williams, John",-,,,,,,,-,1,3,3,2,1,3,1,2,4,1,1,3,25.0
"Wilson, Bob",,,,,,,,,,,,,-,1,2,,,1,,,4.0
Totals,23,24,22,32,32,19,25,17,29,35,51,31,27,40,22,33,39,25,25,37,588.0
Opponent,GE,NM,CW,CA,FI,HW,ME,SK,FO,RI,SM,GE,NM,CW,CA,FI,HW,ME,GE,SK,
