Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Barclay, Stuart",-,,-,-,-,,,,,,,,,,,,,,,,-,-,
"Blethyn, Geoff",,,,,,,,4,5,7,3,1,1,-,2,1,,-,1,,4,4,33.0
"Close, Robin",-,-,1,1,-,,,,-,-,-,2,-,,,,5,4,2,2,,,17.0
"Collins, David",-,1,-,1,,,,,,,,,,,,,,,,,,,2.0
"Crouch, Gary",,,,,-,,,,,,,-,,,,,,,,-,,1,1.0
"Daniel, Peter",-,-,-,-,-,-,-,-,-,-,-,,1,1,1,-,-,-,-,-,-,-,3.0
"Davis, Barry",,2,3,-,1,-,1,2,-,-,1,-,,-,-,1,2,4,-,-,-,,17.0
"Ellis, John",-,-,-,,,,-,,,,,,,,,-,5,1,2,3,2,-,13.0
"Fanning, John",1,,,,,,,,,,,,,,,,,,,,,,1.0
"Fields, Neville",,,,,,,,-,-,,1,1,1,,,,,,,,-,1,4.0
"Fletcher, Ken",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,-,-,-,,-,,1.0
"Gerlach, Darryl",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gosper, Geoff",,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,-,-,1,-,1,-,3.0
"Grainger, Gary",2,1,,,,,,-,3,2,-,1,1,-,1,1,-,,,-,1,,13.0
"Greenwood, Bob",3,-,2,2,-,1,,2,3,2,2,3,-,1,1,-,-,-,1,-,-,-,23.0
"Gross, Don",-,-,-,2,3,-,-,1,1,-,,,2,-,,,1,1,2,2,1,1,17.0
"Halley, Len",,,,,,,,,,,1,1,,,,-,-,3,-,-,-,1,6.0
"Headlam, Wayne",,,-,,1,-,,-,-,,,-,-,1,1,-,-,-,-,-,-,-,3.0
"Lake, Bruce",,,,2,-,-,-,,,,,,,,,,,,,,,,2.0
"Lake, Eddie",-,-,-,-,-,-,-,-,,,,1,2,-,-,1,-,,,,,,4.0
"May, John",,,,,,,,,,,,,,-,-,1,,,,,,,1.0
"McKenzie, Don",,-,,-,-,-,-,-,-,-,-,-,-,-,1,-,,-,-,-,,-,1.0
"Neish, Bruce",,,,,,4,1,1,1,-,-,-,-,-,,,,1,-,-,-,-,8.0
"Noonan, Alan",,,4,3,,,,,,,,,,,,,,,,,,,7.0
"Parkes, Gary",,,,,,,,,,,,,,,,-,,,,,,,
"Payne, Charlie",1,-,,,,-,1,-,-,2,-,,-,1,-,1,2,,,2,1,-,11.0
"Payne, Ian",-,,,,,,,,,-,-,-,1,-,-,-,2,-,-,,,,3.0
"Perry, Greg",-,,1,2,2,-,,,,,,,,,,,,,,,,,5.0
"Pirouet, Bryan",-,,,,,,-,,,-,-,-,-,-,-,,-,,,,-,-,
"Pryor, Geoff",,3,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,4.0
"Roberts, Ken",,,,,,,,,,,,,,-,-,,,,,,,,
"Sproule, Paul",1,-,2,-,1,-,2,1,-,-,-,-,-,-,1,2,1,2,3,2,,-,18.0
"Starbuck, David",,,,,,-,-,-,,,,,,,,,,,-,-,-,-,
"Stevenson, Ian",-,-,-,-,1,,1,,,,,,,,,,,,,,,,2.0
"Stillman, Les",6,3,2,3,-,1,2,,-,1,,,,,-,,,,,,,,18.0
"Talbot, Sandy",,,,,,,,,,,,,,,,,,-,-,-,-,-,
"Tassell, Doug",-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"Thompson, Robert",,,,,,,,,,,,,,,-,-,-,-,-,-,,,
"Williams, John",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,1,-,1.0
Totals,14,10,15,16,9,7,8,11,13,14,8,10,9,5,9,8,18,16,12,11,11,8,242.0
Opponent,CA,FO,SM,HW,GE,ME,NM,FI,CW,RI,SK,CA,FO,SM,HW,GE,ME,NM,FI,CW,RI,SK,
