Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Barclay, Stuart",,,,,,,,,,,,5,,,,,3,-,1,,,,,9.0
"Blethyn, Geoff",1,1,2,3,3,-,-,4,1,-,2,-,1,2,2,5,1,2,-,4,2,-,-,36.0
"Brown, Bruce",,,,,,,,,,,,,,,,,-,,,,,,,
"Cassin, John",3,2,4,-,2,1,3,2,4,8,-,,,7,,3,5,4,,2,1,,6,57.0
"Close, Robin",-,4,-,5,3,3,3,3,2,3,2,4,1,,2,1,,,,,,,,36.0
"Daniel, Peter",,,,,2,,,-,,1,,2,1,2,1,-,2,1,4,2,1,3,2,24.0
"Davis, Barry",2,3,3,-,1,-,1,2,1,-,-,,-,1,2,3,2,1,1,2,1,-,-,26.0
"Delahunty, Hugh",-,,,,,,,,,,,,,2,-,2,3,2,1,1,-,1,1,13.0
"Fields, Neville",5,1,2,3,3,3,4,3,-,5,3,4,2,3,3,2,3,1,1,3,3,-,4,61.0
"Fletcher, Ken",4,2,6,6,5,2,5,2,-,3,-,2,2,1,3,3,6,1,2,1,4,-,-,60.0
"Gerlach, Darryl",1,,,,,,2,1,2,1,2,1,1,-,1,1,1,2,-,3,1,-,-,20.0
"Grainger, Gary",,,-,4,1,,,,,,,-,,,,,-,,,,,,,5.0
"Grinter, Barry",,3,4,-,2,-,5,4,2,4,-,4,2,4,4,2,3,2,,3,4,1,-,53.0
"Gross, Don",5,2,2,2,1,1,2,,,,,,,,2,,,,,,,-,,17.0
"Halley, Len",1,-,-,2,5,1,,,,,,,3,-,2,-,1,2,3,3,1,3,2,29.0
"Headlam, Wayne",,,,,,,5,4,2,1,1,,,,,,,,,,,,,13.0
"Hickmott, Peter",,,,1,3,,,,,,,,,,,,,,,,,,,4.0
"Hogan, Ken",1,3,4,3,2,1,2,5,1,,,-,,,,,,,,,,,,22.0
"Lake, Eddie",,,,,,,,,,,,1,,,,,,,,,,,,1.0
"McKenzie, Don",6,-,,,7,2,3,1,2,1,4,1,1,-,-,3,3,3,1,1,2,6,4,51.0
"Moloney, Laurie",2,5,2,1,2,3,1,-,2,2,-,1,5,6,,,,,,,,,,32.0
"Noonan, Alan",-,5,4,2,4,1,3,2,3,3,2,,4,1,7,1,-,6,5,,3,2,1,59.0
"Parkes, Gary",,,,,,,,,,,,4,4,,2,3,3,4,7,4,3,1,2,37.0
"Payne, Charlie",3,3,2,1,2,3,-,,-,,2,5,-,-,,,,,,,,-,-,21.0
"Perry, Greg",1,2,5,2,,3,6,4,1,3,4,3,3,2,6,1,,,3,-,-,,,49.0
"Roberts, Ken",2,4,3,2,6,2,2,2,4,2,1,2,5,4,,,5,6,5,1,5,5,3,71.0
"Schultz, Graeme",,,,,,-,,,1,-,-,2,1,2,2,-,1,2,2,1,1,1,-,16.0
"Smith, Ray",,,,,,,,,,,,,,,2,1,2,1,3,2,1,3,-,15.0
"Talbot, Sandy",1,-,2,2,2,1,5,-,-,3,3,1,,,,,,,,,,,,20.0
"Tuddenham, Des",3,5,3,1,,1,3,-,3,1,3,3,4,4,4,1,,4,-,2,4,-,2,51.0
"Wellington, Pat",,,,,,,,,,,,,,,,,,,-,-,,,,
"Williams, John",2,3,1,-,2,2,2,-,1,-,1,,4,3,1,-,,1,1,3,4,1,1,33.0
"Wilson, Andrew",,-,-,,,,,-,,-,1,,-,-,3,2,2,4,2,2,1,2,2,21.0
Totals,43,48,49,40,58,30,57,39,32,41,31,45,44,44,49,34,46,49,42,40,42,29,30,962.0
Opponent,FO,SM,RI,GE,CA,ME,SK,NM,HW,FI,CW,FO,SM,GE,RI,CA,ME,SK,NM,HW,FI,CW,SK,
