Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,PF,GF,Tot
"Andrews, Ron",-,-,-,-,-,-,-,-,,-,-,-,-,-,2,1,,-,-,-,-,,,-,,,3.0
"Beddison, Wayne",2,-,-,3,3,,,,2,1,,6,1,,,,,-,,,,,,,,,18.0
"Bradbury, Peter",,,,,,,,,,,,,-,-,-,,-,-,-,,-,-,-,-,1,-,1.0
"Buhagiar, Tony",,,1,2,1,3,4,1,1,1,3,3,-,1,-,5,-,1,1,1,1,3,1,3,2,-,39.0
"Carey, Stephen",-,1,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,1,-,-,-,-,-,2.0
"Clarke, Neil",-,-,-,1,-,-,-,1,-,-,-,-,2,-,-,-,-,-,1,-,-,-,,,,,5.0
"Clayton, Cameron",-,,-,,,,-,-,-,-,-,,,,,,-,-,-,-,-,1,-,-,-,-,1.0
"Copping, Stephen",-,-,1,-,4,7,1,1,6,,4,2,6,3,-,2,4,,,-,,,,,,1,42.0
"Daniher, Terry",-,-,1,2,1,4,4,1,-,2,1,5,1,2,3,-,1,2,7,3,6,4,4,5,3,2,64.0
"Davis, Michael",,,1,,-,,,,,,,,,,,,,,,,,,,,,,1.0
"Duckworth, Bill",-,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,1,,1.0
"Dunell, Frank",,,,-,-,1,-,-,-,1,-,-,-,,,-,,1,1,-,1,,,1,-,,6.0
"Eustice, Mark",,,,-,,,,,,,,,,,,,,,,,,,,,,,
"Ezard, Alan",,,,,,,,,,,,,,,,,,,1,1,-,-,1,1,2,1,7.0
"Foulds, Garry",,,-,1,-,-,-,-,-,-,-,-,-,-,3,1,1,1,2,,,2,-,-,-,-,11.0
"Fowler, Grant",-,,,3,-,-,1,1,-,,,,,,,,,,,,,,,,,,5.0
"Hawker, Glenn",2,5,1,5,2,2,-,-,-,1,2,1,1,1,2,2,2,-,,-,3,-,2,-,1,-,35.0
"Heard, Shane",1,-,-,,,1,,,,-,2,-,-,-,-,1,-,,,,1,-,-,-,-,-,6.0
"Kink, Rene",,,,,,,,,,,,,,,,,,1,6,5,4,2,2,2,1,1,24.0
"Madden, Simon",-,3,-,-,-,1,3,-,-,-,3,-,-,1,-,-,3,-,2,1,4,-,1,2,1,1,26.0
"Merrett, Roger",1,1,-,-,,3,-,-,1,3,3,,,-,,,4,-,-,4,2,2,3,1,4,-,32.0
"Neagle, Merv",-,1,-,-,,-,-,-,,-,1,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,4.0
"Otway, Wayne",2,1,1,,,,3,2,4,1,-,4,1,-,-,-,,-,,,,,,,,,19.0
"Reid, Alan",,3,,,,,,,,,,,,,,,,,,,,,,,,,3.0
"Richardson, Stephen",,,,,,,,,,,,,,,,,,,,2,,,,,,,2.0
"Salmon, Paul",2,2,-,,-,,,6,-,,,-,4,,,,,,-,,,,,,,,14.0
"Schultz, Graeme",,-,,,,,,,,,,,,,,,,,,,,,,,,,
"Stoneham, Alan",,-,,-,,,,-,1,-,,-,-,-,-,-,,,,,,,,,,,1.0
"Thompson, Mark",-,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Thomson, Michael",,,-,1,1,2,1,-,1,-,-,-,3,-,-,,,,,,,,,,,,9.0
"Vander Haar, Paul",1,,,,-,3,2,,5,3,-,,,-,2,1,-,,,,,,3,-,2,-,22.0
"Walsh, Kevin",,-,,-,2,-,-,,,,,,,,-,-,-,,,,,-,-,,-,1,3.0
"Waterson, Chris",,,,,,,,,,,-,-,2,-,,,1,-,1,,,,,,,,4.0
"Watson, Tim",-,2,-,1,2,-,2,1,1,1,-,2,-,-,1,3,1,-,1,1,1,2,-,-,5,-,27.0
"West, Tony",4,,,,4,-,,,,,,,,,-,-,,,,,,,,,,,8.0
"Weston, Paul",,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4.0
"Williams, Darren",,,,,,,,,,,,,,,,,1,-,-,-,2,1,-,-,2,-,6.0
"Wood, Bryan",,,,,,,,,,,,,,,,,,,-,1,-,1,-,,,1,3.0
Totals,15,20,7,20,20,27,21,14,22,15,19,23,21,8,13,16,18,6,23,21,26,18,17,16,25,8,459.0
Opponent,SY,SK,FI,CW,NM,FO,RI,HW,ME,GE,CA,SY,SK,FI,CW,NM,FO,RI,HW,ME,GE,CA,CA,FI,NM,HW,
