Player,R1,R2,R3,R4,R5,R6,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R23,R24,Tot
"Alessio, Steven",,,,,,,,,3,2,2,2,-,,,,,,,,,,9.0
"Anderson, Greg",,-,-,1,2,-,-,-,,2,1,2,-,2,-,-,2,2,-,2,3,,19.0
"Bailey, Dean",,,,,-,,1,,,,,,,,,,,-,2,,,,3.0
"Bewick, Darren",2,4,2,2,1,,1,1,-,-,,-,3,1,1,2,-,2,2,-,-,1,25.0
"Bower, Brendan",2,2,2,,,,,,,,,,,,,,,,,,,,6.0
"Calthorpe, David",,,,,,,,,,,,,,,,,,,1,-,,,1.0
"Considine, Ed",,,,,,2,-,1,,,,,,,,,,,,,,,3.0
"Cransberg, Peter",,,,,,,-,1,,,-,,,,,,,,,,,,1.0
"Daniher, Anthony",,,-,2,,2,1,-,1,2,4,1,-,4,2,1,1,1,,,,,22.0
"Daniher, Chris",2,,1,2,2,-,,2,2,,1,-,-,-,1,1,2,1,3,1,3,5,29.0
"Daniher, Terry",,2,2,1,-,-,2,7,3,2,,,,,,,,,,,,-,19.0
"Denham, Sean",-,-,,,2,2,,1,-,2,,1,1,-,,,,,,,,,9.0
"Dick, Willie",1,-,,,,,,,,,-,1,-,,,,,,,1,2,,5.0
"Ezard, Alan",-,,,,1,-,-,1,1,1,2,-,,-,,,,1,1,,,,8.0
"Filandia, Peter",,,,,,,,,,,-,,,,,,,,,,,,
"Flood, David",3,1,-,1,1,-,3,,,,,,,,-,-,-,-,2,1,1,3,16.0
"Fox, Brad",1,3,3,1,,,,,,,,,,,,,,,,-,-,5,13.0
"Grenvold, David",1,1,1,4,4,2,-,,,,,,1,2,,-,,,1,,,,17.0
"Hamilton, Paul",,-,1,-,,,,,,,,,,,,,,,,,,,1.0
"Harvey, Mark",1,2,-,1,1,-,-,2,1,1,1,4,2,2,4,-,-,-,1,1,1,2,27.0
"Hills, Paul",,,,,,-,1,2,1,5,-,2,3,-,1,2,3,1,-,3,-,-,24.0
"Hird, James",-,,,,,,,,,,,,,,,,,,,1,-,1,2.0
"Johnston, David",1,1,,,,,,,,,,,,,,,,,,,,,2.0
"Kickett, Derek",-,-,2,-,-,3,-,2,1,-,4,1,3,3,1,1,2,1,3,-,1,1,29.0
"Kilpatrick, Glenn",,,,,-,-,1,,1,1,-,-,-,2,1,2,1,3,2,,,-,14.0
"Long, Michael",1,1,2,3,-,2,-,1,1,1,,,,,,1,3,1,2,1,2,1,23.0
"Madden, Simon",2,-,3,3,,,,,2,1,,,,,,,,,,,,1,12.0
"Manton, Glenn",,,,,,,,,,,,,,,,,,,,2,-,,2.0
"McMullin, Ian",,,,-,,,,,,,,,,,,,,,,,,,
"Mercuri, Mark",,,,,,,,,-,,,,,,3,,,,,-,,,3.0
"Misiti, Joe",,,,,,,,,,,,,,,,,,,,,1,1,2.0
"ODonnell, Gary",1,1,1,-,1,,,2,1,2,1,2,1,-,-,1,2,1,-,-,2,1,20.0
"Plain, Bradley",,,,,,,,,,,,,,,-,2,-,-,,,,,2.0
"Ridley, Todd",,,,,,,,,-,3,1,-,1,1,2,,-,1,-,,,,9.0
"Salmon, Paul",2,1,2,1,5,2,1,1,,,,1,-,1,1,1,1,2,-,3,4,6,35.0
"Somerville, Peter",-,-,,,1,-,2,2,4,-,1,2,-,2,3,3,1,1,8,7,-,2,39.0
"Sporn, Kieran",,,-,-,1,1,1,1,,1,1,1,3,2,-,2,2,3,-,1,-,1,21.0
"Symons, Michael",,,-,,,,,,,,,,,,,,,,,,-,-,
"Thompson, Mark",1,-,2,1,1,-,1,2,-,-,1,2,1,1,-,4,-,,2,2,-,1,22.0
"Wallis, Dean",,,-,-,-,-,,1,2,-,1,,,2,-,-,1,,,,,,7.0
"Wanganeen, Gavin",-,-,,2,2,4,3,3,2,2,4,4,1,3,5,6,3,4,2,3,4,2,59.0
"Werner, Michael",,,,,,,,,,,-,1,1,-,-,-,1,-,,,,,3.0
Totals,21,19,24,25,25,20,18,33,26,28,25,27,21,28,25,29,25,25,32,29,24,34,563.0
Opponent,SK,FI,FO,CW,HW,ME,NM,GE,CA,SY,RI,BB,AD,WC,SK,FI,FO,CW,HW,ME,NM,GE,
