Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,Tot
"Alessio, Steven",,,,,,,,2,3,2,-,-,-,1,1,-,-,,,,,1,-,10.0
"Banks, Matthew",,,,,-,,,,,,,,,,,,,,,,,,,
"Barnard, Paul",1,-,,,,-,,,,-,1,-,-,-,-,1,-,1,-,-,-,-,1,5.0
"Berbakov, Peter",,,-,,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
"Bewick, Darren",1,1,-,1,1,1,-,-,1,-,-,3,-,2,1,-,-,-,2,2,-,-,-,16.0
"Blumfield, Justin",,1,1,1,2,1,1,-,-,-,-,-,-,-,-,-,-,1,-,,1,-,-,9.0
"Bolton, Mark",-,-,-,-,,,,,,,,,,,,,,,,,,,,
"Bomford, Andrew",,-,1,-,-,-,-,,,,1,,-,-,-,,,,,,,,,2.0
"Calthorpe, David",-,-,-,-,-,,,-,1,-,1,3,-,-,1,-,2,-,1,-,1,-,-,10.0
"Caracella, Blake",,1,1,-,-,-,-,1,2,1,1,-,-,-,,,,-,-,,,,-,7.0
"Cockatoo-Collins, Che",-,,2,-,1,1,-,,,,,-,,,-,1,,1,-,1,-,1,,8.0
"Denham, Sean",-,2,-,-,,,-,,,-,,,,,,-,-,-,,-,,,-,2.0
"Doolan, Ben",,,,-,-,-,-,-,,,,,,,-,,,,-,-,-,-,-,
"Eastaugh, Simon",,,1,,,-,-,-,-,-,-,2,-,-,,,,,,,,-,-,3.0
"Fletcher, Dustin",-,1,-,-,-,-,-,,-,-,,,,-,-,1,-,-,-,-,,-,-,2.0
"Fraser, Mark",1,1,-,2,2,-,,1,-,-,-,,,,-,-,-,-,-,-,2,-,,9.0
"Hardwick, Damien",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Heffernan, Chris",-,-,-,-,-,,-,,,,,,,-,-,-,,,,,-,-,-,
"Hird, James",-,1,,,,,,,2,4,3,1,-,,,,-,,1,2,2,1,2,19.0
"Johnson, Jason",,,,,,,,-,,,,,,,,,-,-,-,-,-,-,-,
"Lalich, Judd",,,,,,,,,,,,,1,1,,,,,,,,,,2.0
"Lloyd, Matthew",1,1,5,4,-,-,1,1,2,2,4,1,1,4,2,3,-,-,-,2,2,1,1,38.0
"Long, Michael",,,,,,,,,,,,-,-,-,-,-,-,,,,-,1,3,4.0
"Lucas, Scott",1,-,1,-,2,4,-,2,1,-,1,4,1,3,-,1,1,3,3,1,1,-,1,31.0
"Mercuri, Mark",-,-,1,1,,,-,1,-,3,1,-,-,1,3,-,,-,-,-,-,2,1,14.0
"Misiti, Joe",,,,-,-,-,-,1,1,-,-,-,-,-,1,-,-,1,-,-,-,-,,4.0
"Moorcroft, Gary",-,3,1,-,,1,-,1,-,,1,-,-,-,,,-,1,-,-,,,1,9.0
"OConnor, Ryan",1,-,,-,-,1,-,-,-,,-,-,,,,,,-,2,-,-,,,4.0
"ODonnell, Gary",2,-,-,-,-,-,,-,,,,,-,,-,-,-,-,-,-,-,-,-,2.0
"Olarenshaw, Ricky",-,,-,,,-,-,1,-,1,-,1,2,-,-,-,-,-,,-,-,,,5.0
"Prior, Michael",-,,,,,-,-,-,-,-,-,-,,,,,,,,,,,,
"Solomon, Dean",,,,,-,1,-,,-,,,-,-,-,,,,,,,,,,1.0
"Somerville, Peter",-,-,-,-,1,,,,,,,,,,-,-,-,-,-,-,1,,,2.0
"Symons, Michael",-,-,,,,,,,,,,,,,,,,,,,,-,,
"Ukovic, Andrew",,,,,1,-,-,-,-,-,-,,,,,,,,,,,,,1.0
"Wallis, Dean",,,,,,,,,,-,,,,,,,,,,,,,,
"Wellman, Sean",2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0
"Young, Barry",,,,,,,,,,,,,,,,1,-,,,,,,-,1.0
Totals,10,12,15,9,10,10,2,11,13,14,14,15,5,12,9,8,3,8,9,8,10,7,10,224.0
Opponent,RI,SK,CA,FR,CW,WB,GE,BL,ME,HW,SY,AD,WC,NM,PA,RI,SK,CA,FR,CW,WB,GE,NM,
