Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Bolton, Mark",,,-,,2,-,-,-,-,-,1,-,1,2,-,-,1,-,-,1,-,-,8.0
"Bradley, Kepler",-,1,-,1,1,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,3.0
"Camporeale, Scott",-,-,-,,,-,,,,,,-,-,1,-,-,-,-,-,,,,1.0
"Cartledge, Tristan",,,,,,,,,,,,,-,,,,,,,,-,-,
"Cole, Richard",,,,,,,,,,,,,,,,,-,-,,,-,-,
"Dempsey, Courtenay",,,,,,,-,,-,,-,,,,,,,,,,-,-,
"Dyson, Ricky",,-,,1,,,2,-,1,-,-,,-,-,-,-,-,-,-,2,-,2,8.0
"Fletcher, Dustin",-,-,-,-,-,-,,-,-,-,-,,-,-,,,-,-,-,-,,,
"Heffernan, Chris",-,-,1,-,-,-,-,1,-,-,-,2,-,,-,-,,,-,-,-,-,4.0
"Hille, David",-,-,,-,-,2,1,1,1,3,-,1,-,1,-,1,-,-,1,1,1,1,15.0
"Hird, James",,,1,2,1,-,-,,,,,-,-,,,,2,-,2,1,-,-,9.0
"Johns, Courtney",,,,,,,,2,2,-,-,-,,4,,,,,-,-,-,-,8.0
"Johnson, Jason",-,-,-,-,-,-,-,1,,,-,-,1,1,1,-,-,-,2,-,,1,7.0
"Johnson, Mark",-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2,-,4.0
"Jolley, Ben",,,,,,,,,,,,,,,-,,,-,-,-,,,
"Laycock, Jason",,,,,,2,-,-,-,-,1,,,,,,,,,,,,3.0
"Lee, Andrew",,,,,,,,,,,,,-,-,-,-,,,,,,1,1.0
"Lloyd, Matthew",2,-,1,,,,,,,,,,,,,,,,,,,,3.0
"Lonergan, Sam",,,,,,,,,,,,,,,-,,,,,,,,
"Lovett-Murray, Nathan",-,-,-,2,-,1,-,-,-,-,-,-,2,-,,,,1,1,-,3,-,10.0
"Lovett, Andrew",1,-,4,1,2,2,1,1,,,,,,2,2,2,-,-,,,,,18.0
"Lucas, Scott",1,1,1,1,-,3,3,1,2,2,4,1,3,2,3,3,2,2,2,3,2,2,44.0
"McPhee, Adam",-,1,3,-,-,-,-,-,-,1,-,1,-,3,-,,-,,-,-,-,-,9.0
"McVeigh, Mark",-,1,-,3,-,1,,-,1,-,-,-,-,-,-,-,1,1,-,1,1,1,11.0
"Monfries, Angus",1,-,-,1,1,-,1,-,-,1,-,1,-,-,,1,-,1,1,1,1,-,11.0
"Nash, Jay",,,,,,,,,,-,1,,,,-,-,-,-,1,,,,2.0
"Peverill, Damien",-,-,,,-,,1,-,,-,-,-,,-,-,-,-,-,-,-,-,-,1.0
"Reynolds, Joel",,,,,,,-,-,1,,2,2,2,-,-,-,-,,,,-,,7.0
"Rioli, Dean",,,,1,,-,,,,,,,,,,,,,,1,-,,2.0
"Ryder, Paddy",-,-,-,-,-,,,,2,,,-,,-,,-,,,,,,,2.0
"Slattery, Henry",-,-,-,-,-,,,,,1,,-,,,,-,,,,,,,1.0
"Solomon, Dean",-,-,-,-,-,1,-,-,-,1,-,-,-,,-,-,-,-,,-,-,1,3.0
"Stanton, Brent",-,1,-,2,-,1,-,-,3,1,-,3,1,-,-,-,-,-,2,-,2,2,18.0
"Watson, Jobe",-,-,1,-,-,-,2,-,-,-,,-,-,-,1,-,-,-,-,1,1,1,7.0
"Welsh, Andrew",-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,,,3.0
"Winderlich, Jason",-,,-,-,-,-,-,,-,-,-,,,,,,,,,,,,
Totals,5,5,13,15,7,13,11,7,13,12,9,11,10,16,8,7,6,6,12,12,13,12,223.0
Opponent,SY,BL,WB,CW,HW,RI,CA,WC,PA,AD,GE,ME,KA,FR,SK,CA,BL,SY,CW,HW,RI,WB,
