Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Bolton, Mark",,,,,1,3,,,,-,-,-,1,,,,,,,,,1,6.0
"Bradley, Kepler",1,,,,1,,,,,,,,,,,,1,,,,,-,3.0
"Camporeale, Scott",,,,,,,,-,2,,2,,1,,1,,,,,4,2,,12.0
"Cole, Richard",,,,,,,1,4,1,,,,,,,,,,,,,,6.0
"Davey, Alwyn",-,1,-,-,-,1,-,1,-,2,2,-,2,-,,,,,,,,,9.0
"Dempsey, Courtenay",,,,,,,,,,,,,,,,,,,,,1,,1.0
"Dyson, Ricky",,,4,1,1,2,,1,3,,,,,1,3,2,1,,-,,,,19.0
"Fletcher, Dustin",8,7,5,7,12,4,5,10,6,8,10,6,6,7,,5,,10,8,1,,5,130.0
"Gumbleton, Scott",,,,,,,,,,,,,,,,,-,,-,-,-,3,3.0
"Heffernan, Chris",,-,3,2,-,-,,,,,,-,,,,,,,,,,1,6.0
"Hille, David",1,-,1,1,,,-,-,-,1,1,-,,-,1,-,-,-,-,,1,-,7.0
"Hird, James",2,2,3,1,4,4,2,6,4,1,5,2,2,2,,,,,,1,2,1,44.0
"Hislop, Tom",,,,,,,,,,,,,,1,-,-,,,,,,,1.0
"Hocking, Heath",,,,,,,,,,,,,,,,,,,,-,,,
"Houli, Bachar",,,,,,,2,-,-,-,,,,,,,,,,,,,2.0
"Jetta, Leroy",-,-,-,-,,,,,,,,,,,,,,,,,,,
"Johns, Courtney",,,,-,-,-,1,,,,,,,-,,,,1,,,,,2.0
"Johnson, Jason",,,,,,3,-,-,-,2,-,3,4,2,1,,,,,,,,15.0
"Johnson, Mark",2,1,-,5,1,2,2,3,3,2,5,3,3,2,3,-,2,1,,1,1,,42.0
"Laycock, Jason",,-,-,1,-,-,-,,,-,-,2,1,3,-,-,1,1,-,3,2,1,15.0
"Lloyd, Matthew",-,-,-,-,-,,,-,-,1,-,-,-,,-,-,-,-,1,1,-,-,3.0
"Lovett-Murray, Nathan",-,,,,,,,,,,,,,,1,-,5,3,6,5,5,5,30.0
"Lovett, Andrew",2,2,2,2,1,-,2,,,,,,-,-,1,-,,1,1,2,2,2,20.0
"Lucas, Scott",-,2,-,-,3,-,-,2,1,-,2,-,-,-,1,-,2,-,2,2,8,-,25.0
"McPhee, Adam",2,4,1,6,2,3,4,2,4,3,-,4,2,-,2,1,4,2,5,1,2,2,56.0
"McVeigh, Mark",5,-,1,3,4,2,2,1,-,4,3,-,1,1,,2,1,-,2,-,2,3,37.0
"Michael, Mal",-,1,4,1,5,3,3,3,2,7,3,2,3,2,-,-,2,1,2,2,2,2,50.0
"Monfries, Angus",1,1,-,1,1,1,1,1,-,-,1,-,,,2,-,1,1,-,1,2,1,16.0
"Nash, Jay",,,,,,,,,,1,,1,1,7,3,-,1,2,2,6,6,,30.0
"Neagle, Jay",,,,,,,,,,,,,,,,,,,,,,-,
"Peverill, Damien",1,1,-,5,2,5,2,-,3,,2,3,3,2,3,6,2,1,2,,,3,46.0
"Ramanauskas, Adam",,,,,,,,,,,,,,-,1,2,-,3,,,,,6.0
"Reimers, Kyle",,,,,,,,,,,,,,,,,,,-,-,-,,
"Ryder, Paddy",2,2,-,2,1,2,1,2,3,6,-,4,-,2,3,1,-,3,3,1,-,,38.0
"Slattery, Henry",1,1,-,-,2,,,4,1,-,1,-,-,-,2,-,5,1,-,-,1,-,19.0
"Stanton, Brent",3,4,4,5,7,2,4,1,4,-,2,,2,,2,2,4,6,4,3,4,3,66.0
"Watson, Jobe",-,2,1,3,-,2,3,1,1,3,1,2,2,2,2,1,1,3,-,,,,30.0
"Welsh, Andrew",2,1,,,,-,1,,,3,-,-,3,3,5,4,1,1,-,-,1,3,28.0
"Winderlich, Jason",2,3,5,,,1,1,3,-,2,6,1,2,,,,2,1,1,4,1,-,35.0
Totals,35,35,34,46,48,40,37,45,38,46,46,33,39,37,37,26,36,42,39,38,45,36,858.0
Opponent,AD,FR,CA,SK,CW,HW,KA,BL,RI,SY,WC,PA,ME,GE,WB,CW,AD,HW,FR,CA,RI,WC,
