Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,Tot
"Ambrose, Patrick",,,,,,,,,,,,-,,,,,,,,,,,,
"Bryan, Nick",,,,,,,-,,,,,,,,,,,,,,,,,
"Cahill, Ned",-,-,,,,,,,,,,,1,,,,,,,,,,,1.0
"Caldwell, Jye",-,-,,,,,,,,,,,,,,,,,,,,,-,
"Clarke, Dylan",,,,,,,,,,,,,,,,,,,1,-,1,-,,2.0
"Cox, Nik",-,1,1,1,-,-,-,1,-,2,1,1,-,-,-,-,-,1,-,-,,-,-,9.0
"Cutler, Tom",-,-,-,,,,,,,,,,-,,-,-,-,-,1,-,-,-,-,1.0
"Draper, Sam",1,-,,,,,,,,,,,-,-,-,-,-,-,-,1,-,-,-,2.0
"Durham, Sam",,,,,,,,,,,,,,,,,-,-,-,-,1,-,-,1.0
"Francis, Aaron",-,-,-,-,-,-,,-,-,-,,-,,,,,,,-,2,-,-,-,2.0
"Gleeson, Martin",,-,,,,,,,,,,,,,,-,-,,,-,-,,-,
"Guelfi, Matt",,,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,,1,2,-,-,6.0
"Ham, Brayden",-,-,-,-,-,-,-,-,1,-,-,3,-,-,-,-,1,-,-,,,,,5.0
"Heppell, Dyson",-,,,-,-,-,-,-,-,-,-,-,-,1,-,,1,-,-,,-,-,-,2.0
"Hind, Nick",-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,1,-,,4.0
"Hooker, Cale",1,3,5,3,4,-,5,1,-,2,2,3,-,1,-,1,1,1,,,,,,33.0
"Jones, Harry",-,-,2,1,-,-,3,2,2,3,1,-,2,2,1,1,,,,,,,,20.0
"Langford, Kyle",-,1,-,-,-,-,-,3,1,2,1,1,1,-,-,-,,,3,,,,,13.0
"Laverde, Jayden",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"McDonald-Tipungwuti, Anthony",2,3,3,-,1,5,4,2,2,3,2,-,2,-,2,1,-,-,1,1,,,,34.0
"McGrath, Andrew",1,-,1,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,2.0
"Merrett, Zach",1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,4.0
"Parish, Darcy",1,-,-,1,-,2,-,-,1,-,-,-,1,-,1,-,-,1,-,1,-,-,1,10.0
"Perkins, Archie",,,-,-,-,-,-,1,-,1,-,-,-,-,-,3,1,1,-,-,1,1,-,9.0
"Phillips, Andrew",,,,,,1,,-,1,1,-,1,,,,,,,,,,,,4.0
"Redman, Mason",-,-,1,,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,6.0
"Reid, Zach",,,,,-,,,,,,,,,,,,,,,,,,,
"Ridley, Jordan",-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Shiel, Dylan",2,-,,,,,,,,,,,,,,,,-,1,-,-,-,-,3.0
"Smith, Devon",2,-,1,1,-,1,1,-,-,,,,-,1,-,-,1,1,2,1,1,2,1,16.0
"Snelling, Will",1,1,2,-,-,2,-,2,-,1,1,,,,-,1,-,-,-,-,-,1,-,12.0
"Stewart, James",,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Stringer, Jake",,,4,3,1,1,3,-,,,3,1,4,1,3,1,4,1,2,-,5,2,2,41.0
"Waterman, Alec",,,2,2,-,,,,,2,1,2,,-,-,1,-,,,1,2,4,-,17.0
"Wright, Peter",1,-,-,-,-,2,-,2,1,3,,,-,2,-,2,3,-,2,7,-,4,-,29.0
"Zaharakis, David",,,,-,,-,-,,-,1,-,-,,-,,,,1,,,,,,2.0
"Zerk-Thatcher, Brandon",,,-,-,,-,,,,,-,,-,-,,,,,,,,,,
Totals,13,9,22,12,6,16,16,16,10,22,12,12,13,8,8,11,13,7,16,15,14,16,4,291.0
Opponent,HW,PA,SK,SY,BL,CW,CA,GW,FR,NM,WC,RI,HW,ME,GE,AD,NM,GW,SY,WB,GC,CW,WB,
