Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,Tot
"Ballantyne, Hayden",-,-,,,-,-,-,-,-,-,-,-,-,-,1,,,,,,,,-,-,1.0
"Ballard, Jacob",,,,,,,,,,,,,,,,,,,,,,-,,,
"Barlow, Michael",-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,-,-,-,-,1,-,7.0
"Blakely, Connor",,,,,,,,,,,,,,,,,,,,,,-,,,
"Clarke, Zac",2,-,5,2,-,2,3,-,-,-,,,1,-,,,,,,,,-,-,,15.0
"Crozier, Hayden",,,-,,,,,,,-,-,1,,,1,-,-,-,-,1,,-,,,3.0
"Dawson, Zac",,,,,,,,,,,,,,,,,1,,,-,-,,2,-,3.0
"Duffield, Paul",-,1,-,-,1,-,-,-,-,-,,,-,1,,,,,,,-,-,,,3.0
"Duffy, Max",,,,,,,,,,,,,,,,,,,,,,-,,,
"Fyfe, Nat",2,3,1,1,5,3,3,-,3,2,2,1,1,2,-,-,,,3,-,,,1,-,33.0
"Grey, Brady",,,,,,,,,,,,,,,,,,,,,,-,,,
"Griffin, Jonathon",,,,,,,,,,,,,,,-,1,1,2,1,2,-,,,2,9.0
"Hannath, Jack",,,,,,,,,,,-,-,,,,,,,,,,-,,,
"Hill, Stephen",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,,1,1,4.0
"Hughes, Ethan",,,,,,,,,,,,,,,,,,,,,,1,,,1.0
"Ibbotson, Garrick",-,1,2,-,-,1,1,-,-,-,-,1,-,-,1,-,-,1,1,1,2,1,-,1,14.0
"Johnson, Michael",-,-,-,1,-,-,2,-,1,-,,,,,,,,,-,-,1,,1,-,6.0
"Langdon, Ed",,,,,,,,,,,,,,,,,,,,,-,-,,,
"Mayne, Chris",-,-,-,-,2,-,-,-,1,-,,-,1,2,-,1,1,-,-,-,1,,1,1,11.0
"McPharlin, Luke",1,1,1,-,1,,,-,1,2,1,1,4,1,1,1,1,-,,1,1,,,,19.0
"Mundy, David",-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,-,-,4.0
"Mzungu, Tendai",,,,-,,,,,,,-,,,-,,,1,1,-,-,-,-,-,-,2.0
"Neale, Lachie",-,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,3.0
"Pavlich, Matthew",1,2,1,2,1,2,3,-,-,-,-,-,-,2,1,1,1,-,2,,1,,1,1,22.0
"Pearce, Alex",,,,,,2,-,,,,-,-,-,-,-,-,-,3,1,2,,-,,,8.0
"Pearce, Clancee",-,-,-,-,-,1,-,-,1,-,-,-,-,-,,-,,,,,-,-,-,,2.0
"Pearce, Danyle",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,2.0
"Sandilands, Aaron",1,2,4,1,3,3,1,3,1,2,1,2,1,1,3,1,3,3,1,4,1,,2,2,46.0
"Sheridan, Tom",-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,3.0
"Silvagni, Alex",,,,,,,,,,,,,,,,,,2,-,,,,,,2.0
"Smith, Tanner",,,,,,,,,,,,,,,,,,,,,,1,,,1.0
"Spurr, Lee",2,-,-,1,1,1,1,1,-,,-,-,-,-,-,-,-,-,1,3,-,,-,1,12.0
"Suban, Nick",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Sutcliffe, Cam",-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,,1,-,1.0
"Taberner, Matthew",,-,1,-,2,-,2,2,-,-,1,,2,,2,1,,,,,,3,,-,16.0
"Walters, Michael",-,-,2,-,-,-,1,-,-,-,1,1,-,1,3,2,-,1,-,1,,,-,2,15.0
"Weller, Lachie",,,,,,,,,,,,,,,,,1,-,,,,-,,,1.0
"de Boer, Matt",-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,1,1,-,-,-,-,2.0
Totals,9,13,17,10,17,16,17,6,10,6,7,7,11,11,13,8,12,15,13,16,8,7,12,11,272.0
Opponent,PA,GE,WC,SY,ME,ES,WB,NM,AD,RI,GC,CW,BL,HW,CA,RI,GW,SK,WC,NM,ME,PA,SY,HW,
