Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Apeness, Michael",,,,,,,,,,,2,,,,,,,,-,1,1,2,6.0
"Ballantyne, Hayden",1,1,-,1,2,1,-,1,1,-,3,-,-,1,-,1,,,-,-,1,2,16.0
"Barlow, Michael",1,1,-,2,1,-,-,,,1,-,-,-,1,,-,,,,,,,7.0
"Blakely, Connor",,,,,,-,-,2,2,-,-,1,-,1,1,-,-,,,1,1,-,9.0
"Clarke, Zac",-,,,,-,1,,1,5,,,2,3,3,,,1,2,1,-,-,,19.0
"Collins, Sam",,,,,,,,,,-,1,-,1,-,1,1,-,-,1,-,1,,6.0
"Crozier, Hayden",,,,-,-,1,-,3,-,2,-,-,-,-,-,-,-,-,-,,,,6.0
"Dawson, Zac",1,1,2,1,3,2,1,,1,1,2,-,1,1,1,2,3,2,,,,2,27.0
"Fyfe, Nat",2,3,2,1,-,,,,,,,,,,,,,,,,,,8.0
"Grey, Brady",,,,,1,1,,,,,,,,,,,,,,,,,2.0
"Griffin, Jonathon",1,,,1,-,-,1,1,1,2,2,,,,1,-,1,,,,2,,13.0
"Hannath, Jack",,,,,,,,,,,,2,,2,,,,,,,,,4.0
"Hill, Stephen",-,-,1,1,1,-,1,-,,2,-,-,-,-,1,3,-,-,2,1,1,-,14.0
"Hughes, Ethan",,,,,,,-,1,1,,,,,,,,,,-,1,,,3.0
"Ibbotson, Garrick",1,1,2,1,,,2,1,-,1,,,,,-,-,1,-,-,-,-,-,10.0
"Johnson, Michael",,1,-,1,-,,,,,,,,,,,,,,,,,,2.0
"Langdon, Ed",,-,1,-,,,,1,-,1,,,,,-,,-,-,-,-,1,1,5.0
"Mayne, Chris",1,1,-,1,-,-,-,2,1,1,1,1,-,1,1,1,-,2,-,-,1,-,15.0
"Mundy, David",1,2,,,,1,-,-,3,,-,-,2,-,-,-,1,-,1,1,3,2,17.0
"Mzungu, Tendai",1,,2,,,,,2,,,,,,,,-,-,,,,,,5.0
"Neale, Lachie",-,1,1,-,1,1,1,4,-,-,2,1,-,2,-,3,1,-,1,-,1,1,21.0
"Pavlich, Matthew",1,1,1,3,1,-,1,,1,-,-,,1,-,-,2,,1,1,1,,-,15.0
"Pearce, Alex",,1,2,1,1,-,-,-,1,,,,,,,,,,,,,,6.0
"Pearce, Clancee",1,1,,,,,,-,-,,,,,,,,,,,,,,2.0
"Pearce, Danyle",-,-,-,2,-,1,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,6.0
"Sandilands, Aaron",,1,1,,,,,,,,,,,,,,,,3,2,,2,9.0
"Sheridan, Tom",1,-,1,-,1,1,-,,1,-,-,-,-,1,-,3,1,-,1,2,-,2,15.0
"Silvagni, Alex",,,,,,,,,,,,,,,,,,2,1,-,1,-,4.0
"Smith, Tanner",,,,,,,,,,,,2,2,,,,,,,,,,4.0
"Spurr, Lee",2,-,2,1,1,-,-,2,4,1,-,-,1,-,-,-,1,-,-,2,-,-,17.0
"Suban, Nick",-,1,3,-,,,3,2,-,2,4,1,-,4,-,1,1,,,,,,22.0
"Sutcliffe, Cam",1,2,2,-,3,1,-,2,,1,1,-,-,-,1,1,2,-,,,-,1,18.0
"Taberner, Matthew",2,,,3,1,2,1,1,1,-,2,-,-,3,-,-,2,-,,,1,,19.0
"Tucker, Darcy",,,,,-,-,,,,,1,-,-,1,-,,,-,-,-,-,-,2.0
"Walters, Michael",1,-,2,-,-,-,4,-,-,-,-,2,-,-,3,1,1,-,2,2,1,1,20.0
"Weller, Lachie",-,-,-,-,1,1,-,-,1,1,2,-,-,-,1,-,-,1,-,-,-,-,8.0
"Yarran, Shane",,,,,,,,,,,,,,,,,2,2,1,-,-,2,7.0
"de Boer, Matt",,,2,,,,,,,-,,,,,,,,1,,,,-,3.0
Totals,19,19,27,20,18,14,15,26,24,16,23,12,11,21,12,20,19,13,15,14,16,18,392.0
Opponent,WB,GC,WC,NM,CA,AD,GW,HW,RI,SK,ES,BL,PA,CW,ME,GE,GC,SY,WC,AD,GW,WB,
