Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Apeness, Michael",,,,,,,,,,,-,,,,,,,,1,-,1,1,3.0
"Ballantyne, Hayden",-,4,1,2,-,-,2,1,3,-,2,4,1,2,1,1,,,1,1,-,-,26.0
"Barlow, Michael",-,1,-,1,-,-,-,,,-,1,-,2,-,,1,,,,,,,6.0
"Blakely, Connor",,,,,,-,-,-,-,-,-,-,-,-,-,1,-,,,-,-,-,1.0
"Clarke, Zac",-,,,,-,-,,-,-,,,-,-,-,,,-,-,-,-,-,,
"Collins, Sam",,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,
"Crozier, Hayden",,,,-,2,1,1,1,-,-,-,-,-,-,-,-,-,1,-,,,,6.0
"Dawson, Zac",-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,,,-,
"Fyfe, Nat",-,3,1,4,1,,,,,,,,,,,,,,,,,,9.0
"Grey, Brady",,,,,-,-,,,,,,,,,,,,,,,,,
"Griffin, Jonathon",-,,,-,1,1,-,1,-,-,1,,,,-,-,1,,,,-,,5.0
"Hannath, Jack",,,,,,,,,,,,-,,-,,,,,,,,,
"Hill, Stephen",-,-,-,1,-,-,-,1,,-,-,-,1,-,-,-,-,-,-,-,-,1,4.0
"Hughes, Ethan",,,,,,,-,-,-,,,,,,,,,,-,-,,,
"Ibbotson, Garrick",-,-,-,-,,,-,-,-,-,,,,,-,-,-,-,-,-,-,-,
"Johnson, Michael",,-,-,-,-,,,,,,,,,,,,,,,,,,
"Langdon, Ed",,-,1,-,,,,1,1,2,,,,,-,,2,-,-,1,-,-,8.0
"Mayne, Chris",-,1,-,1,1,1,3,1,-,-,3,4,1,-,2,-,-,-,-,-,-,-,18.0
"Mundy, David",-,-,,,,-,-,1,-,,1,-,-,-,-,1,-,1,-,-,-,1,5.0
"Mzungu, Tendai",-,,-,,,,,-,,,,,,,,-,-,,,,,,
"Neale, Lachie",-,-,-,1,-,-,-,1,-,1,1,-,-,-,-,-,1,-,-,-,1,1,7.0
"Pavlich, Matthew",1,2,3,2,-,1,1,,-,1,3,,4,2,3,1,,2,2,2,,1,31.0
"Pearce, Alex",,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
"Pearce, Clancee",-,-,,,,,,-,-,,,,,,,,,,,,,,
"Pearce, Danyle",-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,4.0
"Sandilands, Aaron",,-,-,,,,,,,,,,,,,,,,-,-,,-,
"Sheridan, Tom",-,-,-,-,-,-,-,,-,1,1,1,-,-,-,-,-,-,2,1,-,-,6.0
"Silvagni, Alex",,,,,,,,,,,,,,,,,,-,-,-,-,-,
"Smith, Tanner",,,,,,,,,,,,1,1,,,,,,,,,,2.0
"Spurr, Lee",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Suban, Nick",1,-,-,-,,,1,-,-,-,-,1,-,-,1,-,-,,,,,,4.0
"Sutcliffe, Cam",-,-,-,-,1,-,-,-,,-,-,-,-,-,-,1,-,-,,,-,-,2.0
"Taberner, Matthew",1,,,-,1,1,1,-,1,2,1,5,1,-,1,1,1,1,,,-,,18.0
"Tucker, Darcy",,,,,-,-,,,,,1,2,-,-,-,,,-,-,-,-,-,3.0
"Walters, Michael",1,3,2,2,2,3,1,2,1,1,3,1,-,1,-,1,4,-,1,5,-,2,36.0
"Weller, Lachie",1,-,-,-,-,-,-,1,-,2,1,4,1,-,-,1,-,1,-,-,-,-,12.0
"Yarran, Shane",,,,,,,,,,,,,,,,,2,1,2,1,3,1,10.0
"de Boer, Matt",,,-,,,,,,,-,,,,,,,,-,,,,1,1.0
Totals,5,14,8,14,9,8,11,11,6,10,20,23,12,5,8,9,12,7,9,11,5,10,227.0
Opponent,WB,GC,WC,NM,CA,AD,GW,HW,RI,SK,ES,BL,PA,CW,ME,GE,GC,SY,WC,AD,GW,WB,
