Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Ballantyne, Hayden",-,,,,,,,,,,,,,,,,,-,,,-,,
"Banfield, Bailey",1,-,-,,,,,,,,,,,1,,,,,-,-,,-,2.0
"Bewley, Brett",,,,,,,,,,-,-,-,-,-,,,-,-,,,,,
"Blakely, Connor",,,,,,,,,-,-,-,1,-,1,-,-,-,1,-,1,-,-,4.0
"Brayshaw, Andrew",-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-,4.0
"Carter, Jason",,,,,,,,,,,,,,,,,,,-,-,,,
"Cerra, Adam",1,-,-,-,-,1,2,-,-,-,-,,,-,1,1,-,1,-,-,-,-,7.0
"Colyer, Travis",-,-,-,-,-,-,-,-,,,,,,,-,-,,,,,,,
"Conca, Reece",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cox, Brennan",,,,,-,,,3,-,4,-,-,2,1,,,,,,,,,10.0
"Crowden, Mitch",,,,,,,,,,,,,,,-,,,,-,-,-,-,
"Darcy, Sean",-,-,,,,,,,,,,-,1,-,,-,1,-,-,1,2,,5.0
"Dixon, Hugh",,,,,,,,,,,,,,,,,,,,,,1,1.0
"Duman, Taylin",,,1,-,-,,,,1,-,1,-,-,,,,-,-,1,-,1,1,6.0
"Fyfe, Nat",2,2,-,,1,2,1,2,2,3,2,-,2,3,-,3,,1,2,1,2,1,32.0
"Hamling, Joel",1,-,2,-,1,2,-,2,1,-,1,-,-,-,2,1,4,2,2,2,2,1,26.0
"Hill, Bradley",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,2.0
"Hill, Stephen",,,,,,,,,,,,-,-,,,1,,,,,,,1.0
"Hogan, Jesse",,-,1,1,-,2,1,2,1,-,1,2,-,,,,,,,,,,11.0
"Hughes, Ethan",2,1,-,2,1,1,-,-,-,-,1,1,-,-,1,1,-,,3,-,1,-,15.0
"Jones, Scott",,,,,,,,,,,,,,,,,,,,,,1,1.0
"Langdon, Ed",-,1,-,-,-,-,1,-,-,-,1,-,1,2,1,-,-,-,-,-,1,-,8.0
"Lobb, Rory",3,-,2,2,-,3,3,4,3,4,1,,,,1,1,1,4,,,,,32.0
"Logue, Griffin",,,,,,,,,,,,2,2,1,1,,1,1,-,-,-,3,11.0
"Matera, Brandon",,,2,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,6.0
"McCarthy, Cam",1,-,2,-,,-,-,,,,,,,1,1,1,1,,,,1,-,8.0
"Mundy, David",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2.0
"Nyhuis, Ryan",,,,,,2,2,-,,,,,,,,1,,,,,,-,5.0
"Pearce, Alex",-,-,2,1,-,-,3,-,3,-,-,,,,,,,,,,,,9.0
"Ryan, Luke",-,1,-,-,-,1,1,1,1,2,1,-,2,-,-,-,-,-,,,,,10.0
"Sandilands, Aaron",,,,,,,,,,,,,,,-,,1,1,-,2,2,,6.0
"Schultz, Lachie",-,-,,-,,,,,,,,,,,,,,2,-,-,-,,2.0
"Switkowski, Sam",,,,-,-,-,-,-,-,-,1,-,1,-,-,-,1,,-,2,2,-,7.0
"Taberner, Matthew",3,2,3,3,4,2,1,3,3,,,,,,,,,,,,,,24.0
"Tucker, Darcy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1.0
"Walters, Michael",2,-,-,-,1,1,-,1,1,-,-,1,-,-,-,-,1,1,1,-,-,-,10.0
"Wilson, Nathan",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,,,,1.0
Totals,16,7,15,10,8,18,16,19,19,13,10,7,12,10,9,12,11,15,10,9,14,9,269.0
Opponent,NM,GC,SK,WC,GW,WB,AD,RI,ES,BL,CW,PA,ME,CA,WC,HW,SY,WB,GE,SK,ES,PA,
