Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,Tot
"Allen, Jack",,-,-,-,,-,,-,,-,-,-,,,,,,
"Bennett, Herb",,,,,,,,,,,,,,,,1,-,1.0
"Boynton, Frank",-,-,-,1,-,-,-,-,-,,,,1,-,-,-,,2.0
"Day, Alf",,,,,,,,,,-,-,,-,1,-,-,-,1.0
"Doull, George",-,-,-,-,-,-,-,-,,-,-,-,,,-,-,-,
"Dupe, Alf",3,-,,-,,,,,,,,,,,,,,3.0
"Eason, Bill",2,1,2,2,-,-,,-,-,2,2,-,1,-,1,-,-,13.0
"Fletcher, Norm",-,-,,,,,,,,,,,,,,,,
"Getsom, Bill",,,,,,,,,,,,,,-,-,-,2,2.0
"Gough, Alf",-,-,1,-,-,-,-,1,1,-,1,-,1,,,1,2,8.0
"Grigg, Dick",1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,4.0
"Hardiman, Tom",,,-,1,1,2,-,1,-,3,2,2,2,-,-,,,14.0
"Hassett, Jack",,,,,,,1,1,2,2,-,1,-,3,2,2,1,15.0
"Marshall, Nick",,,-,-,,,-,,,,,,,,,,,
"McKay, Hugh",,,,,,,,,,,,,,,-,-,-,
"McKenzie, Alec",-,,,,-,-,-,-,-,,-,-,-,-,-,,-,
"McKinley, Bill",-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,
"McNeilage, George",1,-,-,-,-,,,,,,,,,,,,,1.0
"McNeilage, Jim",-,,,,-,1,1,,,,,,-,-,-,,,2.0
"Miller, Billy",-,-,-,,,,,,,,,,,,,,,
"Molan, Con",,,,,,,,,,,,,,,1,-,,1.0
"Moran, Frank",,,,,,,,,-,-,-,,-,-,-,-,-,
"Newling, Ernest",,,,,,-,-,1,1,-,-,-,-,-,,,,2.0
"Palmer, Alby",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Rankin, Teddy",-,-,-,-,-,-,1,-,-,,,-,-,-,-,-,-,1.0
"Roebuck, Les",2,2,1,2,5,-,-,1,1,1,-,-,-,-,,,,15.0
"Scown, Percy",-,-,-,-,-,,-,,-,-,,-,,,,,,
"Sherry, Tom",,,,,3,-,-,2,-,-,3,1,1,3,1,-,4,18.0
"Slater, Joe",-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,3,6.0
"Stephens, Peter",-,-,5,-,-,1,-,-,-,-,-,-,-,-,,-,-,6.0
"Upton, Ralph",,,,,,-,,,,,,,,,,,,
"Young, Henry",-,-,-,1,-,,,-,1,2,1,-,-,-,-,,-,5.0
Totals,9,3,12,7,9,4,3,7,7,10,9,4,6,8,5,5,12,120.0
Opponent,ES,CA,FI,SK,ME,SM,CW,ES,CA,FI,SK,ME,SM,CW,FI,SK,CW,
