Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Armour, David",,,,4,3,3,,5,,,,,,,,,,7,6,1,,,,,29.0
"Barkley, David",8,6,6,11,8,8,5,5,11,11,2,5,5,6,,,12,7,6,,,-,,,122.0
"Blake, Rod",,,,10,5,3,14,6,,1,-,9,5,3,8,8,16,12,7,3,4,,,,114.0
"Bright, Terry",13,11,5,10,7,7,6,10,,,6,,,,12,8,3,,,,,14,11,11,134.0
"Browne, Mark",12,12,12,16,9,6,,2,4,14,4,15,18,12,14,7,13,14,13,8,16,10,12,13,256.0
"Cassidy, Jeff",,,,8,,,,,,,,,,2,10,3,,,,,,-,,,23.0
"Clarke, David",22,24,22,22,18,15,22,15,21,21,27,9,16,13,15,15,18,23,20,15,22,19,12,16,442.0
"Cousins, Bryan",3,2,1,,3,,,12,,,,,,,,,8,10,12,6,2,11,10,2,82.0
"Davis, Harvey",11,16,10,12,11,11,9,8,8,7,10,6,-,,,,,,,12,5,5,11,7,159.0
"Donohue, Larry",10,10,9,6,6,14,10,8,12,8,6,19,8,6,12,8,12,8,8,7,6,9,8,6,216.0
"Doyle, Peter",16,20,10,,,12,14,10,12,,,,,,,,,,10,8,1,,,10,123.0
"Hawkins, Jack",6,10,7,16,11,12,7,11,9,10,14,12,4,9,12,8,7,8,6,7,12,8,11,11,228.0
"Higgins, Kevin",5,3,17,16,12,13,5,7,12,14,12,10,14,9,14,10,9,10,17,13,7,13,18,6,266.0
"Landy, Graeme",,,,10,16,7,9,9,14,,,11,13,18,8,6,12,9,6,,11,7,5,,171.0
"Lewtas, Ian",,,,,,,,,,,,,,,,,,,,,11,,,,11.0
"Manson, David",3,3,9,7,,,,,4,8,6,,,-,1,,4,4,,,,,-,1,50.0
"Nankervis, Bruce",16,16,21,,20,21,15,18,20,20,17,22,16,27,19,11,,,18,23,15,24,18,2,379.0
"Nankervis, Ian",13,22,8,17,24,18,12,11,15,12,25,12,20,19,16,21,15,19,15,11,15,28,11,14,393.0
"Neal, Robert",12,9,13,12,14,16,16,12,12,9,6,25,15,16,11,11,8,18,11,15,12,15,4,11,303.0
"Newman, Sam",15,11,8,,13,10,8,7,10,2,12,14,8,4,11,13,13,3,9,9,5,10,9,10,214.0
"Nish, Colin",,,,,,,,,,,,,,,,,,-,-,,,,,,
"Preen, John",7,12,10,1,,,3,,14,14,8,8,9,7,11,8,8,5,2,4,6,,,,137.0
"Sarah, Paul",12,19,18,23,19,15,8,,25,24,10,19,24,18,20,19,10,19,14,17,13,,16,13,375.0
"Scarlett, John",6,13,7,,,,,,6,7,3,5,9,2,,,1,,,1,,6,3,6,75.0
"Sheehan, Kevin",5,20,12,16,13,13,19,21,15,17,15,14,14,15,10,17,16,14,20,19,8,19,14,16,362.0
"Turner, Michael",2,2,1,17,18,18,12,13,15,20,14,18,15,,13,3,7,11,,23,15,15,20,16,288.0
"Witcombe, Murray",,,,,,2,6,,,-,,4,2,7,2,5,-,,,,,,,,28.0
"Woodman, Alan",,,,,,,,,,,,,,,,-,,,,,,4,5,21,30.0
"Woolnough, Michael",,,,19,15,,19,12,8,15,14,18,13,15,12,17,,20,16,14,11,21,17,10,286.0
Totals,197,241,206,253,245,224,219,202,247,234,211,255,228,208,231,198,192,221,216,216,197,238,215,202,5296.0
Opponent,SM,RI,SK,FI,NM,CW,FO,ES,CA,ME,HW,SM,RI,FI,SK,NM,CW,FO,ES,CA,ME,HW,FO,NM,
