Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,Tot
"Ablett, Gary",2,-,,,,,,3,3,1,-,-,1,2,-,-,,1,-,1,1,-,2,17.0
"Barnes, John",1,1,1,2,1,2,1,2,3,3,,,,2,1,4,-,1,2,1,,1,2,31.0
"Biddiscombe, Craig",,,,,,,,,1,-,1,2,-,3,-,-,1,,,,-,,,8.0
"Bizzell, Clint",,,,,,1,,,,,,,,,-,,,,,2,-,,,3.0
"Breuer, Shayne",1,-,2,1,1,1,-,-,-,1,-,1,-,-,,,-,3,-,-,1,-,1,13.0
"Brown, Paul",,,-,,,,,,,,,,,,,,,,,,,,,
"Brownless, Bill",,,,1,1,-,1,3,3,2,-,-,3,1,,,,,,,,,,15.0
"Burns, Ronnie",-,-,2,-,2,3,2,-,-,2,-,1,-,2,2,1,,,-,2,-,2,1,22.0
"Colbert, Leigh",5,6,2,1,4,1,4,1,-,2,2,2,-,2,1,2,1,3,1,-,3,3,-,46.0
"Couch, Paul",3,1,-,-,,-,1,-,2,-,-,-,-,-,-,1,,-,2,1,2,-,-,13.0
"Graham, Ben",1,1,-,1,1,,,,,,1,-,-,1,-,-,2,1,-,-,-,-,,9.0
"Hall, Derek",-,-,2,1,1,1,1,-,2,-,1,-,1,-,1,-,-,,1,-,1,-,-,13.0
"Handley, Steven",,,,,,,,,,,,,-,,,2,1,2,1,1,-,-,-,7.0
"Hocking, Garry",2,2,1,1,1,1,2,2,-,-,2,1,1,1,1,1,-,3,3,-,2,2,3,32.0
"Kilpatrick, Glenn",,,,,1,-,-,-,-,,,,,,1,1,-,-,-,-,,,,3.0
"King, Steven",,,,,1,-,1,,,,-,1,3,-,3,1,-,,,,3,-,-,13.0
"Lord, Aaron",,,,1,1,,,,-,1,1,1,,,,,,,-,1,-,1,,7.0
"Lynch, Paul",-,,-,-,,,,,,,,,,,,,,,-,,,,,
"Mansfield, Michael",2,3,1,-,2,-,-,1,-,2,,,3,-,1,2,1,1,1,3,-,2,2,27.0
"McGrath, Tim",2,1,1,2,-,1,1,-,2,-,,1,-,,,2,1,1,-,-,1,-,3,19.0
"McKinnon, Martin",1,1,2,-,-,-,1,-,-,1,1,-,-,1,1,-,1,-,,,,,1,11.0
"Mensch, David",-,2,7,-,1,-,2,,,,-,2,,,,,,,,,1,,-,15.0
"Pickering, Liam",1,1,1,-,1,1,-,2,-,1,1,,,,,,,2,,,,,,11.0
"Riccardi, Peter",3,4,1,2,4,3,-,3,-,2,1,2,-,2,-,2,-,4,2,-,,-,-,35.0
"Robbins, Matthew",,,,,,,,,,,,,,,,,-,,,,,,,
"Sanderson, Brenton",-,2,4,2,,,2,-,-,-,3,1,1,2,-,3,1,1,-,2,-,3,1,28.0
"Sholl, Brad",,2,1,1,1,-,2,-,-,-,1,1,1,-,1,1,3,2,1,1,1,2,1,23.0
"Simpson, Sean",,,1,,1,2,-,1,-,1,1,3,-,2,1,-,1,2,-,2,1,-,2,21.0
"Snell, Jason",-,-,,,,,,,,,,,,,,,,-,,,,,,
"Steinfort, Carl",,,,,,,,,,,,,,,,,,,,,,-,-,
"Stoneham, Barry",1,1,3,1,3,,,1,-,1,1,,,1,4,1,1,3,1,2,-,1,2,28.0
"Tanner, Grant",1,-,-,-,1,3,2,2,,1,-,1,3,1,-,,3,1,1,2,3,6,-,31.0
"Tudor, Leigh",1,-,,,,-,1,-,,,,1,1,1,1,-,-,1,,,,,,7.0
Totals,27,28,32,17,29,20,24,21,16,21,17,21,18,24,19,24,17,32,16,21,20,23,21,508.0
Opponent,ME,SK,AD,WC,RI,NM,ES,CA,CW,BB,FO,FR,FI,SY,HW,ME,SK,AD,WC,RI,NM,CA,NM,
